Time after Ignition,PlasticC_R1,PlasticC_R2,PlasticC_R3,Mean,Std. Dev.
0.0,18.134349818871968,20.878067417285717,12.044667819224287,17.01902835179399,4.521083232583944
0.25,20.629256087048276,23.697478487321924,13.456869641151012,19.261201405173736,5.255587273989236
0.5,30.079173227952165,26.20861885184071,14.73011073718548,23.67263427232612,7.9825962679454765
0.75,38.31576838067489,34.50051504256508,20.791551364705885,31.20261159598195,9.215838044526013
1.0,45.38957479704921,41.18066364175755,25.87023329408305,37.4801572442966,10.272365057550832
1.25,51.689288930242924,46.87685469437164,30.801717277568848,43.12262030072781,10.938161147935796
1.5,66.69779695403041,52.22618704835508,34.561815076806354,51.161933026397286,16.094403072831195
1.75,79.02012902572032,56.59617555523758,46.98757342349205,60.867959334816646,16.43798214797265
2.0,92.1572118229273,61.255066427236144,57.913062221230156,70.44178015713119,18.880207291026636
2.25,103.25615918921095,71.92639768555259,67.41984764685886,80.86746817387412,19.519666040892716
2.5,128.14416705515853,84.02378700373734,75.82596478814533,95.99797294901373,28.139552571106517
2.75,124.21305225576197,92.95343570092545,83.17888073066088,100.11512289578276,21.4340414013688
3.0,138.1792825549915,99.17021322065,98.28771851961211,111.8790714317512,22.78092465352535
3.25,152.72626417779324,117.29567631963937,108.88520981877872,126.30238343873712,23.266931290447847
3.5,167.0743864319666,132.0370136196043,122.48306834407612,140.53148946521566,23.477936496264174
3.75,180.2322817029484,146.28723533923232,133.63199709735423,153.38383804651164,24.097052907343617
4.0,198.13212992735146,157.84432175240178,143.98591993101513,166.65412387025614,28.127610532333723
4.25,211.920324952435,167.7759163861202,180.3133288292619,186.6698567226057,22.748324928696956
4.5,221.51336789382327,188.29062265197953,190.84898695321485,200.21765916633922,18.486933618879018
4.75,230.65387492477282,201.5932441161859,210.40833118213013,214.2184834076963,14.900268814177075
5.0,252.02967030860302,219.14545396644536,220.50206895844417,230.55906441116417,18.606458267533895
5.25,257.9361156053715,229.44388871973388,219.08295924722867,235.48765452411135,20.11932574842398
5.5,276.84782085138767,247.70752863863754,235.55446624105153,253.36993857702558,21.22103787463066
5.75,284.21863431834873,271.7977643028558,251.14765083936732,269.05468315352397,16.705264371168457
6.0,299.86184794629486,280.41812495704323,256.0673560347958,278.782442979378,21.943016476675062
6.25,313.51088241344917,303.1623087938756,271.82541898366844,296.16620339699773,21.705496616803405
6.5,321.30511322163284,329.3047385664551,281.60448673757713,310.7381128418884,25.545540293830825
6.75,348.4077859080835,330.41029771962855,294.3219435975203,324.38000907507745,27.542564703803965
7.0,356.4827411334747,344.14313950857456,304.21694534369215,334.94760866191376,27.319346497468235
7.25,374.2644453577551,358.659981572338,318.40744202763284,350.443956319242,28.820626441404013
7.5,377.56589178753353,384.72470546157115,326.4433584401313,362.9113185630786,31.784371001351527
7.75,395.01707960187235,394.0341675001013,324.54468970650856,371.1986456028274,40.40649984385804
8.0,400.6792747080592,397.4032365367231,343.0914385726529,380.3913166058117,32.34414603125898
8.25,422.2919992753239,420.1480941424097,343.7561910537605,395.398761490498,44.73662250650782
8.5,425.7512545198363,427.75964995378274,351.94323108519103,401.81804518627,43.20452782137152
8.75,442.97476413973914,442.58217558122044,375.3641545879317,420.3070314362971,38.92216805368855
9.0,449.28799294997395,454.02126389789225,365.1983790529372,422.83587863360117,49.97161176007713
9.25,460.0849966971175,463.46594081202045,389.72680959142633,437.7592490335214,41.63164811589764
9.5,471.588323974999,481.70827552681726,399.6667368040509,450.9877787686224,44.7324308091989
9.75,470.1410538149103,480.45186590996616,405.36516441520774,451.9860280466948,40.70266460348963
10.0,490.2754102856556,488.24318229860484,413.4769066457908,463.99849974335046,43.76478052594776
10.25,502.3996703845829,491.73751326587194,421.70625668289915,471.94781344445136,43.83584056424859
10.5,506.42966318281157,522.1012062190321,437.2255444008881,488.58547126757725,45.16393341038588
10.75,507.8263010738317,523.7016843040233,447.0230653874309,492.8503502550953,40.47359604647094
11.0,528.9062827634466,538.7263373214813,461.790290286056,509.807636790328,41.87311239762556
11.25,538.1996391629791,539.5514330834983,472.108490548792,516.6198542650899,38.55389684084219
11.5,548.6050175360444,571.5825670906095,488.0982652926883,536.0952833064474,43.125134777099056
11.75,543.5599848509877,556.3720629525595,505.93943466784015,535.2904941571292,26.213562447291086
12.0,556.3719288762738,558.6580564868829,499.72811136152455,538.2526989082271,33.38284707893648
12.25,566.6090279863491,596.3014075974717,519.8458862088904,560.9187739309037,38.544077769633894
