Sample ID:	C:\MCC\MCC Cal\Test\PlasticC_MCC_30K_min_211021_R1.txt
Sample Weight (mg):	4.54
Heating Rate (C/s):	0.5
Combustor Temp (C):	900
N2 Flow Rate (cc/min):	80
O2 Flow Rate (cc/min):	20
Calibration File:	C:\MCC\MCC Cal\Coeff1 JN10440_30_210304.txt.txt
T Correction Coefficients:	0	1.024463	0
Time Shift (s):	14
*
Time (s)	Temperature (C)	N2 flow rate (cc/min)	O2 flow rate (cc/min)	Flow Rate (cc/min)	Oxygen (%)	HRR (W/g)	Heating rate (C/s)
0.000	108.079	80.003	19.997	103.009	20.254	0.122	0.007
0.501	108.123	80.003	19.997	103.011	20.254	0.055	0.004
1.001	108.084	80.002	19.996	103.015	20.254	0.067	0.008
1.500	108.108	80.002	19.997	103.013	20.255	0.016	-0.005
2.000	108.105	80.002	19.996	103.013	20.254	0.071	0.003
2.500	108.085	80.003	19.997	103.015	20.256	-0.045	-0.001
3.000	108.095	80.002	19.997	103.012	20.252	0.202	-0.017
3.500	108.120	80.003	19.996	103.005	20.251	0.294	0.012
4.000	108.071	80.002	19.996	103.003	20.256	-0.037	0.006
4.501	108.089	80.003	19.995	103.000	20.252	0.212	-0.027
5.000	108.090	80.002	19.996	102.998	20.255	0.016	-0.006
5.500	108.041	80.002	19.996	103.000	20.255	0.037	-0.015
6.000	108.099	80.002	19.997	103.000	20.252	0.233	-0.020
6.499	108.046	80.003	19.998	103.002	20.254	0.102	0.007
7.000	108.108	80.003	19.997	103.004	20.259	-0.263	0.007
7.500	108.046	80.002	19.997	103.008	20.258	-0.204	0.005
7.999	108.044	80.003	19.998	103.013	20.257	-0.147	-0.032
8.499	108.082	80.002	19.998	103.021	20.259	-0.247	-0.014
8.999	108.062	80.001	19.995	103.027	20.255	0.014	0.026
9.499	108.116	80.004	19.995	103.027	20.256	-0.076	0.025
9.999	108.075	80.002	19.997	103.022	20.256	-0.037	0.023
10.500	108.073	80.002	19.996	103.017	20.254	0.074	-0.015
11.000	108.058	80.003	19.997	103.015	20.255	0.014	-0.030
11.500	108.073	80.002	19.996	103.008	20.256	-0.063	-0.008
12.001	108.081	80.001	19.994	103.006	20.257	-0.155	0.012
12.500	108.052	80.002	19.995	103.008	20.259	-0.270	0.001
12.999	108.044	80.001	19.994	103.010	20.258	-0.212	-0.029
13.500	108.059	80.003	19.996	103.008	20.260	-0.321	-0.015
14.000	108.069	80.002	19.997	103.009	20.258	-0.172	0.016
14.499	108.045	80.002	19.994	103.012	20.260	-0.317	0.006
14.999	108.038	80.002	19.995	103.014	20.258	-0.170	-0.022
15.499	108.045	80.002	19.995	103.013	20.256	-0.088	-0.016
15.999	108.035	80.002	19.995	103.013	20.257	-0.127	-0.002
16.499	108.029	80.003	19.994	103.016	20.255	0.014	-0.009
16.999	108.047	80.003	19.995	103.017	20.255	0.008	-0.002
17.499	108.074	80.003	19.994	103.016	20.255	0.035	0.029
17.999	108.033	80.003	19.996	103.016	20.256	-0.069	0.016
18.500	108.040	80.003	19.993	103.020	20.256	-0.074	-0.025
19.001	108.052	80.003	19.994	103.021	20.256	-0.084	-0.008
19.501	108.038	80.004	19.994	103.018	20.255	0.012	0.009
20.000	108.025	80.005	19.995	103.014	20.256	-0.051	-0.014
20.500	108.023	80.003	19.994	103.011	20.255	0.031	-0.021
21.000	108.065	80.003	19.995	103.008	20.254	0.073	0.012
21.500	108.048	80.003	19.994	103.006	20.256	-0.073	0.032
22.000	108.062	80.003	19.995	103.005	20.255	0.035	0.011
22.500	108.051	80.003	19.994	103.008	20.255	-0.020	0.000
23.000	108.024	80.003	19.996	103.009	20.254	0.055	-0.017
23.499	108.025	80.004	19.995	103.011	20.255	-0.010	-0.031
