Temp/C,Time/min,DSC/mW,Mass loss/mg,Sensit./(uV/mW)
50,10.96284516,-0.003946826,0.080102484,1.054020304
50.1,11.01856958,0.010389533,0.07981114,1.054018987
50.2,11.06555317,0.028354269,0.086071818,1.054027636
50.3,11.10556164,0.046090356,0.081453641,1.054030576
50.4,11.14333803,0.059684696,0.078063655,1.054029864
50.5,11.18070382,0.076093047,0.083092824,1.05402997
50.6,11.21264332,0.090705748,0.083644865,1.054030258
50.7,11.24174217,0.106615949,0.083527192,1.054029
50.8,11.27129549,0.122518064,0.082434885,1.054037632
50.9,11.29963693,0.138649287,0.0781457,1.054040577
51,11.32503049,0.153114971,0.074816171,1.054039863
51.1,11.34914672,0.159508383,0.074344982,1.05403997
51.2,11.37251077,0.172058033,0.077750288,1.054040257
51.3,11.39615984,0.18701749,0.080270006,1.054039
51.4,11.41838463,0.199281544,0.080057599,1.054047631
51.5,11.43938941,0.211033837,0.081538403,1.054050582
51.6,11.45882573,0.225663653,0.084104341,1.054049844
51.7,11.47802392,0.245429829,0.085840792,1.054050041
51.8,11.49693492,0.256355809,0.086451814,1.05404999
51.9,11.51520351,0.269706857,0.084896444,1.054049998
52,11.53374338,0.276521266,0.084390728,1.054050018
52.1,11.55120865,0.293336918,0.084878611,1.054049928
52.2,11.56799957,0.305375743,0.085267647,1.054050269
52.3,11.58505424,0.308865328,0.0844309,1.054048997
52.4,11.6011901,0.326110487,0.083186136,1.054057632
52.5,11.61700293,0.340917985,0.082690467,1.054060582
52.6,11.63259708,0.348915587,0.08280293,1.054059844
52.7,11.64759011,0.364281496,0.082581909,1.054060042
52.8,11.66234381,0.376255776,0.083819117,1.054059989
52.9,11.67691119,0.381331175,0.084202125,1.054060003
53,11.69143741,0.396821904,0.083909175,1.054059999
53.1,11.70569244,0.407499209,0.083490068,1.05406
53.2,11.71965737,0.417420355,0.082569554,1.05406
53.3,11.7335127,0.426200067,0.081339916,1.05406
53.4,11.74699366,0.44243675,0.081989847,1.05406
53.5,11.76031018,0.453974939,0.082256102,1.05406
53.6,11.7733376,0.456016775,0.083170432,1.05406
53.7,11.78615602,0.468472883,0.084198077,1.05406
53.8,11.79859176,0.480088078,0.085069146,1.05406
53.9,11.81106063,0.486101229,0.085657487,1.05406
54,11.82340491,0.498199172,0.085418654,1.05406
54.1,11.83552768,0.50151287,0.084317903,1.05406
54.2,11.84751688,0.518868538,0.083451465,1.05406
54.3,11.85930514,0.527406798,0.082724517,1.05406
54.4,11.8710205,0.532228471,0.082273359,1.05406
54.5,11.88254832,0.543449885,0.082211061,1.05406
54.6,11.89395328,0.55458463,0.08320719,1.05406
54.7,11.90529472,0.562045153,0.082693099,1.05406
54.8,11.9162044,0.574741158,0.084138489,1.05406
54.9,11.92724765,0.5838307,0.083589461,1.05406
55,11.93829754,0.594342957,0.08372834,1.05406
55.1,11.94909001,0.610907541,0.083501994,1.05406
55.2,11.95990274,0.60764583,0.08356699,1.054059999
55.3,11.97048302,0.612828558,0.083507098,1.054060005
55.4,11.98084302,0.630297785,0.084007022,1.054059981
55.5,11.9910999,0.638363869,0.084300937,1.054060072
55.6,12.00144204,0.644425858,0.084863552,1.054059731
55.7,12.0115498,0.64881806,0.085746902,1.054061003
55.8,12.02164393,0.658356288,0.086431158,1.054052368
55.9,12.03144933,0.677651157,0.087818029,1.054049418
56,12.04129098,0.682908372,0.088789587,1.054050156
56.1,12.05141424,0.688726137,0.09021914,1.054049959
56.2,12.06125717,0.697245721,0.09110911,1.05405001
56.3,12.07094388,0.698839414,0.091318841,1.054050002
56.4,12.08048197,0.715528881,0.091468097,1.054049982
56.5,12.09012125,0.724530508,0.091348727,1.054050072
56.6,12.0997117,0.732714655,0.091736457,1.054049731
56.7,12.10935772,0.738804725,0.09167606,1.054051003
56.8,12.11880928,0.748049477,0.091646881,1.054042367
56.9,12.12797834,0.754942335,0.091501686,1.054039423
57,12.137245,0.759121788,0.090783104,1.054040137
57.1,12.14643997,0.764709465,0.09019563,1.05404003
57.2,12.15553824,0.776132933,0.089290779,1.054039742
57.3,12.16446596,0.777337208,0.088505665,1.054041
57.4,12.17342381,0.777524922,0.086398995,1.054032368
57.5,12.18227875,0.791747063,0.086104141,1.054029423
57.6,12.19095506,0.802309948,0.085512553,1.054030137
57.7,12.19976728,0.812695156,0.084626041,1.05403003
57.8,12.20864228,0.813468374,0.084148133,1.054029743
57.9,12.21739195,0.818719335,0.084744568,1.054030998
58,12.2260414,0.825461337,0.086154611,1.054022374
58.1,12.23485849,0.838353197,0.086500153,1.054019399
58.2,12.24349816,0.855823236,0.087675385,1.054020228
58.3,12.25199691,0.853605978,0.088140574,1.054019688
58.4,12.2605387,0.852266023,0.088369948,1.054021019
58.5,12.26903075,0.860459488,0.088834075,1.054012346
58.6,12.27750784,0.862744665,0.088507363,1.054009491
58.7,12.28579049,0.882799621,0.088971474,1.054009887
58.8,12.29410072,0.885686653,0.088801741,1.05401096
58.9,12.30215326,0.887137217,0.087812105,1.054002384
59,12.31012781,0.898008905,0.087585847,1.053999396
59.1,12.31824686,0.907109566,0.086696913,1.054000227
59.2,12.32632519,0.910400415,0.085253676,1.053999695
59.3,12.33433814,0.911862854,0.084335733,1.054000994
59.4,12.34240482,0.9155191,0.08416989,1.053992437
59.5,12.35035172,0.930737959,0.083683031,1.053989149
59.6,12.35831072,0.942012113,0.08426402,1.053991163
59.7,12.3661682,0.951196131,0.08437205,1.053982308
59.8,12.37417123,0.947838648,0.085007828,1.0539795
59.9,12.38209968,0.951182649,0.085905749,1.053979889
60,12.38991395,0.961350704,0.086214499,1.053980943
60.1,12.39769947,0.970454144,0.086323751,1.05397245
60.2,12.40547232,0.975347274,0.086289606,1.053969152
60.3,12.41308954,0.982248627,0.087196349,1.05397114
60.4,12.42069381,0.992683023,0.087147335,1.053962397
60.5,12.42848585,0.997291369,0.087621665,1.053959166
60.6,12.43619927,0.999919183,0.088495317,1.053961137
60.7,12.44383334,1.002143598,0.089339336,1.053952398
60.8,12.45142653,1.010150667,0.089718908,1.053949166
60.9,12.45899997,1.014804594,0.090149597,1.053951137
61,12.46660955,1.017260125,0.091280039,1.053942398
61.1,12.47424212,1.026112746,0.090930786,1.053939166
61.2,12.48185766,1.034693668,0.091341993,1.053941137
61.3,12.48950263,1.041109912,0.091486147,1.053932398
61.4,12.49693407,1.043690159,0.091184327,1.053929166
61.5,12.50433632,1.048899313,0.091847678,1.053931135
61.6,12.51171768,1.060645662,0.091246654,1.053922404
61.7,12.5190608,1.066543438,0.090734836,1.053919142
61.8,12.52638013,1.070662882,0.091638766,1.053921226
61.9,12.53370043,1.078991466,0.091245211,1.053912064
62,12.54066805,1.081528536,0.090329867,1.053910411
62.1,12.54756134,1.081493728,0.090013675,1.053902598
62.2,12.55466678,1.089713369,0.090106008,1.05389909
62.3,12.56187193,1.095060265,0.090381591,1.05390124
62.4,12.56901525,1.094818132,0.090138434,1.05389206
62.5,12.57617454,1.100164912,0.089815749,1.053890412
62.6,12.58337596,1.108723493,0.089383074,1.053882598
62.7,12.59043556,1.114059862,0.089468595,1.053879088
62.8,12.59754149,1.122309633,0.089322683,1.053881247
62.9,12.60453888,1.121375174,0.088827982,1.053872034
63,12.61179698,1.127072775,0.08861273,1.05387051
63.1,12.61914974,1.135204524,0.088256982,1.053862233
63.2,12.62622805,1.137752089,0.087751952,1.05386045
63.3,12.63320867,1.142033725,0.087360504,1.053852272
63.4,12.64022457,1.148432901,0.087352758,1.053850355
63.5,12.6472257,1.160166761,0.0873973,1.053842614
63.6,12.65413701,1.168216924,0.086756278,1.053839084
63.7,12.66113737,1.171585782,0.085964121,1.053841248
63.8,12.66815172,1.172755488,0.085654156,1.053832034
63.9,12.67508392,1.174414843,0.085302755,1.05383051
64,12.68200081,1.178374611,0.084876191,1.053822231
64.1,12.68892244,1.185245613,0.08437659,1.053820457
64.2,12.69583124,1.190079731,0.083239278,1.053812246
64.3,12.70268696,1.192761162,0.082466935,1.053810454
64.4,12.70943603,1.199026105,0.082996953,1.053802247
64.5,12.71617211,1.207688487,0.082719581,1.053800453
64.6,12.72296425,1.212375621,0.082178738,1.053792247
64.7,12.72980375,1.216369376,0.082776849,1.053790451
64.8,12.7364864,1.214295001,0.082430675,1.053782254
64.9,12.7431932,1.214327648,0.081563082,1.053780427
65,12.75001112,1.22039376,0.081500513,1.053772345
65.1,12.75671295,1.228294919,0.081183004,1.053770086
65.2,12.76332938,1.235901187,0.079823026,1.053763616
65.3,12.7699799,1.242836866,0.078144904,1.053751452
65.4,12.77664261,1.243168333,0.077841008,1.053750666
65.5,12.78329655,1.248004573,0.077966652,1.05374219
65.6,12.78991852,1.250680161,0.076932264,1.053740467
65.7,12.79643359,1.256952101,0.076177489,1.05373225
65.8,12.80291115,1.258406694,0.076985572,1.053730428
65.9,12.80945915,1.259888087,0.0773343,1.053722345
66,12.81605433,1.266593849,0.077397826,1.053720087
66.1,12.82253746,1.270998258,0.077857769,1.053713614
66.2,12.8290316,1.269795495,0.07832235,1.053701459
66.3,12.83559047,1.274102336,0.079954003,1.05370064
66.4,12.84212453,1.282304222,0.080840334,1.053692288
66.5,12.84861267,1.289000098,0.080665666,1.053690102
66.6,12.85507864,1.291649567,0.081410495,1.05368361
66.7,12.86151551,1.291990226,0.082089282,1.05367146
66.8,12.86794601,1.299645691,0.082466283,1.05367064
66.9,12.87442731,1.310916097,0.082790944,1.053662286
67,12.88089639,1.317815917,0.082526062,1.053660109
67.1,12.88728622,1.320647989,0.082411018,1.053653586
67.2,12.89362607,1.318496058,0.083351371,1.053641549
67.3,12.89998979,1.318966056,0.084401319,1.053640306
67.4,12.90634818,1.330431971,0.084462863,1.053633533
67.5,12.91268621,1.333678625,0.085119817,1.053621564
67.6,12.91903988,1.338029458,0.086243975,1.053620302
67.7,12.92534801,1.345576188,0.086227532,1.053613534
67.8,12.93168444,1.35659733,0.086818833,1.053601563
67.9,12.93808389,1.361750945,0.088511842,1.053600302
68,12.9443782,1.363506714,0.089412181,1.053593534
68.1,12.95061175,1.366115055,0.089586269,1.053581564
68.2,12.95688116,1.376954743,0.089622975,1.0535803
68.3,12.96317469,1.386044503,0.08961098,1.053573541
68.4,12.96943491,1.387751778,0.089576782,1.053561539
68.5,12.97567988,1.383298696,0.089716191,1.053560392
68.6,12.98194059,1.382674116,0.090136026,1.0535532
