##Temp./°C,Time/min,DSC(subtr.2)/(mW/mg),Mass(subtr.2)/%,Sensit./(uV/mW)
49.28,10.01,-0.009269264000000001,100.84557,1.07447
49.38,10.41969,-0.000715563,100.84318,1.07446
49.48,10.51827,0.00276189,100.88003,1.07446
49.58,10.58634,0.008639233,100.87755,1.07445
49.68,10.640989999999999,0.01107597,100.88346999999999,1.07444
49.78,10.68865,0.01634803,100.89612,1.07444
49.88,10.73049,0.02135647,100.88659,1.07443
49.98,10.767389999999999,0.024659,100.87304,1.0744200000000002
50.08,10.80054,0.02795761,100.88035,1.0744200000000002
50.18,10.83186,0.03066016,100.908,1.07441
50.28,10.86175,0.03572674,100.92663,1.0744
50.38,10.88997,0.03935197,100.92115,1.0744
50.48,10.916780000000001,0.04153016,100.91119,1.07439
50.58,10.94258,0.045093,100.91281,1.07438
50.68,10.96753,0.04951065,100.91751,1.07437
50.78,10.9915,0.05185449,100.90939,1.07437
50.88,11.01548,0.05523912,100.88436999999999,1.07436
50.98,11.03775,0.05884458,100.87462,1.07435
51.08,11.05921,0.05914572,100.86743,1.07435
51.18,11.080119999999999,0.06334076,100.86966,1.07434
51.28,11.100539999999999,0.06524615,100.89572,1.07433
51.38,11.1205,0.06802829,100.91908000000001,1.0743200000000002
51.48,11.13989,0.07084908,100.89389,1.0743200000000002
51.58,11.15879,0.07500734,100.89909,1.07431
51.68,11.17733,0.07531897,100.91719,1.0743
51.78,11.19561,0.0774639,100.9157,1.07429
51.88,11.21327,0.08046985,100.93278000000001,1.07429
51.98,11.23077,0.08105651,100.93687,1.07428
52.08,11.24799,0.08380062,100.93959,1.07427
52.18,11.26502,0.08858787,100.93234,1.07426
52.28,11.2817,0.08906745,100.92248000000001,1.07426
52.38,11.298210000000001,0.08960537,100.93219,1.07425
52.48,11.31449,0.09372784,100.93415,1.0742399999999999
52.58,11.33054,0.0951372,100.94278,1.07423
52.68,11.34636,0.09659855,100.93491999999999,1.07423
52.78,11.36191,0.09781747,100.92389,1.0742200000000002
52.88,11.377510000000001,0.09946816,100.92891999999999,1.07421
52.98,11.39265,0.09978746,100.93741,1.0742
53.08,11.40777,0.1011,100.92896,1.0742
