Names,Time,Stack TC,Smoke TC,Exh Press,Smoke Comp,Smoke Meas,CO Meter,CO2 Meter,O2 Meter,Sample Mass,Ext Coeff,Start Test,Flame Verif
Chan Gain,,500,500,1,1,1,1,1,1,1,1,1.0,1.0
Offset,,0,0,0.13582763075828552,0,0,0,0,0,0,0,0.0,0.0
Gain,,1,1,25.01099967956543,13.849123001098633,15.262179374694824,1,1,1,1.0008713006973267,1.0311846733093262,1.0,1.0
Units,sec,C,C,Pa,%,%,%,%,%,g,/m,,
Baseline,,31.10373878479004,31.91545867919922,136.57864379882812,105.38248443603516,111.95442962646484,7.234900840558112e-05,0.0472591333091259,20.9929141998291,-451.1402282714844,-0.5471597909927368,,
1,0,28.371612548828125,29.365036010742188,136.48672485351562,105.18875885009766,111.32708740234375,0.00015395220543723553,0.04920361936092377,20.991239547729492,606.03759765625,-0.513024628162384,0.0,0.0
2,0.25,29.53251838684082,30.523483276367188,135.73794555664062,105.19171142578125,110.76956939697266,0.0001494307944085449,0.04924597218632698,20.991180419921875,605.927490234375,-0.46735793352127075,0.0,0.0
3,0.5,28.908369064331055,30.1912784576416,135.721923828125,105.19847869873047,111.16500854492188,0.00014090360491536558,0.04928408935666084,20.991127014160156,605.9374389648438,-0.4990103244781494,0.0,0.0
4,0.75,27.883365631103516,28.933883666992188,137.83543395996094,105.19678497314453,111.10911560058594,0.0001332291285507381,0.04931839555501938,20.991079330444336,605.947509765625,-0.49460679292678833,0.0,0.0
5,1,27.802669525146484,28.959426879882812,136.93247985839844,105.18706512451172,111.21670532226562,0.00012632210564333946,0.04934927076101303,20.99103546142578,606.167724609375,-0.5041975378990173,0.0,0.0
6,1.25,28.016128540039062,28.924903869628906,136.9530792236328,105.1950912475586,112.0476303100586,0.00012010578211629763,0.04937705770134926,20.990764617919922,606.1376342773438,-0.570837140083313,0.0,0.0
7,1.5,27.86834716796875,29.12514877319336,134.71287536621094,105.19593811035156,112.1263427734375,0.00010559752263361588,0.04940206557512283,20.990522384643555,605.907470703125,-0.577116072177887,0.0,0.0
8,1.75,27.915313720703125,28.660110473632812,137.39425659179688,105.20270538330078,111.63729095458984,9.25400890992023e-05,0.04942457377910614,20.99030303955078,605.947509765625,-0.5369948148727417,0.0,0.0
9,2,27.531444549560547,28.893478393554688,134.7174530029297,105.20735168457031,112.31637573242188,8.078839891823009e-05,0.049444831907749176,20.9901065826416,606.0576171875,-0.5914523005485535,0.0,0.0
10,2.25,27.781700134277344,29.00212860107422,135.28456115722656,105.20143127441406,112.45563507080078,7.021187775535509e-05,0.04946306347846985,20.98992919921875,606.03759765625,-0.6031695604324341,0.0,0.0
11,2.5,27.60356903076172,28.351587295532227,136.2394256591797,105.21749114990234,111.93724060058594,5.1780523790512234e-05,0.049479469656944275,20.989768981933594,606.0775756835938,-0.5599949955940247,0.0,0.0
12,2.75,28.07839584350586,28.748714447021484,135.643310546875,105.20565795898438,111.45098114013672,3.51923044945579e-05,0.04949423670768738,20.989625930786133,606.0675659179688,-0.5216330289840698,0.0,0.0
13,3,28.151798248291016,29.296253204345703,132.7474365234375,105.20397186279297,111.53668212890625,2.0262907128199004e-05,0.0494859479367733,20.9894962310791,605.927490234375,-0.5287307500839233,0.0,0.0
14,3.25,27.578842163085938,28.714454650878906,136.6592254638672,105.20227813720703,111.5147933959961,3.0071714718360454e-06,0.04947848618030548,20.9893798828125,605.9374389648438,-0.5271006226539612,0.0,0.0
15,3.5,27.952625274658203,29.103057861328125,137.44158935546875,105.2069320678711,112.4365463256836,-1.2522990800789557e-05,0.04947177320718765,20.989274978637695,606.0576171875,-0.6011612415313721,0.0,0.0
16,3.75,28.31056785583496,29.00350570678711,138.37506103515625,105.20904541015625,111.96239471435547,-2.6500138119445182e-05,0.04946573078632355,20.989181518554688,606.0576171875,-0.5627532005310059,0.0,0.0
17,4,27.682273864746094,28.983436584472656,133.7366485595703,105.2124252319336,112.12122344970703,-3.907956852344796e-05,0.0494387224316597,20.989097595214844,606.027587890625,-0.5752853751182556,0.0,0.0
18,4.25,27.993942260742188,29.202049255371094,136.10508728027344,105.20777130126953,111.4244384765625,-5.040105679654516e-05,0.049414414912462234,20.98902130126953,606.03759765625,-0.5192967653274536,0.0,0.0
