Names,Polyester_Bed_Skirt_R1,Polyester_Bed_Skirt_R2,Polyester_Bed_Skirt_R3,Mean,Std. Dev.
1403,0.0,,289.5,144.7,204.7
1404,0.3,,286.6,143.4,202.4
1405,0.5,,286.0,143.2,201.9
1406,1.5,,282.8,142.1,198.9
1407,2.4,,286.4,144.4,200.8
1408,3.2,,283.7,143.5,198.4
1409,3.9,,281.4,142.7,196.2
1410,7.1,,281.0,144.0,193.7
1411,9.8,,279.9,144.9,191.0
1412,12.4,,278.9,145.6,188.4
1413,14.9,,273.2,144.0,182.6
1414,19.3,,275.2,147.3,181.0
1415,23.8,,267.8,145.8,172.5
1416,27.8,,264.0,145.9,167.1
1417,34.0,,260.8,147.4,160.4
1418,40.8,,258.7,149.8,154.1
1419,45.4,,259.5,152.4,151.4
1420,50.7,,252.5,151.6,142.8
1421,54.8,,248.9,151.8,137.2
1422,59.6,,243.6,151.6,130.1
1423,65.7,,238.1,151.9,121.9
1424,72.6,,238.5,155.5,117.3
1425,78.0,,231.5,154.8,108.5
1426,82.2,,228.3,155.2,103.3
1427,83.5,,226.6,155.1,101.2
1428,92.9,,221.5,157.2,90.9
1429,100.4,,218.4,159.4,83.5
1430,107.2,,211.5,159.4,73.8
1431,112.2,,213.0,162.6,71.3
1432,118.9,,207.4,163.2,62.6
1433,128.3,,204.6,166.5,54.0
1434,137.1,,198.6,167.8,43.5
1435,140.4,,194.2,167.3,38.1
1436,154.7,,194.3,174.5,28.0
1437,166.0,,186.8,176.4,14.7
1438,171.9,,183.8,177.9,8.4
1439,179.3,,180.5,179.9,0.8
1440,193.6,,176.1,184.8,12.4
1441,197.7,,176.0,186.8,15.4
1442,204.7,,171.4,188.0,23.6
1443,213.2,,168.7,191.0,31.4
1444,218.8,,163.3,191.0,39.2
1445,225.9,,159.2,192.6,47.1
1446,236.1,,157.3,196.7,55.8
1447,241.2,,153.4,197.3,62.0
1448,250.4,,151.6,201.0,69.9
1449,256.6,,151.7,204.1,74.2
1450,257.9,,145.4,201.7,79.5
1451,267.8,,142.8,205.3,88.4
1452,267.9,,141.4,204.7,89.5
1453,267.4,,136.4,201.9,92.6
1454,276.0,,132.6,204.3,101.4
1455,278.4,,128.7,203.6,105.9
1456,284.9,,125.6,205.2,112.6
1457,289.1,,127.5,208.3,114.3
1458,297.1,,123.7,210.4,122.6
1459,302.5,,121.3,211.9,128.2
1460,306.2,,116.4,211.3,134.2
1461,303.0,,113.9,208.5,133.7
1462,303.3,,112.2,207.7,135.2
1463,308.0,,110.0,209.0,140.0
1464,311.3,,108.5,209.9,143.5
1465,313.2,,107.5,210.3,145.5
1466,316.1,,105.5,210.8,148.9
1467,324.8,,103.9,214.4,156.2
1468,319.7,,100.8,210.3,154.8
1469,320.1,,100.0,210.1,155.7
1470,319.9,,98.0,208.9,156.9
1471,323.6,,94.6,209.1,161.9
1472,316.1,,92.0,204.0,158.4
1473,312.3,,92.7,202.5,155.3
1474,317.6,,88.2,202.9,162.2
1475,321.7,,87.1,204.4,165.9
1476,311.4,,85.4,198.4,159.8
1477,313.9,,83.1,198.5,163.2
1478,317.2,,81.5,199.4,166.6
1479,308.7,,79.5,194.1,162.1
1480,306.1,,78.3,192.2,161.1
1481,308.3,,77.0,192.6,163.6
1482,305.3,,74.1,189.7,163.4
1483,307.5,,72.5,190.0,166.2
1484,302.7,,71.0,186.8,163.8
1485,303.6,,68.9,186.3,165.9
1486,298.8,,67.5,183.1,163.6
1487,295.1,,65.5,180.3,162.3
1488,295.1,,63.2,179.1,164.0
1489,294.3,,63.0,178.7,163.5
1490,288.9,,60.8,174.9,161.3
1491,277.8,,60.2,169.0,153.9
1492,278.6,,58.8,168.7,155.4
1493,276.2,,57.3,166.8,154.8
1494,274.9,,57.0,166.0,154.0
1495,270.2,,55.5,162.8,151.8
1496,262.0,,54.3,158.1,146.8
1497,257.7,,53.4,155.5,144.4
1498,255.9,,52.4,154.1,143.9
1499,255.1,,51.7,153.4,143.8
1500,243.0,,49.8,146.4,136.6
1501,240.5,,49.1,144.8,135.3
1502,239.2,,48.9,144.1,134.6
1503,233.6,,46.8,140.2,132.1
1504,224.6,,46.1,135.3,126.2
1505,220.4,,45.0,132.7,124.0
1506,213.6,,44.4,129.0,119.7
1507,213.2,,42.8,128.0,120.5
1508,210.8,,41.9,126.4,119.5
1509,207.5,,40.8,124.1,117.9
1510,200.0,,40.2,120.1,113.0
1511,198.8,,39.5,119.2,112.6
1512,191.7,,37.7,114.7,108.9
1513,187.5,,37.0,112.2,106.4
1514,187.3,,35.3,111.3,107.5
1515,180.9,,34.5,107.7,103.6
1516,175.7,,33.4,104.5,100.7
1517,174.6,,32.2,103.4,100.7
1518,169.0,,31.2,100.1,97.4
1519,168.6,,30.1,99.3,98.0
1520,161.4,,29.2,95.3,93.5
1521,160.4,,27.9,94.2,93.7
1522,154.1,,27.2,90.7,89.8
