Sample ID:	C:\MCC\MCC Cal\Test\Polyester_Carpet_HighPile_MCC_30K_min_211027_R3.txt
Sample Weight (mg):	4.74
Heating Rate (C/s):	0.5
Combustor Temp (C):	900
N2 Flow Rate (cc/min):	80
O2 Flow Rate (cc/min):	20
Calibration File:	C:\MCC\MCC Cal\Coeff1 JN10440_30_210304.txt.txt
T Correction Coefficients:	0	1.024463	0
Time Shift (s):	14
*
Time (s)	Temperature (C)	N2 flow rate (cc/min)	O2 flow rate (cc/min)	Flow Rate (cc/min)	Oxygen (%)	HRR (W/g)	Heating rate (C/s)
0.000	108.184	79.998	19.995	102.997	20.260	-0.335	-0.019
0.500	108.214	79.999	19.994	102.999	20.259	-0.278	-0.033
0.999	108.225	79.999	19.995	103.000	20.259	-0.270	0.011
1.499	108.196	79.998	19.996	103.003	20.259	-0.282	0.011
1.999	108.189	79.998	19.995	103.004	20.261	-0.424	-0.027
2.499	108.209	79.999	19.995	103.005	20.264	-0.613	-0.012
2.999	108.232	79.999	19.995	103.005	20.260	-0.340	0.028
3.500	108.209	79.998	19.995	103.006	20.258	-0.248	0.022
4.000	108.203	79.999	19.996	103.004	20.260	-0.384	-0.014
4.500	108.211	79.998	19.997	103.005	20.262	-0.473	-0.013
5.000	108.218	79.999	19.996	103.005	20.260	-0.388	0.009
5.500	108.255	80.000	19.997	103.007	20.261	-0.424	0.029
6.000	108.213	79.997	19.996	103.006	20.261	-0.452	0.019
6.500	108.220	79.998	19.995	103.005	20.265	-0.669	-0.020
7.000	108.213	79.999	19.995	103.005	20.263	-0.569	-0.017
7.500	108.154	79.999	19.995	103.006	20.261	-0.446	-0.033
8.000	108.224	79.999	19.994	103.005	20.260	-0.327	-0.027
8.500	108.234	79.999	19.995	103.008	20.263	-0.550	0.045
9.000	108.225	79.999	19.995	103.010	20.261	-0.437	0.041
9.500	108.215	79.999	19.994	103.011	20.258	-0.238	-0.008
10.000	108.189	80.000	19.996	103.009	20.261	-0.461	-0.027
10.500	108.202	79.999	19.995	103.008	20.260	-0.376	-0.025
11.000	108.178	79.998	19.993	103.005	20.263	-0.539	-0.012
11.501	108.212	80.000	19.996	103.006	20.262	-0.518	0.000
12.001	108.191	79.999	19.997	103.014	20.262	-0.486	0.012
12.500	108.202	80.000	19.996	103.021	20.259	-0.259	0.001
13.000	108.194	80.000	19.996	103.029	20.257	-0.191	-0.003
13.500	108.226	80.002	19.995	103.034	20.259	-0.286	0.014
14.000	108.244	80.000	19.996	103.037	20.261	-0.448	0.037
14.500	108.209	80.001	19.995	103.037	20.259	-0.261	0.016
15.000	108.188	80.000	19.996	103.037	20.258	-0.257	-0.036
15.500	108.213	80.001	19.996	103.033	20.259	-0.286	-0.026
16.000	108.234	80.000	19.996	103.030	20.258	-0.223	0.024
16.500	108.226	79.999	19.995	103.025	20.257	-0.189	0.030
17.000	108.238	80.000	19.996	103.021	20.257	-0.151	0.009
17.500	108.234	80.001	19.996	103.021	20.257	-0.191	0.006
18.000	108.249	80.000	19.996	103.023	20.258	-0.203	0.010
18.500	108.268	80.000	19.995	103.021	20.255	0.011	0.023
19.000	108.287	80.000	19.995	103.023	20.256	-0.079	0.036
19.500	108.262	79.999	19.996	103.027	20.254	0.025	0.016
20.000	108.259	79.999	19.996	103.026	20.255	-0.053	-0.017
20.500	108.279	80.001	19.997	103.028	20.252	0.199	-0.005
21.000	108.295	79.999	19.995	103.035	20.253	0.114	0.027
21.500	108.340	79.999	19.995	103.039	20.251	0.220	0.048
22.000	108.342	79.999	19.996	103.043	20.249	0.375	0.054
22.500	108.343	80.000	19.996	103.045	20.252	0.195	0.025
23.000	108.345	79.999	19.996	103.043	20.251	0.271	0.003
23.500	108.328	79.999	19.996	103.040	20.253	0.121	-0.006
24.000	108.371	80.000	19.997	103.037	20.251	0.261	0.005
24.500	108.366	79.999	19.996	103.031	20.247	0.526	0.032
