Sample ID:	C:\MCC\MCC Cal\Test\Polyester_Felt\Polyester_Felt_MCC_30K_min_211022_R5.txt
Sample Weight (mg):	4.38
Heating Rate (C/s):	0.5
Combustor Temp (C):	900
N2 Flow Rate (cc/min):	80
O2 Flow Rate (cc/min):	20
Calibration File:	C:\MCC\MCC Cal\Coeff1 JN10440_30_210304.txt.txt
T Correction Coefficients:	0	1.024463	0
Time Shift (s):	14
*
Time (s)	Temperature (C)	N2 flow rate (cc/min)	O2 flow rate (cc/min)	Flow Rate (cc/min)	Oxygen (%)	HRR (W/g)	Heating rate (C/s)
0.000	106.948	79.999	19.997	103.004	20.126	0.189	-0.001
0.500	106.936	80.000	19.996	103.005	20.126	0.157	-0.003
1.000	106.955	79.998	19.995	103.006	20.127	0.115	-0.004
1.500	106.951	79.999	19.996	103.002	20.124	0.275	0.011
2.000	106.945	80.000	19.999	103.001	20.126	0.125	0.003
2.500	106.934	80.001	19.998	103.008	20.126	0.139	-0.014
3.000	106.941	80.000	19.997	103.010	20.125	0.209	-0.010
3.500	106.929	80.000	19.998	103.009	20.129	-0.044	-0.004
4.000	106.982	80.000	19.997	103.009	20.132	-0.271	0.018
4.500	106.959	79.999	19.998	103.006	20.126	0.129	0.035
5.000	106.959	80.001	19.996	102.999	20.127	0.107	0.003
5.500	106.959	80.000	19.995	102.997	20.129	-0.026	-0.011
6.000	106.928	80.000	19.996	102.997	20.126	0.191	-0.015
6.500	106.966	80.001	19.996	102.998	20.126	0.165	-0.012
7.000	106.907	80.001	19.996	103.000	20.126	0.131	-0.007
7.500	106.918	80.001	19.996	103.001	20.126	0.187	-0.034
8.000	106.911	80.001	19.997	103.001	20.124	0.287	-0.022
8.500	106.930	80.001	19.996	103.006	20.126	0.161	0.007
9.000	106.916	80.002	19.995	103.009	20.125	0.255	0.008
9.499	106.890	80.001	19.995	103.011	20.125	0.221	-0.017
9.999	106.912	80.000	19.995	103.016	20.124	0.334	-0.022
10.499	106.903	80.001	19.995	103.020	20.121	0.511	0.004
10.999	106.958	80.000	19.995	103.023	20.123	0.394	0.029
11.499	106.914	80.002	19.995	103.026	20.123	0.412	0.029
11.999	106.949	80.000	19.994	103.030	20.125	0.233	0.001
12.499	106.948	80.000	19.994	103.033	20.125	0.209	0.012
12.999	106.931	80.000	19.995	103.035	20.124	0.334	0.008
13.500	106.911	80.001	19.995	103.036	20.124	0.296	-0.027
14.000	106.924	80.001	19.995	103.037	20.122	0.471	-0.022
14.499	106.954	80.000	19.995	103.037	20.124	0.336	0.018
14.999	106.931	80.000	19.995	103.037	20.124	0.296	0.025
15.499	106.916	80.000	19.994	103.038	20.123	0.410	-0.016
15.999	106.943	80.001	19.995	103.038	20.122	0.426	-0.013
16.499	106.918	80.000	19.995	103.038	20.122	0.471	0.007
16.999	106.933	80.000	19.995	103.039	20.122	0.422	-0.004
17.499	106.971	80.001	19.995	103.044	20.123	0.408	0.021
17.999	106.990	80.000	19.995	103.050	20.119	0.662	0.055
18.499	106.974	80.001	19.995	103.058	20.119	0.704	0.030
18.999	106.992	80.000	19.995	103.066	20.120	0.587	0.003
19.499	106.989	80.000	19.994	103.072	20.119	0.710	0.009
19.999	106.992	80.001	19.995	103.076	20.117	0.823	0.007
20.499	106.999	80.000	19.996	103.078	20.120	0.636	0.005
20.999	107.021	80.000	19.995	103.078	20.119	0.690	0.019
21.499	107.059	80.001	19.994	103.078	20.118	0.720	0.044
21.999	107.026	80.000	19.995	103.078	20.119	0.674	0.032
22.499	107.052	80.001	19.996	103.078	20.116	0.871	-0.001
22.999	107.062	80.000	19.995	103.078	20.113	1.092	0.015
23.499	107.059	80.002	19.995	103.079	20.111	1.225	0.022
23.999	107.071	80.001	19.996	103.086	20.110	1.366	0.008
24.499	107.095	79.999	19.996	103.094	20.111	1.253	0.022
24.999	107.109	80.001	19.995	103.102	20.112	1.185	0.037
25.499	107.165	80.000	19.994	103.112	20.113	1.114	0.054
25.999	107.159	80.000	19.996	103.121	20.109	1.444	0.060
26.499	107.184	80.000	19.996	103.127	20.111	1.283	0.035
26.999	107.210	80.001	19.995	103.134	20.108	1.478	0.035
27.499	107.226	80.002	19.996	103.139	20.110	1.368	0.046
27.999	107.245	80.000	19.994	103.145	20.109	1.394	0.039
28.499	107.317	80.001	19.996	103.148	20.111	1.259	0.064
28.999	107.336	80.001	19.995	103.146	20.107	1.541	0.091
29.499	107.354	80.000	19.995	103.140	20.107	1.561	0.064
29.999	107.366	80.001	19.995	103.135	20.111	1.288	0.033
30.499	107.377	80.002	19.994	103.127	20.112	1.177	0.026
30.999	107.431	80.003	19.995	103.121	20.109	1.437	0.044
31.499	107.471	80.003	19.995	103.120	20.108	1.469	0.080
31.999	107.509	80.002	19.996	103.120	20.108	1.487	0.086
32.499	107.587	80.002	19.994	103.122	20.108	1.507	0.097
32.999	107.580	80.002	19.994	103.123	20.110	1.330	0.094
33.499	107.634	80.003	19.994	103.123	20.109	1.380	0.059
33.999	107.686	80.002	19.996	103.124	20.106	1.600	0.076
34.499	107.719	80.002	19.995	103.129	20.108	1.467	0.096
34.999	107.785	80.002	19.994	103.134	20.109	1.429	0.092
35.499	107.829	80.001	19.995	103.140	20.108	1.471	0.105
35.999	107.850	80.003	19.996	103.147	20.102	1.890	0.087
