##Temp./°C,Time/min,Mass loss(subtr.2)/mg,DSC(subtr.2)/(mW/mg),Sensit./(uV/mW)
48.949,10.015830000000001,0.00253,-0.001615815,0.58411
49.049,11.145,0.0055230240000000005,-0.002129374,0.58416
49.149,11.455680000000001,0.006286759,0.00131593,0.58421
49.249,11.66905,0.0036686379999999997,0.001439247,0.58426
49.349,11.83957,0.004997666,0.0036010129999999997,0.5843
49.449,11.98061,0.007608915999999999,0.004879906,0.58435
49.549,12.11095,0.0055012509999999995,0.008018519,0.5844
49.649,12.22728,-0.001127606,0.008029818000000001,0.58445
49.749,12.33496,0.0027760740000000003,0.01011639,0.58449
49.849,12.4364,0.0055038380000000005,0.01232281,0.58454
49.949,12.532810000000001,0.007113193,0.01396832,0.5845899999999999
50.049,12.62665,0.0058132290000000005,0.01244407,0.5846399999999999
50.149,12.71482,0.005810985,0.01343142,0.58468
50.249,12.799430000000001,0.006785986,0.01292812,0.58473
50.349,12.88228,0.001674541,0.01637344,0.58478
50.449,12.96229,0.002691566,0.01645068,0.58482
50.549,13.03947,-0.00480261,0.01790063,0.58487
50.649,13.11345,0.00644794,0.01675822,0.58492
50.749,13.186029999999999,0.007752158,0.01520511,0.58496
50.849,13.256870000000001,0.01031407,0.01793422,0.58501
50.949,13.325920000000002,0.01037007,0.0171692,0.58506
51.049,13.39299,0.0045087059999999995,0.01503949,0.58511
51.149,13.459620000000001,0.004355489000000001,0.0169763,0.58515
51.249,13.52505,-0.001200827,0.01781545,0.5852
51.349,13.58937,0.004219355,0.01917533,0.58525
51.449,13.653129999999999,0.005660971,0.01719108,0.58529
51.549,13.71626,0.007838270999999999,0.0188303,0.58534
51.649,13.779110000000001,0.007482931,0.01938602,0.58539
51.749,13.84119,-0.002790683,0.01951955,0.58543
51.849,13.90223,0.002655285,0.01796491,0.58548
51.949,13.96234,0.00764139,0.01928426,0.58553
52.049,14.022229999999999,-6.353591999999999e-05,0.01981053,0.58557
52.149,14.08146,0.0033311459999999997,0.01976655,0.58562
52.249,14.139520000000001,0.002502806,0.01870763,0.58567
