Names,Time,Stack TC,Smoke TC,Exh Press,Smoke Comp,Smoke Meas,CO Meter,CO2 Meter,O2 Meter,Sample Mass,Ext Coeff,Start Test,Flame Verif
Chan Gain,,500,500,1,1,1,1,1,1,1,1,1.0,1.0
Offset,,0,0,0.13862761855125427,0,0,0,0,0,0,0,0.0,0.0
Gain,,1,1,25.01099967956543,13.125574111938477,14.623093605041504,1,1,1,1.0010029077529907,0.9580193758010864,1.0,1.0
Units,sec,C,C,Pa,%,%,%,%,%,g,/m,,
Baseline,,24.074134826660156,24.743370056152344,140.52207946777344,99.44261932373047,101.9671401977539,0.0004841744957957417,0.04290050268173218,21.004364013671875,-444.2363586425781,-0.21064114570617676,,
1,0,21.615657806396484,22.585479736328125,140.36587524414062,99.37591552734375,102.58567810058594,0.0003514810814522207,0.04795001447200775,20.998043060302734,596.0571899414062,-0.2671409249305725,0.0,0.0
2,0.25,21.29920768737793,21.91022491455078,142.33436584472656,99.37471008300781,102.05284118652344,0.00034382683224976063,0.0478966198861599,20.998031616210938,596.0872192382812,-0.22347983717918396,0.0,0.0
3,0.5,21.41746711730957,21.894628524780273,140.42999267578125,99.38072204589844,102.11531829833984,0.0003369380137883127,0.04784856364130974,20.99802017211914,595.8569946289062,-0.2281142920255661,0.0,0.0
4,0.75,21.14273452758789,21.936080932617188,142.6160125732422,99.36790466308594,101.75697326660156,0.0003307380829937756,0.047805313020944595,20.998010635375977,595.7869262695312,-0.1996563971042633,0.0,0.0
5,1,20.857236862182617,22.139949798583984,140.8620147705078,99.37230682373047,102.08720397949219,0.00033212831476703286,0.04776638746261597,20.998001098632812,596.0071411132812,-0.22651225328445435,0.0,0.0
6,1.25,21.11829376220703,21.841739654541016,140.5956268310547,99.37631225585938,102.2264404296875,0.0003333795175421983,0.047752745449543,20.99822425842285,596.0471801757812,-0.23762737214565277,0.0,0.0
7,1.5,21.327707290649414,21.976585388183594,136.94488525390625,99.3783187866211,101.81007385253906,0.00033450560295023024,0.04774046689271927,20.998424530029297,595.9570922851562,-0.20315949618816376,0.0,0.0
8,1.75,20.70139503479004,21.797401428222656,140.28497314453125,99.38312530517578,102.42814636230469,0.0003355190856382251,0.04772941768169403,20.99860382080078,595.9070434570312,-0.2536162734031677,0.0,0.0
9,2,21.210371017456055,21.917062759399414,137.52496337890625,99.3755111694336,102.12200927734375,0.00033643122878856957,0.047719474881887436,20.99876594543457,595.8970336914062,-0.2291056215763092,0.0,0.0
10,2.25,21.13386344909668,21.910503387451172,142.71600341796875,99.38072204589844,101.96984100341797,0.00034549282281659544,0.04771052300930023,20.998910903930664,595.9170532226562,-0.21613386273384094,0.0,0.0
11,2.5,21.522485733032227,22.186466217041016,140.482666015625,99.3863296508789,102.06623077392578,0.0003536482690833509,0.04771673306822777,20.999042510986328,596.0071411132812,-0.22359970211982727,0.0,0.0
12,2.75,21.122156143188477,21.38818359375,136.14878845214844,99.37471008300781,102.04659271240234,0.00036098816781304777,0.04772232100367546,20.999160766601562,595.9971313476562,-0.22296494245529175,0.0,0.0
13,3,21.58943748474121,22.119707107543945,140.08193969726562,99.39033508300781,102.1657485961914,0.0003675940679386258,0.047727350145578384,20.999267578125,595.8970336914062,-0.23145060241222382,0.0,0.0
14,3.25,21.13945770263672,21.81426239013672,138.30580139160156,99.38752746582031,102.08497619628906,0.00037670956226065755,0.047731876373291016,20.99936294555664,595.9170532226562,-0.2250416874885559,0.0,0.0
15,3.5,21.46756362915039,21.788190841674805,138.6004180908203,99.38312530517578,102.17243957519531,0.00038491349550895393,0.04772881790995598,20.999448776245117,595.9971313476562,-0.23261073231697083,0.0,0.0
16,3.75,21.31121063232422,21.86743927001953,140.90399169921875,99.3795166015625,102.37727355957031,0.0003922970499843359,0.047726064920425415,20.999526977539062,595.9971313476562,-0.2497468739748001,0.0,0.0
17,4,21.090940475463867,21.897945404052734,139.25149536132812,99.3911361694336,102.46250915527344,0.00039894224028103054,0.04772358760237694,20.999597549438477,595.9370727539062,-0.2557579278945923,0.0,0.0
18,4.25,21.266353607177734,22.237337112426758,138.77598571777344,99.38432312011719,102.10773468017578,0.00040492290281690657,0.04772135615348816,20.99966049194336,595.9270629882812,-0.22718586027622223,0.0,0.0
19,4.5,21.20332908630371,21.872018814086914,140.4979248046875,99.3963394165039,102.14566802978516,0.0004052331205457449,0.04771934822201729,20.999717712402344,595.9771118164062,-0.22929145395755768,0.0,0.0
20,4.75,21.2503604888916,22.514493942260742,142.74806213378906,99.39473724365234,101.88816833496094,0.0004055123426951468,0.0477389357984066,20.99976921081543,595.9671020507812,-0.20821507275104523,0.0,0.0
21,5,21.251750946044922,21.94011116027832,135.9892578125,99.4051513671875,102.22286987304688,0.00040576362516731024,0.04775656387209892,20.999814987182617,595.9671020507812,-0.23489536345005035,0.0,0.0
22,5.25,21.47433090209961,21.97882080078125,138.8507843017578,99.40876007080078,101.8970947265625,0.0004059897910337895,0.04777242988348007,20.999855041503906,595.9470825195312,-0.20776581764221191,0.0,0.0
23,5.5,21.167800903320312,21.856279373168945,141.04290771484375,99.407958984375,101.96627044677734,0.0004061933432240039,0.04778670892119408,20.99989128112793,595.9270629882812,-0.21353675425052643,0.0,0.0
24,5.75,21.168397903442383,22.074140548706055,139.22784423828125,99.38752746582031,102.43171691894531,0.0004063765227328986,0.04779955744743347,20.999923706054688,595.9370727539062,-0.25353729724884033,0.0,0.0
25,6,20.785385131835938,21.741531372070312,139.3362274169922,99.38953399658203,102.43528747558594,0.0003964007191825658,0.047811124473810196,20.999954223632812,595.9671020507812,-0.2536601722240448,0.0,0.0
