Names,Polyester_Microfiber_Sheet_R1,Polyester_Microfiber_Sheet_R2,Polyester_Microfiber_Sheet_R3,Mean,Std. Dev.
162,-2.0,5.6,115.1,39.6,65.5
163,-1.1,7.3,126.1,44.1,71.1
164,-0.4,8.9,135.0,47.8,75.6
165,0.3,10.0,141.9,50.8,79.1
166,1.0,11.4,160.8,57.7,89.4
167,2.9,15.1,173.6,63.8,95.2
168,4.7,18.5,184.0,69.1,99.8
169,6.3,21.6,202.2,76.7,108.9
170,7.6,24.3,216.5,82.8,116.1
171,10.0,30.7,227.8,89.5,120.2
172,12.7,37.1,241.1,97.0,125.4
173,14.4,42.2,254.0,103.5,131.1
174,16.1,46.2,265.7,109.3,136.3
175,19.6,51.8,283.2,118.2,143.8
176,22.2,60.0,290.9,124.4,145.5
177,25.1,67.2,302.8,131.7,149.7
178,27.4,73.6,305.8,135.6,149.2
179,29.3,79.0,315.3,141.2,152.8
180,31.0,94.2,325.7,150.3,155.1
181,34.7,104.7,343.1,160.8,161.7
182,37.7,115.9,348.0,167.2,161.4
183,40.4,123.3,350.4,171.3,160.5
184,42.6,133.4,340.4,172.1,152.6
185,44.9,139.6,356.4,180.3,159.7
186,49.1,153.9,379.3,194.1,168.7
187,52.7,166.7,376.1,198.5,164.0
188,56.5,176.2,380.6,204.4,163.9
189,58.4,185.2,378.5,207.4,161.2
190,61.6,204.1,384.3,216.7,161.7
191,64.6,220.7,408.9,231.4,172.4
192,68.7,234.7,399.9,234.4,165.6
193,73.2,243.5,397.9,238.2,162.4
194,76.8,245.6,407.7,243.4,165.4
195,80.4,260.6,410.9,250.6,165.5
196,83.3,274.5,417.2,258.3,167.6
197,90.4,293.1,411.8,265.1,162.5
198,95.4,315.1,416.4,275.6,164.1
199,99.8,319.6,416.3,278.6,162.2
200,105.5,348.0,415.9,289.8,163.2
201,115.0,353.7,419.2,296.0,160.1
202,122.9,365.5,412.4,300.3,155.4
203,132.8,365.5,416.3,304.8,151.2
204,139.5,380.6,416.6,312.2,150.7
205,149.5,383.5,418.5,317.1,146.3
206,162.1,396.9,413.7,324.2,140.6
207,176.6,399.8,414.1,330.2,133.2
208,182.3,410.9,413.3,335.5,132.7
209,185.3,414.8,405.2,335.1,129.8
210,217.4,409.7,405.2,344.1,109.8
211,222.0,417.9,392.1,344.0,106.5
212,246.5,419.7,393.4,353.2,93.3
213,261.1,417.0,388.7,355.6,83.1
214,271.5,412.8,378.3,354.2,73.7
215,290.3,417.4,375.9,361.2,64.8
216,301.4,417.7,371.0,363.4,58.5
217,309.2,395.4,362.6,355.7,43.5
218,327.4,395.4,358.5,360.4,34.0
219,335.8,396.3,347.8,360.0,32.1
220,344.2,390.4,337.4,357.3,28.8
221,354.9,389.0,333.5,359.1,28.0
222,366.6,374.1,331.3,357.4,22.9
223,375.3,370.9,316.8,354.4,32.6
224,383.1,366.4,313.8,354.4,36.2
225,376.1,356.4,301.7,344.8,38.5
226,385.4,351.2,295.3,344.0,45.5
227,404.8,341.6,292.8,346.4,56.1
228,401.9,338.2,284.3,341.4,58.9
229,399.9,324.6,271.8,332.1,64.4
230,400.5,324.2,266.2,330.3,67.4
231,410.3,316.6,256.5,327.8,77.5
232,406.5,319.2,247.9,324.5,79.4
233,400.6,309.9,241.3,317.3,79.9
234,406.6,307.5,234.5,316.2,86.3
235,402.1,295.1,226.3,307.8,88.6
236,405.8,286.3,220.9,304.3,93.8
237,395.9,277.0,218.4,297.1,90.5
238,396.2,266.8,212.2,291.7,94.5
239,395.2,264.9,204.2,288.1,97.6
240,392.7,255.7,197.6,282.0,100.2
241,386.4,250.2,190.8,275.8,100.3
242,386.9,238.4,185.5,270.3,104.4
243,377.0,238.8,178.4,264.7,101.8
244,376.9,229.7,173.8,260.1,104.9
245,362.2,222.4,168.3,251.0,100.0
246,355.6,213.8,159.9,243.1,101.1
247,354.9,207.9,154.9,239.2,103.6
248,348.5,202.6,152.3,234.5,101.9
249,336.3,196.2,150.8,227.8,96.7
250,333.5,194.0,141.9,223.2,99.1
251,327.4,189.9,139.6,219.0,97.2
252,316.1,185.2,134.6,212.0,93.7
253,305.8,180.3,131.6,205.9,89.8
254,297.6,177.5,125.8,200.3,88.1
255,290.0,171.7,122.2,194.6,86.2
256,286.6,165.9,118.7,190.4,86.6
257,266.4,164.0,115.6,182.0,77.0
258,266.6,155.6,112.9,178.4,79.4
259,262.9,157.9,108.7,176.5,78.8
260,256.9,152.0,106.4,171.7,77.2
261,250.3,149.3,104.0,167.9,74.9
262,243.7,144.6,101.6,163.3,72.9
263,239.5,142.9,99.0,160.5,71.9
264,232.2,135.9,97.9,155.3,69.2
265,228.7,131.5,95.4,151.9,68.9
266,222.9,129.1,93.3,148.4,66.9
267,217.1,125.0,91.0,144.4,65.3
268,209.0,122.0,89.1,140.0,61.9
269,205.8,117.0,86.5,136.4,62.0
270,202.8,115.9,85.0,134.6,61.1
271,197.7,111.3,82.9,130.6,59.8
272,192.4,107.1,81.4,127.0,58.1
273,186.6,106.0,79.6,124.1,55.7
274,185.0,105.0,77.7,122.6,55.8
275,179.7,102.6,76.6,119.6,53.6
276,174.3,100.7,74.4,116.5,51.8
277,168.2,99.4,72.7,113.4,49.2
278,163.0,96.4,70.6,110.0,47.7
279,160.6,94.8,69.0,108.2,47.2
280,157.0,92.4,67.9,105.8,46.0
281,153.8,90.3,67.0,103.7,45.0
282,152.0,90.0,66.1,102.7,44.3
283,145.7,88.1,64.4,99.4,41.8
284,143.4,87.0,62.6,97.7,41.4
285,138.6,85.1,61.9,95.2,39.4
286,137.7,83.7,59.8,93.7,39.9
287,134.0,83.3,59.6,92.3,38.0
288,131.5,82.0,58.4,90.6,37.3
289,127.3,79.3,57.1,87.9,35.9
290,124.9,78.1,56.5,86.5,35.0
291,123.6,76.7,55.7,85.4,34.8
292,121.5,74.6,54.2,83.4,34.5
293,118.3,73.5,53.6,81.8,33.1
294,116.5,72.9,52.9,80.8,32.5
295,113.4,71.3,51.8,78.8,31.5
296,111.4,70.5,51.2,77.7,30.8
297,109.0,68.5,51.0,76.2,29.8
298,105.1,67.1,49.5,73.9,28.4
299,102.6,66.6,48.9,72.7,27.4
300,100.3,65.3,48.3,71.3,26.5
301,98.5,64.5,48.1,70.4,25.7
302,95.6,63.9,47.7,69.1,24.3
303,92.8,61.7,46.3,66.9,23.7
304,90.6,63.1,45.6,66.4,22.7
305,88.0,60.3,45.7,64.7,21.5
306,85.5,60.6,45.0,63.7,20.4
307,84.3,60.7,43.8,62.9,20.3
308,81.6,59.2,43.0,61.3,19.3
309,79.8,58.6,42.7,60.4,18.6
310,78.4,57.9,42.3,59.5,18.1
311,75.3,56.7,41.5,57.9,16.9
312,75.7,57.1,40.8,57.9,17.5
313,73.4,56.7,40.8,57.0,16.3
314,71.4,55.8,39.8,55.6,15.8
315,70.2,54.8,39.0,54.7,15.6
316,67.2,54.7,38.6,53.5,14.3
317,67.6,54.6,38.0,53.4,14.8
318,65.5,54.9,37.7,52.7,14.0
319,64.0,53.5,37.7,51.7,13.2
320,63.7,52.6,36.6,51.0,13.6
321,61.7,52.6,35.8,50.0,13.1
322,60.7,51.8,35.3,49.3,12.9
323,60.3,52.1,36.0,49.5,12.3
324,58.5,51.6,34.8,48.3,12.2
325,56.7,50.9,35.0,47.5,11.3
326,56.7,50.4,34.1,47.1,11.6
327,55.3,51.0,33.6,46.6,11.5
328,54.1,50.9,33.5,46.2,11.1
329,52.9,50.5,33.1,45.5,10.8
330,52.0,49.9,31.9,44.6,11.0
331,51.1,49.9,31.6,44.2,10.9
332,49.9,49.3,31.8,43.7,10.3
333,49.2,48.9,31.6,43.3,10.1
