Time after Ignition,Polyester_Microfiber_Sheet_R1,Polyester_Microfiber_Sheet_R2,Polyester_Microfiber_Sheet_R3,Mean,Std. Dev.
0.0,19.7,13.1,13.5,15.4,3.7
0.25,23.5,15.6,19.3,19.5,3.9
0.5,27.2,18.2,24.2,23.2,4.6
0.75,30.4,20.3,28.4,26.4,5.4
1.0,36.6,26.6,32.2,31.8,5.0
1.25,44.2,31.9,43.2,39.8,6.8
1.5,48.2,36.8,50.3,45.1,7.2
1.75,54.6,41.6,60.3,52.1,9.6
2.0,58.0,46.0,66.9,57.0,10.5
2.25,62.0,47.8,72.4,60.7,12.4
2.5,69.8,51.4,78.3,66.5,13.7
2.75,76.8,60.4,90.8,76.0,15.3
3.0,84.4,66.5,101.8,84.2,17.7
3.25,88.6,73.3,112.0,91.3,19.5
3.5,101.5,79.8,121.3,100.9,20.8
3.75,109.7,89.9,125.3,108.3,17.7
4.0,120.1,101.2,139.1,120.1,19.0
4.25,128.5,105.8,154.8,129.7,24.5
4.5,144.3,115.6,165.7,141.9,25.2
4.75,153.2,131.3,178.4,154.3,23.5
5.0,164.5,145.9,201.5,170.7,28.3
5.25,173.7,158.7,225.8,186.1,35.2
5.5,197.2,175.1,243.5,205.3,34.9
5.75,217.3,191.0,244.0,217.4,26.5
6.0,225.7,220.3,254.0,233.3,18.1
6.25,252.6,237.9,269.9,253.5,16.0
6.5,265.4,246.8,292.1,268.1,22.8
6.75,279.3,282.6,331.9,297.9,29.4
7.0,297.2,317.3,352.4,322.3,27.9
7.25,314.8,337.3,375.8,342.6,30.8
7.5,337.2,351.9,378.2,355.7,20.8
7.75,342.4,369.9,430.4,380.9,45.0
8.0,367.0,383.6,434.0,394.9,34.9
8.25,384.9,405.5,466.8,419.0,42.6
8.5,386.4,428.9,471.2,428.8,42.4
8.75,409.1,446.6,490.9,448.9,40.9
9.0,421.0,448.9,513.7,461.2,47.5
9.25,433.2,465.1,523.2,473.8,45.7
9.5,441.0,489.6,528.1,486.2,43.6
9.75,437.0,495.6,548.7,493.7,55.9
10.0,464.3,514.8,536.9,505.3,37.2
10.25,471.0,524.7,571.8,522.5,50.4
10.5,469.2,527.0,555.1,517.1,43.8
10.75,500.7,535.2,575.0,537.0,37.2
11.0,507.1,545.1,578.5,543.6,35.7
11.25,505.3,569.8,567.9,547.7,36.7
11.5,506.2,561.8,582.6,550.2,39.5
11.75,515.7,550.2,576.0,547.3,30.2
12.0,515.9,550.2,558.7,541.6,22.7
12.25,529.6,545.9,556.4,544.0,13.5
12.5,540.3,546.0,560.3,548.9,10.3
12.75,530.7,523.6,553.8,536.1,15.8
13.0,533.9,529.3,523.5,528.9,5.2
13.25,534.6,521.9,504.7,520.4,15.0
13.5,534.9,496.2,514.2,515.1,19.4
13.75,516.1,486.2,493.0,498.4,15.7
14.0,518.5,472.9,474.3,488.6,25.9
14.25,504.4,458.8,466.7,476.6,24.3
14.5,491.2,457.3,446.2,464.9,23.4
14.75,487.4,447.7,425.3,453.5,31.5
15.0,470.9,429.9,416.6,439.2,28.3
15.25,464.0,415.0,409.9,429.6,29.9
15.5,449.4,401.0,388.9,413.1,32.0
15.75,437.1,391.7,378.8,402.6,30.6
16.0,431.4,381.9,359.5,390.9,36.8
16.25,416.0,368.1,345.0,376.4,36.2
16.5,411.7,360.2,329.1,367.0,41.7
16.75,398.8,342.3,320.8,354.0,40.3
17.0,392.8,336.8,306.2,345.3,43.9
