Sample ID:	C:\MCC\MCC Cal\Test\Polyester_Microfiber_Sheet_MCC_30K_min_211209_R2.txt
Sample Weight (mg):	4.76
Heating Rate (C/s):	0.5
Combustor Temp (C):	900
N2 Flow Rate (cc/min):	80
O2 Flow Rate (cc/min):	20
Calibration File:	C:\MCC\MCC Cal\Coeff1 JN10440_30_210304.txt.txt
T Correction Coefficients:	0	1.024463	0
Time Shift (s):	14
*
Time (s)	Temperature (C)	N2 flow rate (cc/min)	O2 flow rate (cc/min)	Flow Rate (cc/min)	Oxygen (%)	HRR (W/g)	Heating rate (C/s)
-0.001	107.856	80.008	19.995	103.083	19.817	-0.099	-0.042
0.499	107.833	80.008	19.996	103.080	19.815	0.027	-0.016
1.000	107.885	80.009	19.996	103.075	19.819	-0.261	0.015
1.500	107.857	80.008	19.997	103.073	19.821	-0.400	0.026
2.000	107.867	80.008	19.996	103.068	19.818	-0.182	0.002
2.500	107.870	80.008	19.996	103.068	19.817	-0.102	-0.003
3.000	107.881	80.007	19.995	103.072	19.817	-0.115	0.014
3.500	107.874	80.007	19.996	103.075	19.818	-0.192	0.009
4.000	107.895	80.008	19.995	103.077	19.814	0.078	0.009
4.500	107.862	80.007	19.995	103.079	19.816	-0.031	0.002
5.000	107.907	80.008	19.995	103.080	19.815	0.015	0.000
5.500	107.906	80.008	19.996	103.077	19.816	-0.026	0.028
6.000	107.864	80.008	19.996	103.074	19.817	-0.093	0.000
6.500	107.907	80.008	19.995	103.067	19.816	-0.018	-0.021
7.000	107.852	80.007	19.996	103.063	19.814	0.095	-0.005
7.500	107.853	80.010	19.997	103.062	19.816	-0.055	-0.033
8.000	107.864	80.008	19.997	103.061	19.816	-0.038	-0.021
8.500	107.893	80.010	19.996	103.062	19.816	-0.055	0.026
9.000	107.845	80.008	19.996	103.067	19.817	-0.122	0.011
9.500	107.871	80.009	19.996	103.072	19.817	-0.088	-0.021
10.000	107.864	80.009	19.996	103.075	19.817	-0.097	-0.002
10.500	107.893	80.009	19.995	103.076	19.817	-0.099	0.021
11.000	107.877	80.008	19.996	103.076	19.820	-0.276	0.017
11.500	107.891	80.009	19.996	103.079	19.818	-0.172	0.005
12.000	107.871	80.007	19.995	103.080	19.816	-0.035	-0.004
12.500	107.847	80.009	19.995	103.081	19.818	-0.139	-0.025
13.000	107.824	80.010	19.994	103.083	19.816	-0.062	-0.045
13.500	107.882	80.008	19.996	103.085	19.820	-0.278	-0.006
14.000	107.864	80.009	19.996	103.084	19.815	-0.002	0.038
14.500	107.881	80.009	19.994	103.084	19.820	-0.290	0.020
15.000	107.928	80.010	19.996	103.085	19.818	-0.185	0.032
15.500	107.894	80.008	19.997	103.086	19.815	0.053	0.038
16.000	107.892	80.009	19.995	103.093	19.813	0.163	-0.012
16.500	107.902	80.008	19.995	103.101	19.811	0.314	-0.014
17.000	107.897	80.008	19.996	103.110	19.810	0.338	0.006
