##Temp./°C,Time/min,Mass loss(subtr.2)/mg,DSC(subtr.2)/(mW/mg),Sensit./(uV/mW)
48.681,10.00667,-0.0046,0.0005456296,1.05398
48.781,10.31674,-0.00439705,0.005413426,1.05396
48.881,10.391539999999999,-0.00535326,0.01232816,1.0539399999999999
48.981,10.44187,-0.00510838,0.01815091,1.05392
49.081,10.479230000000001,-0.004861825,0.02643359,1.0539
49.181,10.50919,-0.004540465,0.03229368,1.05388
49.281,10.53557,-0.00577897,0.03662472,1.05386
49.381,10.56035,-0.004898662,0.04398244,1.0538399999999999
49.481,10.5824,-0.004384778,0.05059176,1.05382
49.581,10.602319999999999,-0.004340519,0.05462152,1.0538
49.681,10.62042,-0.004388467,0.05905256,1.05378
49.781,10.63822,-0.004248566,0.0642148,1.05376
49.881,10.6547,-0.00429976,0.06916194,1.05374
49.981,10.670539999999999,-0.004398152,0.0731727,1.05372
50.081,10.68557,-0.004276433,0.08035337,1.05369
50.181,10.70023,-0.004279427,0.08343816,1.05367
50.281,10.71372,-0.003817758,0.09016282,1.05365
50.381,10.72688,-0.0035036840000000004,0.09505684,1.0536299999999998
50.481,10.739930000000001,-0.003399311,0.09787189,1.05361
50.581,10.75228,-0.003595004,0.10355999999999999,1.05359
50.681,10.76423,-0.003911943,0.10815999999999999,1.0535700000000001
50.781,10.77549,-0.0042570279999999995,0.11216,1.05355
50.881,10.78713,-0.004387589,0.11402999999999999,1.0535299999999999
50.981,10.79822,-0.004411435,0.11947999999999999,1.05351
51.081,10.80897,-0.003879488,0.1244,1.05349
51.181,10.81931,-0.003627895,0.12922,1.0534700000000001
51.281,10.82962,-0.003161534,0.13495,1.05345
51.381,10.83969,-0.002968326,0.13876,1.0534299999999999
51.481,10.84987,-0.0027165109999999996,0.14151,1.05341
51.581,10.85923,-0.002743702,0.14508,1.05339
51.681,10.86858,-0.0027777970000000003,0.15145,1.05336
51.781,10.87766,-0.003189946,0.15494000000000002,1.05334
51.881,10.88668,-0.003400185,0.15761,1.05332
51.981,10.89565,-0.0035579920000000003,0.16064,1.0533
52.081,10.90442,-0.003615614,0.16497,1.05328
52.181,10.91301,-0.003725252,0.16877,1.05326
52.281,10.921339999999999,-0.003708963,0.17157,1.05324
52.381,10.92964,-0.003608937,0.17515999999999998,1.05322
52.481,10.93794,-0.00358822,0.17837,1.0532
52.581,10.94614,-0.0030936159999999996,0.18174,1.05318
52.681,10.95412,-0.0030779,0.18652,1.05316
52.781,10.96199,-0.003056816,0.19099000000000002,1.05314
52.881,10.96973,-0.003147922,0.19425,1.05311
52.981,10.97739,-0.003451317,0.19909000000000002,1.0530899999999999
53.081,10.98494,-0.0035005179999999998,0.20165,1.0530700000000002
53.181,10.99238,-0.003697304,0.2041,1.05305
53.281,10.99985,-0.003838932,0.2107,1.05303
53.381,11.00712,-0.003834676,0.21373000000000003,1.05301
53.481,11.014330000000001,-0.003717974,0.21771,1.0529899999999999
53.581,11.02144,-0.003561962,0.22055999999999998,1.0529700000000002
53.681,11.02858,-0.0032075140000000003,0.22274000000000002,1.05295
53.781,11.0356,-0.003026726,0.22530999999999998,1.05292
53.881,11.04256,-0.0029212870000000003,0.2277,1.0529
53.981,11.04941,-0.002795844,0.23048000000000002,1.05288
54.081,11.056189999999999,-0.0027343370000000003,0.23398000000000002,1.0528600000000001
54.181,11.06294,-0.002729364,0.23753000000000002,1.05284
54.281,11.06963,-0.002807197,0.2408,1.05282
54.381,11.076310000000001,-0.003118787,0.24409,1.0528
54.481,11.08282,-0.003330387,0.24778000000000003,1.0527799999999998
54.581,11.08935,-0.0035222,0.25056,1.05275
54.681,11.09577,-0.0038026640000000003,0.25239,1.05273
54.781,11.102030000000001,-0.003842635,0.2554,1.05271
54.881,11.10828,-0.0038383040000000003,0.25934,1.05269
54.981,11.114510000000001,-0.003826897,0.26269000000000003,1.05267
55.081,11.12075,-0.003849615,0.26657,1.05265
55.181,11.12694,-0.003952939,0.27036,1.05263
