Sample ID:	C:\MCC\MCC Cal\Test\Polyisocyanurate_Foam_Board_MCC_30K_min_220214_R3.txt
Sample Weight (mg):	4.58
Heating Rate (C/s):	0.5
Combustor Temp (C):	900
N2 Flow Rate (cc/min):	80
O2 Flow Rate (cc/min):	20
Calibration File:	C:\MCC\MCC Cal\Coeff1 JN10440_30_210304.txt.txt
T Correction Coefficients:	0	1.024463	0
Time Shift (s):	14
*
Time (s)	Temperature (C)	N2 flow rate (cc/min)	O2 flow rate (cc/min)	Flow Rate (cc/min)	Oxygen (%)	HRR (W/g)	Heating rate (C/s)
0.000	112.832	80.004	19.993	103.675	20.175	0.328	-0.011
0.500	112.834	80.005	19.994	103.677	20.183	-0.201	-0.025
1.000	112.894	80.004	19.992	103.676	20.181	-0.066	0.014
1.500	112.866	80.004	19.994	103.676	20.178	0.135	0.047
2.000	112.876	80.003	19.994	103.676	20.181	-0.082	0.007
2.500	112.820	80.004	19.994	103.675	20.178	0.121	-0.032
3.000	112.846	80.003	19.993	103.676	20.182	-0.111	-0.038
3.500	112.854	80.002	19.994	103.678	20.184	-0.263	0.002
4.000	112.838	80.004	19.994	103.677	20.177	0.193	0.013
4.500	112.856	80.004	19.994	103.678	20.178	0.152	-0.003
5.000	112.874	80.003	19.994	103.679	20.179	0.080	0.019
5.500	112.863	80.003	19.994	103.679	20.178	0.172	0.021
6.000	112.845	80.003	19.994	103.679	20.178	0.129	-0.011
6.500	112.845	80.004	19.993	103.683	20.177	0.195	-0.023
7.000	112.866	80.007	19.994	103.685	20.175	0.326	0.002
7.500	112.825	80.004	19.993	103.683	20.180	-0.025	0.000
8.000	112.826	80.003	19.994	103.683	20.177	0.230	-0.030
8.501	112.860	80.005	19.993	103.685	20.175	0.348	-0.003
9.001	112.858	80.005	19.993	103.685	20.180	0.033	0.034
9.500	112.867	80.003	19.994	103.685	20.178	0.107	0.020
10.000	112.844	80.001	19.995	103.686	20.179	0.064	-0.004
10.500	112.831	80.004	19.994	103.686	20.175	0.336	-0.025
11.000	112.877	80.004	19.994	103.687	20.178	0.145	-0.002
11.500	112.832	80.004	19.994	103.689	20.175	0.383	0.017
12.000	112.872	80.005	19.994	103.695	20.176	0.287	-0.002
12.500	112.822	80.004	19.994	103.703	20.175	0.340	-0.007
13.000	112.877	79.997	19.996	103.710	20.174	0.430	-0.003
13.500	112.887	80.003	19.994	103.714	20.173	0.484	0.035
14.000	112.833	80.002	19.994	103.715	20.173	0.469	0.011
14.500	112.892	80.012	19.992	103.716	20.170	0.692	-0.019
15.000	112.870	80.015	19.992	103.718	20.175	0.334	0.021
15.500	112.859	80.007	19.993	103.719	20.172	0.582	0.002
16.000	112.898	80.006	19.994	103.727	20.171	0.649	-0.003
16.500	112.869	80.000	19.995	103.730	20.174	0.412	0.019
17.000	112.902	80.006	19.993	103.731	20.173	0.500	0.007
17.500	112.899	80.007	19.994	103.737	20.170	0.721	0.017
18.000	112.898	79.997	19.996	103.744	20.169	0.756	0.013
18.500	112.878	79.997	19.996	103.746	20.162	1.301	-0.012
19.000	112.926	80.004	19.994	103.752	20.163	1.182	0.004
19.500	112.930	80.005	19.994	103.762	20.168	0.873	0.040
20.000	113.005	80.006	19.993	103.769	20.163	1.211	0.066
20.500	112.964	80.004	19.994	103.783	20.161	1.337	0.056
21.000	112.985	80.005	19.993	103.793	20.159	1.501	0.006
21.500	112.984	80.003	19.993	103.801	20.159	1.497	0.000
22.000	113.044	80.002	19.994	103.804	20.164	1.153	0.040
22.500	113.066	80.004	19.994	103.804	20.163	1.233	0.071
23.000	113.065	80.004	19.993	103.800	20.158	1.540	0.051
23.500	113.099	80.004	19.994	103.802	20.158	1.563	0.026
24.000	113.144	80.006	19.993	103.807	20.157	1.598	0.056
24.500	113.160	80.003	19.994	103.812	20.155	1.798	0.070
25.000	113.167	80.004	19.994	103.820	20.156	1.716	0.042
25.500	113.233	80.003	19.993	103.826	20.156	1.700	0.048
26.000	113.253	80.004	19.994	103.828	20.154	1.817	0.079
