Time after Ignition,Polyolefin_Carpet_Low_Pile_R1,Polyolefin_Carpet_Low_Pile_R2,Polyolefin_Carpet_Low_Pile_R3,Mean,Std. Dev.
0.0,42.9,25.1,33.4,33.8,8.9
0.25,49.0,30.0,38.4,39.1,9.5
0.5,54.8,34.1,42.9,43.9,10.4
0.75,66.2,37.9,47.3,50.5,14.4
1.0,78.2,41.7,55.0,58.3,18.5
1.25,87.0,49.3,62.3,66.2,19.1
1.5,96.3,57.8,69.1,74.4,19.8
1.75,104.4,65.0,74.5,81.3,20.6
2.0,117.1,69.2,85.1,90.5,24.4
2.25,128.2,75.3,94.6,99.3,26.8
2.5,142.1,90.8,100.0,110.9,27.4
2.75,146.4,103.3,107.9,119.2,23.7
3.0,163.9,113.7,124.2,133.9,26.5
3.25,180.8,128.0,133.9,147.6,28.9
3.5,186.1,150.4,149.4,162.0,20.9
3.75,198.8,164.6,156.6,173.3,22.4
4.0,210.1,176.3,168.9,185.1,21.9
4.25,215.2,203.6,182.8,200.5,16.5
4.5,220.9,216.2,197.2,211.4,12.6
4.75,235.2,230.0,206.4,223.9,15.4
5.0,249.2,241.3,213.5,234.6,18.7
5.25,255.8,253.2,225.5,244.9,16.8
5.5,263.5,266.4,237.5,255.8,15.9
5.75,278.6,281.6,246.9,269.0,19.2
6.0,287.9,299.9,254.6,280.8,23.5
6.25,296.3,309.4,259.4,288.4,25.9
6.5,302.5,317.4,268.6,296.2,25.0
6.75,318.1,332.2,276.3,308.8,29.1
7.0,322.3,342.5,290.1,318.3,26.4
7.25,336.3,351.9,290.3,326.2,32.0
7.5,345.0,359.0,299.4,334.5,31.1
7.75,350.1,364.9,303.5,339.5,32.0
8.0,359.1,380.4,311.7,350.4,35.1
8.25,362.8,391.4,320.8,358.4,35.5
8.5,373.0,402.7,328.1,367.9,37.6
8.75,383.8,420.7,338.3,380.9,41.3
9.0,385.8,428.3,341.8,385.3,43.3
9.25,390.2,433.0,347.7,390.3,42.7
9.5,410.6,452.3,348.5,403.8,52.2
9.75,416.3,460.4,378.8,418.5,40.9
10.0,433.4,470.5,384.7,429.5,43.0
10.25,436.7,486.5,399.8,441.0,43.5
10.5,463.3,502.2,410.6,458.7,45.9
10.75,468.0,517.2,413.4,466.2,51.9
11.0,478.0,519.7,427.7,475.1,46.0
11.25,475.7,544.0,449.3,489.7,48.9
11.5,502.1,537.3,458.2,499.2,39.6
11.75,507.2,560.4,476.5,514.7,42.4
12.0,519.3,587.9,487.3,531.5,51.4
12.25,555.7,605.0,508.0,556.3,48.5
12.5,569.6,603.4,516.3,563.1,43.9
12.75,555.1,620.0,522.3,565.8,49.7
13.0,592.9,624.9,543.6,587.1,41.0
13.25,613.5,672.9,532.0,606.2,70.7
13.5,620.7,655.0,552.7,609.4,52.1
13.75,632.5,671.9,574.3,626.2,49.1
14.0,676.8,728.9,579.1,661.6,76.1
14.25,665.2,686.7,581.9,644.6,55.4
14.5,702.9,715.1,610.1,676.0,57.4
14.75,691.0,715.4,611.1,672.5,54.5
15.0,712.5,745.5,653.3,703.8,46.7
15.25,739.9,762.1,647.2,716.4,60.9
15.5,762.0,800.0,638.1,733.4,84.7
15.75,752.1,781.8,623.3,719.1,84.2
16.0,821.5,845.8,652.9,773.4,105.1
16.25,813.6,815.9,671.5,767.0,82.7
16.5,825.3,900.6,701.5,809.1,100.5
16.75,822.0,876.5,666.9,788.5,108.8
17.0,810.2,939.3,701.2,816.9,119.2
17.25,825.2,820.0,687.2,777.5,78.2
17.5,822.7,885.7,693.1,800.5,98.2
17.75,845.2,922.8,675.4,814.5,126.5
18.0,872.6,919.4,754.0,848.7,85.3
18.25,867.9,919.4,731.4,839.6,97.2
18.5,941.2,930.3,731.5,867.7,118.0
