##Temp./°C,Time/min,DSC(subtr.2)/mW,Mass loss(subtr.2)/mg,Sensit./(uV/mW)
48.82,10.00667,0.02242184,-0.00614,1.08887
48.92,10.31039,0.045319,-0.008196251,1.08879
49.02,10.39274,0.0759194,-0.006073612,1.0887
49.12,10.43953,0.10955,-0.006959349,1.0886200000000001
49.22,10.47493,0.13592,-0.008321534,1.08853
49.32,10.50509,0.16208,-0.007970135,1.08845
49.42,10.5307,0.19034,-0.007944598,1.08836
49.52,10.553989999999999,0.21700999999999998,-0.0069819159999999995,1.08828
49.62,10.57579,0.23578000000000002,-0.007534728,1.0882
49.72,10.59596,0.25978,-0.007300964,1.0881100000000001
49.82,10.61437,0.28338,-0.007020733,1.0880299999999998
49.92,10.631839999999999,0.2981,-0.007224585,1.08794
50.02,10.64788,0.32295999999999997,-0.007498508,1.08786
50.12,10.662989999999999,0.34614,-0.00763072,1.0877700000000001
50.22,10.67746,0.36599,-0.007724283,1.08769
50.32,10.69171,0.38554,-0.008526919,1.08761
50.42,10.70514,0.40131,-0.009167185,1.08752
50.52,10.7184,0.42223999999999995,-0.01003838,1.08744
50.62,10.73093,0.44035,-0.009393553,1.08735
50.72,10.74325,0.45897,-0.009425403,1.0872700000000002
50.82,10.75516,0.47516,-0.007507726,1.0871899999999999
50.92,10.76645,0.49511000000000005,-0.007273363000000001,1.0871
51.02,10.777239999999999,0.516,-0.006746685,1.08702
51.12,10.78787,0.5261399999999999,-0.005350629,1.08693
51.22,10.798630000000001,0.55147,-0.005646442,1.08685
51.32,10.80904,0.56495,-0.004957385,1.08676
51.42,10.81915,0.57902,-0.004257362,1.0866799999999999
51.52,10.82898,0.5965,-0.004781809000000001,1.0866
51.62,10.83868,0.62274,-0.0041246,1.08651
51.72,10.8484,0.6318699999999999,-0.004129843,1.08643
51.82,10.85778,0.6552,-0.0037763659999999998,1.0863399999999999
51.92,10.8668,0.67804,-0.00438442,1.08626
52.02,10.87565,0.69119,-0.00425459,1.08618
52.12,10.88441,0.70334,-0.0045689170000000005,1.08609
52.22,10.89308,0.7161,-0.005224866,1.0860100000000001
52.32,10.90161,0.73832,-0.00608234,1.0859299999999998
52.42,10.910039999999999,0.75222,-0.006253941999999999,1.08584
52.52,10.918289999999999,0.76435,-0.006438737,1.08576
52.62,10.92642,0.77325,-0.007090209,1.0856700000000001
52.72,10.934460000000001,0.78908,-0.007617439,1.08559
52.82,10.94239,0.80185,-0.007173019,1.08551
52.92,10.95026,0.82437,-0.006749086,1.08542
53.02,10.95801,0.8401200000000001,-0.006672585,1.08534
53.12,10.96565,0.85609,-0.007169259,1.08525
53.22,10.9732,0.86865,-0.006794506999999999,1.08517
53.32,10.98062,0.89025,-0.007472684,1.0850899999999999
53.42,10.9881,0.90055,-0.007200733000000001,1.085
53.52,10.99535,0.9107,-0.008572207,1.08492
53.62,11.002510000000001,0.9247299999999999,-0.009122585,1.08484
53.72,11.009730000000001,0.94021,-0.00913137,1.08475
53.82,11.01672,0.9531299999999999,-0.009216878000000001,1.08467
53.92,11.0236,0.96088,-0.008854913,1.08459
54.02,11.03043,0.97821,-0.008618193,1.0845
54.12,11.037239999999999,0.99855,-0.008086801,1.0844200000000002
54.22,11.04398,1.00641,-0.00742596,1.08433
54.32,11.05064,1.01272,-0.005965183000000001,1.08425
54.42,11.05724,1.02817,-0.0058369730000000005,1.08417
54.52,11.06374,1.0391299999999999,-0.005691356999999999,1.08408
54.62,11.070219999999999,1.04375,-0.004646086,1.084
54.72,11.0767,1.05745,-0.004704422,1.08392
54.82,11.08312,1.07256,-0.004534937,1.0838299999999998
54.92,11.08948,1.0842100000000001,-0.004256269,1.08375
55.02,11.09577,1.09881,-0.004997482,1.0836700000000001
55.12,11.102030000000001,1.10874,-0.005036377,1.08358
55.22,11.108239999999999,1.12069,-0.004970782,1.0835
55.32,11.11439,1.135,-0.00560461,1.08342
55.42,11.12043,1.1486,-0.005268034,1.08333
55.52,11.12646,1.15486,-0.006112185,1.08325
55.62,11.132430000000001,1.16482,-0.006898502,1.08317
55.72,11.13837,1.1831,-0.006535239,1.0830799999999998
55.82,11.14433,1.19976,-0.006733445,1.083
55.92,11.15019,1.20771,-0.006420244,1.08292
56.02,11.15596,1.21386,-0.006042471,1.08283
56.12,11.16175,1.22764,-0.006466408000000001,1.08275
56.22,11.16756,1.2454399999999999,-0.006256226,1.08267
56.32,11.17333,1.25655,-0.005490327,1.0825799999999999
56.42,11.179030000000001,1.26427,-0.005649869,1.0825
56.52,11.184660000000001,1.27461,-0.005866218,1.0824200000000002
56.62,11.190339999999999,1.2820200000000002,-0.0060823380000000005,1.08233
56.72,11.196010000000001,1.29102,-0.006384391,1.08225
56.82,11.20164,1.30033,-0.006219955,1.08217
56.92,11.20728,1.30616,-0.005829616,1.08209
57.02,11.21285,1.32251,-0.006510109,1.082
57.12,11.21833,1.34057,-0.007115223,1.08192
57.22,11.22378,1.34733,-0.006272545,1.08184
57.32,11.22925,1.35524,-0.006232982,1.08175
57.42,11.23467,1.37048,-0.00727113,1.0816700000000001
57.52,11.24,1.38185,-0.0069192640000000005,1.08159
57.62,11.24535,1.39039,-0.0062923219999999995,1.0815
57.72,11.250680000000001,1.40005,-0.007235787,1.08142
57.82,11.25601,1.41068,-0.007513159,1.08134
57.92,11.2613,1.4180700000000002,-0.006879995,1.08126
58.02,11.26651,1.42436,-0.00733521,1.08117
58.12,11.27171,1.43995,-0.007459498,1.0810899999999999
58.22,11.27683,1.44735,-0.006977921,1.08101
58.32,11.281880000000001,1.45163,-0.0071589240000000005,1.08092
58.42,11.28697,1.4633200000000002,-0.007782140999999999,1.08084
58.52,11.292119999999999,1.47515,-0.0069031990000000005,1.08076
58.62,11.297189999999999,1.4841799999999998,-0.0065969390000000004,1.0806799999999999
58.72,11.30223,1.49525,-0.007254174,1.08059
58.82,11.307319999999999,1.50726,-0.007370164,1.08051
58.92,11.312380000000001,1.5144600000000001,-0.006177309000000001,1.08043
59.02,11.31732,1.52562,-0.006259791,1.0803399999999999
59.12,11.32227,1.5354700000000001,-0.006954578,1.08026
59.22,11.32725,1.54207,-0.006987554,1.08018
59.32,11.332139999999999,1.55245,-0.00661281,1.0801
59.42,11.337010000000001,1.5644,-0.006733453,1.0800100000000001
59.52,11.34189,1.5697299999999998,-0.006665897,1.0799299999999998
59.62,11.34677,1.56996,-0.006259398,1.07985
59.72,11.35164,1.57741,-0.0067389880000000004,1.0797700000000001
59.82,11.3565,1.58595,-0.007457649,1.07968
59.92,11.36134,1.59504,-0.007246361999999999,1.0796
60.02,11.36617,1.6067200000000001,-0.006288155,1.07952
60.12,11.371030000000001,1.61647,-0.006675372,1.07944
60.22,11.375810000000001,1.62568,-0.007500751999999999,1.07935
60.32,11.380510000000001,1.63446,-0.007377039,1.0792700000000002
60.42,11.38526,1.6404,-0.006311245,1.0791899999999999
60.52,11.390039999999999,1.6442400000000001,-0.006355305,1.07911
60.62,11.39477,1.65367,-0.007086605,1.07902
60.72,11.39942,1.67097,-0.007003949000000001,1.07894
60.82,11.404119999999999,1.68439,-0.005915192,1.07886
60.92,11.40884,1.68918,-0.005524360999999999,1.0787799999999999
61.02,11.41353,1.69055,-0.006294513000000001,1.07869
61.12,11.41816,1.69705,-0.006772995,1.07861
61.22,11.4228,1.70288,-0.006248273,1.07853
61.32,11.42747,1.71133,-0.005852156999999999,1.07845
61.42,11.43213,1.7262400000000002,-0.006706571999999999,1.07836
61.52,11.436689999999999,1.7326099999999998,-0.007045351,1.07828
61.62,11.4412,1.73455,-0.006508778000000001,1.0782
61.72,11.445739999999999,1.74263,-0.006072623,1.07812
61.82,11.450280000000001,1.7562,-0.006965894,1.0780299999999998
61.92,11.45479,1.7655299999999998,-0.007565658,1.07795
62.02,11.45928,1.76762,-0.006734513,1.07787
62.12,11.4638,1.7741200000000001,-0.006070883000000001,1.07779
62.22,11.46832,1.78555,-0.006405961,1.07771
62.32,11.47284,1.7961,-0.0071176040000000005,1.07762
62.42,11.477319999999999,1.8006900000000001,-0.006606608000000001,1.07754
62.52,11.48179,1.80835,-0.006022968,1.07746
62.62,11.486239999999999,1.8193599999999999,-0.0063979169999999995,1.07738
62.72,11.49065,1.8214599999999999,-0.007191459,1.0773
62.82,11.49506,1.82972,-0.007162243,1.07721
62.92,11.4995,1.84778,-0.006235295,1.07713
63.02,11.50388,1.85591,-0.005916930999999999,1.07705
63.12,11.50827,1.8585200000000002,-0.006388695,1.07697
63.22,11.51268,1.86369,-0.006909248000000001,1.07689
63.32,11.51707,1.8713099999999998,-0.006457439000000001,1.0768
63.42,11.521469999999999,1.87827,-0.005953675,1.0767200000000001
63.52,11.52588,1.88335,-0.006185072,1.07664
63.62,11.53026,1.8895099999999998,-0.0065538490000000005,1.07656
63.72,11.53459,1.89904,-0.00650945,1.0764799999999999
63.82,11.53888,1.91097,-0.006094778,1.07639
63.92,11.54317,1.91993,-0.006146274,1.07631
64.02,11.54748,1.9245,-0.006539403,1.07623
64.12,11.55177,1.9272799999999999,-0.0067247290000000005,1.07615
64.22,11.55601,1.9340700000000002,-0.006499043,1.07607
64.32,11.56027,1.9425,-0.00624805,1.07598
64.42,11.5646,1.94698,-0.00649005,1.0759
64.52,11.56888,1.95114,-0.006914617,1.07582
64.62,11.573080000000001,1.9564599999999999,-0.007041991,1.07574
64.72,11.57731,1.96155,-0.00660749,1.07566
64.82,11.58155,1.9699099999999998,-0.006340449000000001,1.07558
64.92,11.58575,1.9799799999999999,-0.006612282,1.07549
65.02,11.58995,1.98282,-0.006882597,1.07541
65.12,11.59412,1.98459,-0.006721136,1.07533
65.22,11.59826,1.99337,-0.006169959,1.07525
65.32,11.60247,2.00474,-0.00610339,1.0751700000000002
65.42,11.6067,2.01335,-0.0065950159999999996,1.0750899999999999
65.52,11.61089,2.01685,-0.007013991,1.075
65.62,11.61505,2.0220599999999997,-0.006872275,1.07492
65.72,11.61921,2.0303,-0.006399125,1.07484
65.82,11.62336,2.0346599999999997,-0.006515531,1.07476
65.92,11.62752,2.03861,-0.0070046119999999995,1.0746799999999999
66.02,11.6317,2.0464900000000004,-0.007266895,1.0746
66.12,11.63585,2.05415,-0.007042083,1.07451
66.22,11.63995,2.05917,-0.006701566,1.07443
66.32,11.64403,2.06208,-0.0068582040000000006,1.07435
66.42,11.64812,2.06644,-0.0072826,1.07427
66.52,11.65223,2.07428,-0.007501321,1.07419
66.62,11.65634,2.08409,-0.00710219,1.0741100000000001
66.72,11.66041,2.0935599999999996,-0.006542303,1.0740299999999998
66.82,11.664439999999999,2.10071,-0.0065335359999999995,1.07394
66.92,11.66848,2.10543,-0.007135453000000001,1.07386
67.02,11.67255,2.1088400000000003,-0.007838361,1.07378
67.12,11.67658,2.11289,-0.00775765,1.0737
67.22,11.680589999999999,2.11766,-0.00701229,1.07362
67.32,11.68464,2.12258,-0.00622134,1.07354
67.42,11.68871,2.12744,-0.006098023,1.07346
67.52,11.69276,2.13342,-0.006693078000000001,1.07338
67.62,11.6968,2.14202,-0.007381057,1.0732899999999999
67.72,11.70083,2.1484,-0.007526054,1.07321
67.82,11.70486,2.1503799999999997,-0.006917842,1.07313
67.92,11.70888,2.15627,-0.006248302,1.07305
68.02,11.71289,2.16515,-0.006018318000000001,1.07297
68.12,11.71686,2.16919,-0.006363336999999999,1.07289
68.22,11.72082,2.17417,-0.006900203000000001,1.07281
68.32,11.72477,2.18411,-0.007132885,1.07273
68.42,11.72869,2.18919,-0.006735535999999999,1.07265
68.52,11.7326,2.1882,-0.00602415,1.07256
68.62,11.73657,2.18928,-0.005786953,1.0724799999999999
68.72,11.74057,2.1960900000000003,-0.005964419,1.0724
68.82,11.744589999999999,2.20732,-0.006221971,1.0723200000000002
68.92,11.74858,2.21447,-0.0064817519999999995,1.0722399999999999
69.02,11.75254,2.2144,-0.006597212,1.07216
69.12,11.75649,2.21138,-0.006362982,1.07208
69.22,11.76043,2.21345,-0.005995531,1.072
69.32,11.76436,2.22483,-0.005782598000000001,1.07192
69.42,11.768289999999999,2.23446,-0.005669156,1.07184
69.52,11.77223,2.23717,-0.005667233000000001,1.07175
69.62,11.77617,2.2383599999999997,-0.0059106869999999995,1.0716700000000001
69.72,11.7801,2.2406,-0.006152243000000001,1.07159
69.82,11.78398,2.24421,-0.006046623,1.07151
69.92,11.787930000000001,2.24872,-0.005695391,1.0714299999999999
70.02,11.791960000000001,2.25399,-0.00533464,1.07135
70.12,11.79595,2.2606,-0.005233324,1.0712700000000002
70.22,11.79988,2.26824,-0.005468295,1.0711899999999999
70.32,11.80382,2.27563,-0.005896946,1.07111
70.42,11.807780000000001,2.28038,-0.005986365,1.07103
70.52,11.81172,2.2829200000000003,-0.005512286,1.07095
70.62,11.81562,2.28881,-0.004986600999999999,1.07087
70.72,11.81948,2.29587,-0.004896688,1.0707799999999998
70.82,11.82334,2.2972599999999996,-0.005493049,1.0707
70.92,11.827210000000001,2.29776,-0.00608406,1.0706200000000001
