##Temp./°C,Time/min,DSC(subtr.)/(mW/mg),Mass(subtr.2)/%,Sensit./(uV/mW)
49.349,10.01,-0.001757585,99.97574,1.07447
49.449,10.425939999999999,0.002468011,99.94733000000001,1.07446
49.549,10.52496,0.006680167,99.93641,1.07445
49.649,10.59212,0.01089594,99.93496,1.07445
49.749,10.64633,0.01527616,99.93956,1.07444
49.849,10.693769999999999,0.01788595,99.97785,1.07443
49.949,10.735389999999999,0.02212801,99.94213,1.07443
50.049,10.77232,0.02693634,99.94813,1.0744200000000002
50.149,10.80663,0.02879989,99.9535,1.07441
50.249,10.83881,0.03367228,99.94818000000001,1.0744
50.349,10.86858,0.03763096,99.95486,1.0744
50.449,10.89675,0.03889486,99.95849,1.07439
50.549,10.92343,0.04157377,99.97165,1.07438
50.649,10.94862,0.04471088,99.93422,1.07438
50.749,10.97361,0.04889738,99.93036,1.07437
50.849,10.99762,0.05181544,99.92939,1.07436
50.949,11.02064,0.05512879,99.94493,1.07435
51.049,11.042689999999999,0.05749617,99.93186,1.07435
51.149,11.06444,0.05840858,99.91942,1.07434
51.249,11.08535,0.06166018,99.96548,1.07433
51.349,11.10561,0.06570819,99.96359,1.07433
51.449,11.12551,0.06713828,99.95903,1.0743200000000002
51.549,11.14533,0.0684602,99.94097,1.07431
51.649,11.1645,0.07223912,99.94136,1.0743
51.749,11.18305,0.07303799,99.94951,1.0743
51.849,11.20122,0.07745843,99.92424,1.07429
51.949,11.21945,0.07720388,99.96294,1.07428
52.049,11.23732,0.08238271,99.94484,1.07427
52.149,11.25488,0.08257167,99.94932,1.07427
52.249,11.27217,0.08446058,99.9349,1.07426
52.349,11.28905,0.08506743,99.92015,1.07425
52.449,11.30584,0.08931816,99.93701999999999,1.0742399999999999
52.549,11.32235,0.08971448,99.93812,1.0742399999999999
52.649,11.33862,0.09040982,99.94286,1.07423
52.749,11.35464,0.09281222,99.96677,1.0742200000000002
52.849,11.370510000000001,0.09507392,99.97891,1.07421
52.949,11.38623,0.09784015,99.9724,1.07421
53.049,11.401760000000001,0.09732037,99.99311999999999,1.0742
53.149,11.41708,0.09890342,99.97889,1.07419
53.249,11.43218,0.1002,100.00586,1.07418
53.349,11.44701,0.10147,99.97995,1.07418
53.449,11.46176,0.10372,99.98666,1.07417
53.549,11.47642,0.10533,99.97759,1.07416
53.649,11.490969999999999,0.10695,99.96987,1.07415
53.749,11.505360000000001,0.10662,99.9415,1.0741399999999999
53.849,11.51957,0.11051,99.96959,1.0741399999999999
53.949,11.53384,0.11105999999999999,99.94173,1.07413
54.049,11.547889999999999,0.11383,99.95073000000001,1.07412
54.149,11.56194,0.11299000000000001,99.9675,1.0741100000000001
54.249,11.57583,0.11506,99.94598,1.0741
54.349,11.58962,0.11557,99.96947,1.0741
54.449,11.60347,0.11696,99.96704,1.07409
54.549,11.61709,0.1176,99.96035,1.07408
54.649,11.63058,0.1223,99.97296,1.07407
54.749,11.644039999999999,0.12053,99.95773,1.07406
54.849,11.65734,0.12299000000000002,99.96806,1.07406
54.949,11.67043,0.12377,99.96356999999999,1.07405
