LABORATORY,FSRI 
TEST IDENT,PTDB_HF25_R4
OPERATOR,Marino
MATERIAL,Pressure Treated Deck Board
ORIENTATION,Horizontal
HEAT FLUX,25
SURF AREA,0.009999999776482582
C FACTOR,0.039956048130989075
SPEC HOLDER DIFF,-566
SPECIMEN MASS,131.55999755859375
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,6175
TIME TO IGN,160
END OF TEST SCAN,5695
END OF TEST TIME,1423.75
TEST STATUS,1
PRE TEST CMT,Dimensions: 101.86 x 101.48 x 19.59 mm; with tie wires
POST TEST CMT,"Sample fractured, charred, and reduced in surface area."
