##Temp./°C,Time/min,Mass loss(subtr.2)/mg,DSC(subtr.2)/mW,Sensit./(uV/mW)
49.295,10.01,-0.03357,-0.09871361,0.6183
49.395,10.78072,-0.03615465,-0.08767748,0.61835
49.495,10.9946,-0.03483173,-0.07230595,0.61841
49.595,11.1245,-0.03610957,-0.07727449,0.61846
49.695,11.231489999999999,-0.03881395,-0.07138227,0.61851
49.795,11.32343,-0.03882913,-0.06558894,0.61857
49.895,11.39922,-0.03647161,-0.06502603,0.61862
49.995,11.46823,-0.03889083,-0.05788245,0.6186699999999999
50.095,11.530380000000001,-0.03881878,-0.04070273,0.61873
50.195,11.58844,-0.03743118,-0.04809805,0.61878
50.295,11.64095,-0.03708949,-0.03376752,0.61883
50.395,11.69042,-0.03600193,-0.04321554,0.6188899999999999
50.495,11.73865,-0.03605696,-0.02394776,0.6189399999999999
50.595,11.7835,-0.03784456,-0.02451764,0.6189899999999999
50.695,11.826410000000001,-0.04040285,-0.02829024,0.6190399999999999
50.795,11.86808,-0.03887999,-0.007975241999999999,0.6191
50.895,11.907110000000001,-0.03750545,0.001820292,0.61915
50.995,11.94485,-0.03669574,-0.00991211,0.6192
51.095,11.98141,-0.03751572,0.00267503,0.61925
51.195,12.01763,-0.03750912,0.009573881999999999,0.61931
51.295,12.05193,-0.03743256,0.003555136,0.61936
51.395,12.08531,-0.03646518,0.008562907,0.61941
51.495,12.11769,-0.03611548,0.01767742,0.61947
51.595,12.14997,-0.03719302,0.01844771,0.61952
51.695,12.18111,-0.03751449,0.02607822,0.61957
51.795,12.21165,-0.03864893,0.03193624,0.61962
51.895,12.24135,-0.03750431,0.0365551,0.61968
51.995,12.27092,-0.03756513,0.0371043,0.61973
52.095,12.29974,-0.03750801,0.03559739,0.61978
52.195,12.328489999999999,-0.03880379,0.04714387,0.61983
52.295,12.35618,-0.03733199,0.06106166,0.61988
52.395,12.38358,-0.03685157,0.06214849,0.6199399999999999
52.495,12.41033,-0.03694301,0.06289497,0.6199899999999999
52.595,12.436539999999999,-0.03701954,0.05553442,0.6200399999999999
52.695,12.46247,-0.03729639,0.06406881,0.6200899999999999
52.795,12.48827,-0.03602733,0.08387708,0.62015
52.895,12.51332,-0.03729075,0.08158314,0.6202
52.995,12.537989999999999,-0.0374781,0.07707953,0.62025
53.095,12.56254,-0.03858658,0.08516727,0.6203
53.195,12.58668,-0.03862294,0.08732396,0.62035
53.295,12.61078,-0.03932434,0.08620572,0.62041
53.395,12.63449,-0.03990092,0.09240889,0.62046
53.495,12.65788,-0.0409154,0.09421711,0.62051
53.595,12.68089,-0.03971764,0.09194759,0.62056
53.695,12.70335,-0.03910635,0.10173,0.62061
53.795,12.72608,-0.03947019,0.10422000000000001,0.62066
53.895,12.7482,-0.03823697,0.10589000000000001,0.6207199999999999
53.995,12.77019,-0.03861613,0.113,0.6207699999999999
54.095,12.79208,-0.03955695,0.11490999999999998,0.6208199999999999
54.195,12.8139,-0.0382014,0.11369000000000001,0.62087
54.295,12.8355,-0.03883417,0.11535,0.62092
54.395,12.856119999999999,-0.03846367,0.12224000000000002,0.62097
54.495,12.877130000000001,-0.03944285,0.11387,0.62103
54.595,12.89847,-0.03940201,0.11174,0.62108
54.695,12.91943,-0.03991683,0.12376,0.6211300000000001
54.795,12.939960000000001,-0.04025867,0.12404000000000001,0.6211800000000001
54.895,12.96066,-0.04000591,0.12365,0.6212300000000001
54.995,12.981,-0.04122,0.12768,0.62128
55.095,13.00118,-0.04156758,0.12449,0.62133
55.195,13.02126,-0.04156982,0.12140999999999999,0.62139
55.295,13.04083,-0.04157006,0.12678,0.62144
