LABORATORY,FSRI 
TEST IDENT,R30Insulation_HF25_2
OPERATOR,Dow
MATERIAL,R30 Fiberglass Insulation
ORIENTATION,Horizontal
HEAT FLUX,25
SURF AREA,0.009999999776482582
C FACTOR,0.041122306138277054
SPEC HOLDER DIFF,-566
SPECIMEN MASS,5.550000190734863
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,2885
TIME TO IGN,0
END OF TEST SCAN,2405
END OF TEST TIME,601.25
TEST STATUS,1
PRE TEST CMT,Dimensions: 108 x 105 x 40 mm
POST TEST CMT,No ignition. Test ended after 10 minutes. No mass loss after 10 minutes in replicate R1. 
