Names,Time,Stack TC,Smoke TC,Exh Press,Smoke Comp,Smoke Meas,CO Meter,CO2 Meter,O2 Meter,Sample Mass,Ext Coeff,Start Test,Flame Verif
Chan Gain,,500,500,1,1,1,1,1,1,1,1,1.0,1.0
Offset,,0,0,0.134257510304451,0,0,0,0,0,0,0,0.0,0.0
Gain,,1,1,25.01099967956543,13.171037673950195,13.898323059082031,1,1,1,1.0009158849716187,1.0045937299728394,1.0,1.0
Units,sec,C,C,Pa,%,%,%,%,%,g,/m,,
Baseline,,51.12324905395508,52.39443588256836,141.10267639160156,101.09613800048828,102.42091369628906,0.0010200734250247478,0.0471249483525753,21.027734756469727,-835.5812377929688,-0.11460324376821518,,
1,0,50.4088020324707,51.75943374633789,143.71604919433594,101.34761047363281,101.07246398925781,0.003049571067094803,0.06606678664684296,21.014162063598633,-354.484375,0.023956606164574623,0.0,0.0
2,0.25,50.568992614746094,51.606868743896484,140.3927459716797,101.35806274414062,98.92926788330078,0.0034273616038262844,0.06766697019338608,21.01030921936035,-354.474365234375,0.21373409032821655,0.0,0.0
3,0.5,50.72130584716797,51.427066802978516,131.74331665039062,101.350830078125,94.5788345336914,0.003767373040318489,0.06910713762044907,21.0068416595459,-354.38427734375,0.6094040274620056,0.0,0.0
4,0.75,50.47195053100586,51.314125061035156,134.45599365234375,101.35645294189453,89.870849609375,0.004403247497975826,0.08420166373252869,21.003721237182617,-354.70458984375,1.0598453283309937,0.0,1.0
5,1,49.01264953613281,50.72789764404297,132.78213500976562,101.35163116455078,85.89153289794922,0.00497553450986743,0.09778673946857452,20.984004974365234,-354.38427734375,1.458518147468567,0.0,1.0
6,1.25,48.726932525634766,49.6759033203125,128.10020446777344,101.37133026123047,80.87137603759766,0.005490593146532774,0.11001330614089966,20.966259002685547,-354.474365234375,1.9909496307373047,0.0,1.0
7,1.5,49.109832763671875,49.845191955566406,131.82879638671875,101.35846710205078,76.96968078613281,0.005954145919531584,0.1210172176361084,20.950288772583008,-354.774658203125,2.4255809783935547,0.0,1.0
8,1.75,48.735374450683594,49.961517333984375,129.31381225585938,101.35283660888672,75.54795837402344,0.0067516169510781765,0.13092073798179626,20.935914993286133,-354.6044921875,2.589386463165283,0.0,1.0
9,2,49.143280029296875,49.94370651245117,128.37879943847656,101.34480285644531,74.04521942138672,0.007469341158866882,0.1526341289281845,20.901138305664062,-354.64453125,2.765739917755127,0.0,1.0
10,2.25,48.53107452392578,49.75127029418945,123.37171173095703,101.36248779296875,72.4037857055664,0.008115292526781559,0.17217618227005005,20.869840621948242,-354.8046875,2.964824676513672,0.0,1.0
11,2.5,48.32358932495117,50.28781509399414,124.11209106445312,101.3560562133789,72.958984375,0.008696649223566055,0.18976402282714844,20.841672897338867,-354.74462890625,2.8969502449035645,0.0,1.0
12,2.75,49.48838424682617,49.61288070678711,129.45578002929688,101.34117889404297,70.9739990234375,0.009602166712284088,0.205593079328537,20.816320419311523,-354.8046875,3.1387319564819336,0.0,1.0
13,3,49.24092102050781,49.753753662109375,127.13236999511719,101.33917236328125,71.87063598632812,0.010417132638394833,0.21983923017978668,20.774011611938477,-354.8346862792969,3.0279269218444824,0.0,1.0
14,3.25,49.329917907714844,50.103492736816406,119.6690673828125,101.36128234863281,73.73135375976562,0.0111506013199687,0.24422073364257812,20.73593521118164,-354.7846374511719,2.8046059608459473,0.0,1.0
15,3.5,49.04515075683594,50.31074905395508,119.84004211425781,101.34962463378906,74.8311538696289,0.011810723692178726,0.266164094209671,20.7016658782959,-354.9748229980469,2.67311692237854,0.0,1.0
16,3.75,49.750213623046875,50.08507537841797,117.94253540039062,101.34359741210938,74.56733703613281,0.012762078084051609,0.2859131097793579,20.67082405090332,-354.9447937011719,2.7037150859832764,0.0,1.0
17,4,49.53664016723633,50.31452178955078,122.15276336669922,101.350830078125,77.02864074707031,0.013618296943604946,0.3036872148513794,20.628271102905273,-354.9548034667969,2.4181694984436035,0.0,1.0
18,4.25,50.038063049316406,50.605377197265625,120.94373321533203,101.357666015625,71.06221771240234,0.014388893730938435,0.32919344305992126,20.58997344970703,-355.0248718261719,3.129218578338623,0.0,1.0
19,4.5,50.00583267211914,51.44670867919922,118.78824615478516,101.343994140625,70.48495483398438,0.01508243102580309,0.3521490693092346,20.555505752563477,-355.06488037109375,3.199907064437866,0.0,1.0
20,4.75,50.600181579589844,50.99406814575195,115.55272674560547,101.34480285644531,68.71627807617188,0.01599789410829544,0.37280911207199097,20.524484634399414,-355.0749206542969,3.423924207687378,0.0,1.0
21,5,50.80172348022461,50.701026916503906,121.66732025146484,101.35163116455078,68.95295715332031,0.016821810975670815,0.3914031684398651,20.496564865112305,-355.18499755859375,3.3942182064056396,0.0,1.0
22,5.25,50.538429260253906,51.75977325439453,118.9141845703125,101.35123443603516,67.56897735595703,0.017563335597515106,0.4176233112812042,20.457582473754883,-355.15496826171875,3.5728559494018555,0.0,1.0
23,5.5,51.223182678222656,52.02678680419922,113.47509002685547,101.34962463378906,70.60796356201172,0.018230708315968513,0.4412214457988739,20.42249870300293,-355.22503662109375,3.1850314140319824,0.0,1.0
24,5.75,51.55879592895508,52.29713821411133,117.33802795410156,101.34078216552734,71.53852844238281,0.018831342458724976,0.4624597728252411,20.39092254638672,-355.31512451171875,3.0688815116882324,0.0,1.0
25,6,50.59712219238281,51.45073318481445,115.63973999023438,101.34962463378906,70.66860961914062,0.019371913745999336,0.48157426714897156,20.362504959106445,-355.35516357421875,3.1774652004241943,0.0,1.0
26,6.25,50.2703857421875,51.217105865478516,122.00621795654297,101.3560562133789,70.16261291503906,0.020232809707522392,0.4987773001194,20.336929321289062,-355.38519287109375,3.2413485050201416,0.0,0.0
27,6.5,50.77995300292969,51.31676483154297,110.96543884277344,101.36087799072266,68.60684967041016,0.021007616072893143,0.5240476727485657,20.300289154052734,-355.50531005859375,3.439365863800049,0.0,0.0
28,6.75,50.64738082885742,51.65734100341797,113.78421783447266,101.34117889404297,67.10198974609375,0.021704941987991333,0.5467910170555115,20.26731300354004,-355.48529052734375,3.633096694946289,0.0,0.0
29,7,51.4687385559082,51.84272384643555,111.01581573486328,101.34962463378906,65.78205871582031,0.022332534193992615,0.5672600269317627,20.237634658813477,-355.57537841796875,3.808899402618408,0.0,0.0
30,7.25,52.32695388793945,52.14668655395508,111.39974212646484,101.357666015625,64.15122985839844,0.022897368296980858,0.5935491919517517,20.21092414855957,-355.6253967285156,4.030819892883301,0.0,0.0
31,7.5,52.109466552734375,52.82454299926758,109.85411071777344,101.34721374511719,66.83775329589844,0.023634210228919983,0.6172094345092773,20.186885833740234,-355.6354064941406,3.668391227722168,0.0,0.0
32,7.75,52.283653259277344,53.31618118286133,116.07251739501953,101.33837127685547,65.82701873779297,0.02429736778140068,0.6385036706924438,20.15350914001465,-355.7254943847656,3.801900625228882,0.0,0.0
33,8,53.05828094482422,53.82755661010742,108.0581283569336,101.34037780761719,66.69184875488281,0.02489420957863331,0.6576684713363647,20.123470306396484,-355.7555236816406,3.6870546340942383,0.0,0.0
34,8.25,53.47878646850586,53.75043487548828,106.78345489501953,101.35324096679688,65.49279022216797,0.02543136663734913,0.6749168038368225,20.096435546875,-355.8255920410156,3.848050355911255,0.0,0.0
35,8.5,53.9501953125,54.609859466552734,116.64955139160156,101.34037780761719,66.93402862548828,0.026072105392813683,0.69044029712677,20.07210350036621,-355.9256896972656,3.6551127433776855,0.0,0.0
36,8.75,54.32910919189453,54.597686767578125,111.97067260742188,101.3343505859375,65.52417755126953,0.02664877101778984,0.7138796448707581,20.037757873535156,-355.9156799316406,3.8421854972839355,0.0,0.0
37,9,54.874488830566406,55.43796920776367,107.56733703613281,101.3456039428711,66.86786651611328,0.02716776914894581,0.7349750995635986,20.006847381591797,-355.9857482910156,3.6642818450927734,0.0,0.0
38,9.25,55.239742279052734,55.655635833740234,105.4393310546875,101.3552474975586,66.69226837158203,0.027634868398308754,0.7539609670639038,19.979026794433594,-355.9957580566406,3.6882920265197754,0.0,0.0
39,9.5,55.422454833984375,56.1538200378418,107.17959594726562,101.33917236328125,65.78926849365234,0.028194239363074303,0.7710482478141785,19.953989028930664,-356.0558166503906,3.8070249557495117,0.0,0.0
40,9.75,55.88230895996094,56.27299880981445,108.12147521972656,101.3387680053711,68.01602172851562,0.028697673231363297,0.786426842212677,19.91853904724121,-356.1358642578125,3.5136609077453613,0.0,0.0
41,10,56.34755325317383,56.892887115478516,107.0979232788086,101.3552474975586,69.60147094726562,0.029150763526558876,0.8002675771713257,19.886634826660156,-356.1759338378906,3.3120391368865967,0.0,0.0
42,10.25,56.85469055175781,57.31295394897461,104.30891418457031,101.343994140625,68.91393280029297,0.029727622866630554,0.8219286799430847,19.857919692993164,-356.2259521484375,3.398542642593384,0.0,0.0
43,10.5,56.93895721435547,58.28536605834961,99.55447387695312,101.32510375976562,67.23220825195312,0.029727622866630554,0.8414236903190613,19.857919692993164,-356.2960205078125,3.614614725112915,0.0,0.0
44,10.75,57.4461784362793,58.365257263183594,108.03217315673828,101.32671356201172,68.96907043457031,0.03024679608643055,0.8589691519737244,19.817047119140625,-356.3861083984375,3.3899919986724854,0.0,0.0
45,11,57.84124755859375,58.95294952392578,103.13347625732422,101.3456039428711,67.20420837402344,0.03071405179798603,0.874760091304779,19.780261993408203,-356.4161376953125,3.620068073272705,0.0,0.0
46,11.25,58.329444885253906,59.61463165283203,109.99150085449219,101.34359741210938,66.44329833984375,0.031134581193327904,0.896254301071167,19.747156143188477,-356.4962158203125,3.7202374935150146,0.0,0.0
47,11.5,58.97932434082031,60.612796783447266,105.9346923828125,101.33555603027344,65.77993774414062,0.031728025525808334,0.9155991077423096,19.71735954284668,-356.6063232421875,3.8079605102539062,0.0,0.0
48,11.75,59.837013244628906,60.465293884277344,100.17425537109375,101.32630920410156,67.17706298828125,0.032262127846479416,0.9330094456672668,19.673635482788086,-356.6263122558594,3.6219499111175537,0.0,0.0
49,12,60.29935073852539,61.10841369628906,110.99368286132812,101.33635711669922,68.1419906616211,0.03274282068014145,0.9592320919036865,19.6342830657959,-356.6263122558594,3.4971463680267334,0.0,0.0
50,12.25,60.84223937988281,61.7467041015625,107.65587615966797,101.34239196777344,64.34548950195312,0.03317544236779213,0.9828324317932129,19.598865509033203,-356.6963806152344,4.002847671508789,0.0,0.0
51,12.5,61.012184143066406,62.20769500732422,101.76873779296875,101.33193969726562,62.36982727050781,0.03356480225920677,1.0040727853775024,19.56698989868164,-356.8265075683594,4.276750087738037,0.0,0.0
52,12.75,61.61264419555664,62.663822174072266,99.09192657470703,101.3222885131836,61.50796890258789,0.03391522541642189,1.0231890678405762,19.538301467895508,-356.8565368652344,4.398531913757324,0.0,0.0
53,13,62.257198333740234,63.13324737548828,101.49090576171875,101.33032989501953,62.247249603271484,0.0346418097615242,1.0545309782028198,19.490407943725586,-356.9466247558594,4.293945789337158,0.0,0.0
54,13.25,62.58730697631836,63.71158981323242,107.20630645751953,101.33917236328125,60.207122802734375,0.03529573604464531,1.0827387571334839,19.447303771972656,-356.9566345214844,4.5883708000183105,0.0,0.0
55,13.5,63.33187484741211,64.22669982910156,99.92694854736328,101.31987762451172,60.845455169677734,0.03588426858186722,1.0827387571334839,19.408510208129883,-357.06671142578125,4.493754863739014,0.0,0.0
56,13.75,63.3995475769043,64.86871337890625,92.79032897949219,101.31385040283203,57.992244720458984,0.036769673228263855,1.1081256866455078,19.37359619140625,-357.18682861328125,4.9164628982543945,0.0,0.0
57,14,64.154541015625,65.75404357910156,94.8664321899414,101.3387680053711,58.66578674316406,0.03756653890013695,1.1497132778167725,19.313758850097656,-357.2469177246094,4.816871166229248,0.0,0.0
