Time after Ignition,Rebond_Foam_Carpet_Pad_R1,Rebond_Foam_Carpet_Pad_R2,Rebond_Foam_Carpet_Pad_R3,Mean,Std. Dev.
0.0,64.7,57.1,18.8,46.9,24.6
0.25,71.1,62.2,22.2,51.8,26.0
0.5,79.3,73.4,25.2,59.3,29.6
0.75,87.0,82.5,36.9,68.8,27.7
1.0,96.6,94.5,47.5,79.5,27.8
1.25,103.0,99.3,55.7,86.0,26.3
1.5,114.2,112.4,63.8,96.8,28.6
1.75,121.2,122.1,79.9,107.7,24.1
2.0,130.5,132.8,92.1,118.5,22.9
2.25,138.5,138.6,105.9,127.7,18.9
2.5,144.5,147.4,117.6,136.5,16.4
2.75,153.9,164.1,130.1,149.4,17.5
3.0,168.6,177.9,142.1,162.9,18.6
3.25,170.1,188.2,155.3,171.2,16.5
3.5,178.9,199.9,164.5,181.1,17.8
3.75,185.9,225.4,174.3,195.2,26.8
4.0,193.3,237.8,185.5,205.6,28.2
4.25,201.9,235.0,199.0,212.0,20.0
4.5,207.3,247.4,211.6,222.1,22.0
4.75,212.8,254.6,217.3,228.2,22.9
5.0,223.5,260.1,225.1,236.2,20.7
5.25,232.7,276.5,229.8,246.3,26.1
5.5,236.5,285.7,243.4,255.2,26.6
5.75,246.3,295.7,244.9,262.3,28.9
6.0,247.0,296.7,251.9,265.2,27.4
6.25,248.4,305.8,262.2,272.1,30.0
6.5,257.9,314.0,268.8,280.2,29.8
6.75,256.0,324.5,275.5,285.4,35.3
7.0,268.1,325.7,282.8,292.2,29.9
7.25,274.1,332.4,285.2,297.3,30.9
7.5,273.6,340.6,292.0,302.1,34.6
7.75,284.9,334.2,295.8,305.0,25.9
8.0,289.6,342.4,302.5,311.5,27.5
8.25,288.1,343.3,304.1,311.8,28.4
8.5,289.4,351.6,311.4,317.5,31.5
8.75,298.5,355.0,323.1,325.6,28.3
9.0,300.0,360.8,328.2,329.7,30.4
9.25,302.0,358.2,328.2,329.5,28.1
9.5,305.0,359.0,338.7,334.2,27.3
9.75,316.3,373.2,354.0,347.8,28.9
10.0,313.8,371.0,340.3,341.7,28.6
10.25,311.4,363.8,356.9,344.0,28.5
10.5,311.8,367.4,359.6,346.3,30.1
10.75,320.6,388.0,372.0,360.2,35.2
11.0,322.7,380.1,370.4,357.7,30.7
11.25,325.5,394.4,380.4,366.8,36.4
11.5,317.7,389.8,377.5,361.7,38.5
11.75,324.8,391.8,386.3,367.6,37.1
12.0,328.0,392.8,399.4,373.4,39.5
12.25,327.8,398.1,390.0,372.0,38.4
12.5,329.4,403.9,394.4,375.9,40.6
12.75,333.4,414.2,411.1,386.2,45.8
13.0,335.4,406.8,419.9,387.4,45.5
13.25,340.0,426.9,437.1,401.3,53.3
13.5,343.9,417.6,441.0,400.9,50.7
13.75,352.1,426.1,449.4,409.2,50.8
14.0,353.7,439.0,464.6,419.1,58.1
14.25,363.5,453.3,484.8,433.9,62.9
14.5,365.1,462.5,501.2,442.9,70.1
14.75,366.8,474.0,489.3,443.4,66.7
15.0,368.3,483.3,526.9,459.5,82.0
15.25,371.3,497.4,546.8,471.8,90.5
15.5,367.3,494.2,584.9,482.1,109.3
15.75,369.4,545.5,557.1,490.7,105.2
16.0,386.6,516.4,592.7,498.6,104.2
16.25,373.4,533.3,633.5,513.4,131.2
16.5,391.2,544.8,651.1,529.0,130.6
16.75,394.7,584.8,670.8,550.1,141.3
17.0,397.2,645.6,663.5,568.7,148.9
17.25,409.5,625.9,728.0,587.8,162.6
17.5,412.7,633.6,716.5,587.6,157.0
17.75,412.2,671.0,749.9,611.0,176.6
18.0,433.2,691.1,750.8,625.0,168.8
18.25,439.7,731.8,785.6,652.4,186.1
18.5,461.2,723.3,761.8,648.8,163.6
18.75,462.4,777.3,870.1,703.2,213.7
19.0,472.1,725.8,834.1,677.3,185.8
19.25,485.4,776.6,813.0,691.6,179.6
19.5,508.4,828.7,826.3,721.1,184.2
19.75,526.5,845.0,931.9,767.8,213.4
20.0,533.6,829.2,854.5,739.1,178.4
20.25,553.4,842.6,847.5,747.8,168.4
