Names,Roof_Felt_R1,Roof_Felt_R2,Roof_Felt_R3,Mean,Std. Dev.
123,15.9,,,15.9,
124,19.2,,,19.2,
125,22.0,,,22.0,
126,25.2,,,25.2,
127,27.2,,,27.2,
128,35.6,,,35.6,
129,43.3,,,43.3,
130,50.1,,,50.1,
131,61.6,,,61.6,
132,71.9,,,71.9,
133,81.4,,,81.4,
134,90.2,,,90.2,
135,95.2,,,95.2,
136,107.8,14.4,15.5,45.9,53.6
137,106.8,16.0,18.2,47.0,51.8
138,119.1,21.4,20.8,53.8,56.6
139,128.9,27.1,26.8,60.9,58.8
140,136.0,31.1,32.1,66.4,60.3
141,142.7,39.8,36.7,73.1,60.4
142,156.1,47.3,41.1,81.5,64.7
143,166.8,54.4,49.1,90.1,66.5
144,174.4,60.8,57.4,97.5,66.6
145,184.8,66.5,66.0,105.8,68.5
146,193.1,73.1,72.8,113.0,69.4
147,201.7,81.2,79.2,120.7,70.2
148,217.4,87.5,83.3,129.4,76.2
149,223.0,95.2,87.7,135.3,76.1
150,237.8,101.5,96.7,145.3,80.1
151,242.4,105.8,105.3,151.2,79.0
152,259.4,113.2,112.1,161.5,84.7
153,275.5,121.2,119.5,172.1,89.6
154,278.7,128.8,124.8,177.4,87.7
155,299.3,134.9,138.6,190.9,93.9
156,309.1,140.2,147.1,198.8,95.6
157,326.4,151.4,153.4,210.4,100.5
158,332.9,157.3,165.0,218.4,99.2
159,334.9,166.2,178.3,226.5,94.1
160,352.5,175.7,186.4,238.2,99.1
161,368.3,179.7,192.8,246.9,105.3
162,381.4,195.7,202.4,259.8,105.3
163,378.6,195.9,207.5,260.7,102.3
164,397.1,204.6,225.6,275.8,105.6
165,406.7,214.9,235.6,285.7,105.3
166,419.5,221.2,247.5,296.0,107.7
167,414.1,230.3,257.1,300.5,99.3
168,435.3,236.1,266.2,312.6,107.4
169,434.0,244.0,276.4,318.1,101.6
170,445.0,248.7,296.6,330.1,102.4
171,448.6,263.4,303.5,338.5,97.4
172,457.0,265.6,310.5,344.4,100.1
173,462.9,276.3,330.7,356.6,96.0
174,459.2,290.1,342.8,364.1,86.5
175,465.7,293.0,354.9,371.2,87.5
176,468.4,299.8,359.3,375.8,85.5
177,470.5,302.4,368.2,380.4,84.7
178,475.9,306.4,381.5,387.9,84.9
179,480.7,323.6,391.2,398.5,78.8
180,480.2,323.2,411.6,405.0,78.7
181,495.7,329.6,413.7,413.0,83.0
182,491.9,336.8,424.6,417.8,77.8
183,494.4,338.4,430.6,421.2,78.4
184,508.8,346.2,450.0,435.0,82.3
185,499.3,352.3,472.5,441.4,78.3
186,508.6,353.8,481.3,447.9,82.6
187,503.5,363.4,490.5,452.5,77.4
188,501.5,366.8,491.8,453.4,75.1
189,509.7,375.7,497.8,461.1,74.1
190,501.9,375.5,515.1,464.2,77.1
191,508.4,379.9,527.8,472.0,80.4
192,503.9,390.7,519.6,471.4,70.3
193,499.1,392.6,549.8,480.5,80.2
194,513.9,393.8,533.2,480.3,75.5
195,498.5,397.8,548.5,481.6,76.8
196,502.1,400.6,543.8,482.2,73.6
197,500.2,413.9,564.8,492.9,75.7
198,488.9,411.6,564.4,488.3,76.4
199,484.1,423.7,572.4,493.4,74.8
200,478.1,413.2,562.8,484.7,75.1
201,482.8,423.1,570.2,492.1,74.0
202,483.6,423.8,574.0,493.8,75.6
203,474.6,430.4,577.7,494.2,75.6
204,473.9,422.8,575.0,490.6,77.5
205,458.1,425.4,577.5,487.0,80.1
206,462.4,433.8,573.6,489.9,73.8
207,461.3,433.8,557.5,484.2,64.9
208,450.8,428.8,546.7,475.4,62.7
209,442.3,440.8,555.8,479.6,66.0
210,439.5,444.8,545.0,476.4,59.4
211,430.2,438.2,552.9,473.8,68.6
212,427.0,450.6,538.3,472.0,58.6
213,418.8,445.1,530.8,464.9,58.6
214,415.0,434.9,537.7,462.5,65.9
215,406.4,442.4,520.1,456.3,58.1
216,402.3,448.1,519.2,456.5,58.9
217,403.6,436.7,510.8,450.4,54.9
218,392.2,442.0,505.4,446.5,56.8
219,388.1,446.2,498.3,444.2,55.1
220,382.6,440.4,490.9,438.0,54.2
221,383.1,434.9,479.0,432.4,48.0
222,376.3,437.4,474.0,429.2,49.3
223,371.1,426.7,455.1,417.7,42.7
224,371.7,435.1,458.4,421.7,44.8
225,357.0,425.5,453.2,411.9,49.5
226,359.5,416.4,446.2,407.4,44.0
227,360.1,415.6,423.4,399.7,34.5
228,353.8,410.0,421.4,395.1,36.2
229,349.3,406.4,419.8,391.8,37.4
230,348.3,403.9,420.3,390.8,37.7
231,345.3,404.8,410.8,386.9,36.2
232,337.4,387.9,398.8,374.7,32.8
233,337.8,397.2,399.8,378.3,35.1
234,332.4,391.4,385.4,369.7,32.5
235,324.0,383.4,381.0,362.8,33.6
236,322.5,387.1,383.9,364.5,36.4
237,321.0,382.5,377.6,360.4,34.2
238,304.6,372.5,359.9,345.7,36.1
239,302.9,373.2,357.0,344.4,36.8
240,300.5,362.6,350.6,337.9,32.9
241,301.1,364.0,352.4,339.2,33.5
242,292.2,359.9,340.7,330.9,34.9
243,285.4,355.0,331.0,323.8,35.4
244,282.9,353.6,329.4,321.9,35.9
245,279.0,351.0,326.9,319.0,36.6
246,274.9,342.5,314.2,310.6,34.0
247,268.4,350.6,307.7,308.9,41.1
248,260.4,338.7,302.1,300.4,39.2
249,255.7,337.9,297.2,296.9,41.1
250,254.4,329.9,289.6,291.3,37.8
251,250.4,328.9,285.2,288.2,39.3
252,245.7,324.6,277.3,282.5,39.7
253,241.3,319.5,269.9,276.9,39.5
254,238.4,317.8,270.9,275.7,39.9
255,233.9,315.7,267.5,272.4,41.1
256,227.1,310.7,254.2,264.0,42.6
257,222.7,303.8,253.5,260.0,40.9
258,218.5,300.9,247.3,255.6,41.8
259,212.8,293.1,242.5,249.5,40.6
260,211.6,291.2,239.7,247.5,40.4
261,207.4,291.4,237.6,245.5,42.6
262,203.2,286.2,234.0,241.1,42.0
263,197.2,284.4,231.2,237.6,43.9
264,194.9,274.2,227.0,232.0,39.9
265,190.5,272.4,225.3,229.4,41.1
266,187.3,266.6,219.6,224.5,39.9
267,180.1,266.2,218.7,221.7,43.1
268,180.7,263.2,218.3,220.7,41.3
269,177.5,254.7,212.1,214.8,38.7
270,173.3,255.9,210.2,213.1,41.3
271,168.9,246.1,205.6,206.9,38.7
272,164.9,242.6,206.5,204.7,38.8
273,164.3,240.3,199.5,201.4,38.0
274,163.3,238.9,199.2,200.5,37.8
275,161.4,236.4,192.5,196.8,37.7
276,158.5,228.4,192.2,193.0,34.9
277,156.5,229.2,186.2,190.6,36.5
278,152.4,225.7,184.3,187.4,36.7
279,153.2,220.1,181.9,185.1,33.6
280,149.5,222.4,177.4,183.1,36.8
281,148.3,213.9,172.9,178.4,33.2
