Time after Ignition,Roof_Felt_R1,Roof_Felt_R2,Roof_Felt_R3,Mean,Std. Dev.
0.0,46.8,44.9,45.3,45.6,1.0
0.25,51.7,54.7,53.4,53.2,1.5
0.5,67.8,60.8,61.2,63.2,3.9
0.75,84.8,88.4,86.5,86.6,1.8
1.0,96.9,107.0,109.2,104.4,6.6
1.25,105.0,128.3,129.4,120.9,13.8
1.5,126.7,142.3,150.7,139.9,12.2
1.75,146.8,178.7,169.1,164.8,16.4
2.0,148.5,214.0,195.4,186.0,33.8
2.25,164.8,201.2,224.5,196.9,30.1
2.5,198.7,224.7,242.2,221.8,21.9
2.75,226.4,270.1,270.0,255.5,25.2
3.0,258.9,303.4,299.4,287.2,24.7
3.25,285.1,336.0,333.6,318.2,28.7
3.5,294.9,358.6,370.0,341.1,40.5
3.75,327.6,385.9,367.5,360.3,29.8
4.0,347.4,401.0,417.0,388.4,36.5
4.25,378.1,442.2,464.0,428.1,44.6
4.5,404.3,455.8,496.8,452.3,46.4
4.75,432.1,477.4,543.6,484.4,56.1
5.0,432.6,498.6,583.1,504.8,75.4
5.25,484.3,562.2,576.8,541.1,49.7
5.5,504.1,563.7,653.2,573.6,75.0
5.75,532.4,574.7,697.2,601.4,85.6
6.0,570.5,601.8,687.6,620.0,60.6
6.25,592.4,628.5,757.5,659.5,86.8
6.5,595.5,659.4,780.6,678.5,94.0
6.75,653.8,653.2,813.5,706.8,92.4
7.0,684.4,685.8,887.0,752.4,116.6
7.25,647.7,729.4,906.0,761.0,132.0
7.5,671.9,749.6,857.1,759.5,93.0
7.75,717.5,752.5,903.5,791.2,98.9
8.0,788.3,825.5,931.7,848.5,74.4
8.25,790.5,817.4,973.4,860.4,98.7
8.5,796.3,844.7,984.5,875.2,97.7
8.75,859.2,913.6,999.2,924.0,70.6
9.0,838.2,946.3,1025.0,936.5,93.8
9.25,910.7,965.7,1049.2,975.2,69.7
9.5,972.6,1005.7,1082.9,1020.4,56.6
9.75,1019.9,1004.3,1086.7,1037.0,43.8
10.0,952.7,1081.2,1092.1,1042.0,77.5
10.25,1041.9,1068.4,1095.4,1068.6,26.8
10.5,1032.5,1094.5,1099.1,1075.4,37.2
10.75,1094.2,1115.1,1067.3,1092.2,24.0
11.0,1056.1,1160.7,1027.3,1081.4,70.2
11.25,1101.2,1145.1,1021.7,1089.4,62.6
11.5,1117.5,1144.8,1016.1,1092.8,67.8
11.75,1113.1,1157.7,1007.2,1092.7,77.3
12.0,1126.2,1181.9,948.6,1085.6,121.8
12.25,1115.8,1201.8,932.6,1083.4,137.5
12.5,1104.5,1195.0,901.7,1067.1,150.2
12.75,1089.8,1178.6,887.3,1051.9,149.3
13.0,1101.1,1168.2,856.0,1041.8,164.4
13.25,1093.9,1152.1,827.4,1024.5,173.1
13.5,1113.8,1155.5,795.0,1021.4,197.2
13.75,1094.4,1118.5,772.3,995.1,193.3
14.0,1099.5,1088.0,753.9,980.4,196.3
14.25,1079.3,1074.0,732.8,962.0,198.5
14.5,1042.2,1025.0,718.5,928.6,182.2
14.75,1014.8,1030.3,687.5,910.9,193.6
15.0,1014.6,996.8,667.1,892.8,195.7
15.25,977.7,942.5,647.8,856.0,181.2
15.5,941.1,914.7,616.8,824.2,180.1
15.75,912.6,883.4,593.5,796.5,176.4
16.0,876.2,835.9,578.2,763.4,161.7
16.25,835.3,811.7,563.0,736.7,150.9
16.5,809.3,774.6,537.8,707.2,147.8
16.75,767.1,735.5,513.0,671.8,138.5
17.0,734.3,712.4,502.4,649.7,128.0
17.25,706.8,671.0,482.5,620.1,120.5
17.5,670.6,652.0,464.2,595.6,114.2
17.75,644.8,619.5,450.1,571.5,105.9
18.0,612.7,590.5,432.0,545.1,98.5
18.25,592.8,561.8,414.3,523.0,95.4
18.5,560.6,545.8,406.1,504.2,85.3
18.75,533.8,521.2,392.5,482.5,78.2
19.0,514.8,500.3,382.3,465.8,72.7
19.25,496.8,481.0,358.1,445.3,75.9
19.5,468.2,461.4,354.5,428.0,63.8
19.75,452.2,449.0,347.8,416.3,59.4
20.0,429.3,421.7,339.6,396.9,49.7
20.25,409.4,405.7,325.4,380.2,47.5
20.5,400.5,392.9,317.9,370.4,45.7
20.75,385.5,374.5,315.7,358.6,37.5
21.0,363.0,360.1,305.2,342.8,32.6
21.25,348.1,347.3,296.8,330.7,29.4
21.5,339.8,335.8,296.5,324.0,23.9
21.75,324.4,314.9,290.1,309.8,17.7
22.0,314.6,301.6,282.9,299.7,16.0
22.25,303.9,294.5,277.6,292.0,13.3
22.5,293.3,280.1,273.7,282.4,10.0
22.75,275.6,269.3,268.1,271.0,4.0
23.0,267.8,259.5,263.6,263.6,4.2
23.25,255.2,251.1,256.7,254.3,2.9
23.5,248.7,238.3,255.8,247.6,8.8
23.75,237.0,229.9,252.7,239.9,11.7
24.0,232.5,222.1,246.1,233.6,12.0
24.25,225.1,212.0,240.8,226.0,14.4
24.5,213.2,207.5,235.7,218.8,14.9
24.75,207.5,198.3,234.1,213.3,18.6
25.0,203.4,192.2,227.9,207.8,18.2
25.25,193.9,185.2,225.9,201.6,21.5
25.5,189.2,178.6,218.4,195.4,20.6
25.75,182.8,174.3,215.2,190.7,21.6
26.0,176.8,171.6,209.0,185.8,20.3
26.25,172.7,168.3,202.0,181.0,18.4
26.5,172.4,160.7,199.1,177.4,19.7
26.75,164.9,156.8,192.6,171.4,18.8
27.0,162.3,152.1,192.0,168.8,20.8
27.25,160.9,148.1,184.6,164.5,18.5
27.5,156.8,144.7,181.1,160.9,18.5
27.75,150.8,140.3,177.0,156.0,18.9
28.0,148.4,139.8,173.9,154.0,17.7
28.25,145.7,136.6,173.4,151.9,19.2
28.5,143.0,132.7,169.9,148.5,19.2
28.75,143.5,131.7,167.0,147.4,18.0
29.0,139.6,126.7,161.9,142.7,17.8
29.25,140.8,125.5,158.0,141.4,16.3
29.5,140.1,121.1,155.1,138.8,17.0
29.75,137.4,119.9,154.0,137.1,17.1
30.0,135.0,118.0,151.2,134.7,16.6
30.25,133.8,115.6,148.1,132.5,16.3
30.5,132.9,114.8,143.0,130.2,14.3
30.75,128.3,112.8,140.0,127.0,13.6
31.0,128.9,114.8,137.7,127.1,11.5
31.25,125.5,110.1,133.5,123.0,11.9
31.5,125.6,107.5,134.5,122.5,13.7
31.75,123.0,106.7,130.9,120.2,12.3
32.0,118.5,106.5,129.2,118.1,11.4
32.25,119.0,105.2,129.2,117.8,12.1
32.5,117.6,104.4,123.8,115.3,9.9
32.75,115.7,102.2,121.1,113.0,9.7
33.0,112.5,100.9,121.1,111.5,10.2
33.25,111.0,102.2,117.8,110.3,7.8
33.5,108.9,100.7,114.3,107.9,6.9
33.75,108.3,97.7,112.6,106.2,7.7
34.0,106.3,96.8,110.4,104.5,7.0
34.25,105.0,93.5,109.3,102.6,8.1
34.5,103.7,93.5,107.3,101.5,7.2
34.75,102.6,94.6,107.9,101.7,6.7
35.0,101.7,92.6,106.8,100.4,7.2
35.25,99.3,91.7,104.3,98.4,6.4
35.5,97.5,90.3,103.4,97.1,6.5
35.75,97.4,90.7,101.7,96.6,5.6
36.0,95.9,88.4,100.2,94.8,6.0
36.25,96.3,88.5,98.8,94.5,5.4
36.5,93.7,87.3,98.0,93.0,5.4
36.75,92.2,85.3,96.4,91.3,5.6
37.0,91.6,85.7,96.4,91.2,5.4
37.25,91.2,84.6,94.1,90.0,4.9
37.5,90.1,84.5,94.7,89.8,5.1
37.75,89.0,82.7,93.0,88.2,5.2
38.0,87.1,82.0,92.5,87.2,5.2
38.25,88.4,81.7,91.4,87.1,5.0
38.5,85.8,80.9,90.3,85.6,4.7
38.75,86.3,79.5,88.3,84.7,4.6
39.0,86.5,78.9,88.7,84.7,5.1
39.25,84.7,77.8,86.7,83.1,4.7
39.5,85.1,78.0,87.5,83.5,5.0
39.75,83.2,76.9,85.1,81.7,4.3
40.0,83.0,77.1,83.9,81.3,3.7
40.25,82.2,75.5,84.1,80.6,4.5
40.5,81.3,76.5,83.9,80.6,3.7
40.75,80.7,74.7,80.1,78.5,3.3
41.0,80.6,74.8,80.5,78.6,3.3
41.25,80.8,74.7,80.3,78.6,3.4
41.5,79.6,74.1,79.6,77.8,3.2
41.75,79.7,73.3,79.7,77.6,3.7
42.0,78.4,73.4,78.7,76.9,3.0
42.25,78.2,71.5,78.7,76.2,4.0
42.5,78.1,72.7,77.5,76.1,2.9
42.75,77.7,71.8,77.2,75.6,3.3
43.0,77.4,72.1,77.5,75.7,3.1
43.25,78.1,70.9,76.2,75.1,3.7
43.5,78.2,70.5,75.9,74.9,3.9
43.75,76.9,71.5,75.4,74.6,2.8
44.0,76.7,70.4,75.0,74.0,3.3
44.25,76.9,71.5,74.1,74.2,2.7
44.5,74.4,70.6,73.6,72.9,2.0
44.75,75.3,69.7,74.0,73.0,2.9
45.0,74.7,70.1,74.5,73.1,2.6
45.25,74.1,69.3,72.8,72.1,2.5
45.5,73.8,68.7,73.2,71.9,2.8
45.75,74.2,68.3,71.3,71.3,2.9
46.0,73.3,68.1,71.9,71.1,2.7
46.25,71.9,68.3,71.1,70.4,1.9
46.5,72.6,67.2,71.3,70.4,2.8
46.75,73.0,67.2,71.2,70.5,3.0
47.0,71.7,66.7,69.3,69.2,2.5
47.25,72.0,66.0,69.2,69.1,3.0
47.5,72.2,66.8,69.3,69.4,2.7
47.75,71.1,66.3,68.3,68.6,2.4
48.0,71.0,66.1,68.2,68.4,2.5
48.25,70.1,65.5,67.9,67.8,2.3
48.5,69.7,66.1,67.6,67.8,1.8
48.75,69.9,65.3,67.5,67.6,2.3
49.0,70.3,65.2,65.9,67.1,2.7
49.25,69.4,64.9,65.9,66.8,2.4
49.5,68.8,64.6,66.3,66.5,2.1
49.75,68.5,64.1,66.0,66.2,2.2
50.0,67.7,64.1,66.5,66.1,1.8
50.25,68.3,64.2,65.3,65.9,2.1
50.5,68.6,63.9,64.5,65.7,2.6
50.75,68.0,63.5,64.7,65.4,2.3
51.0,68.1,63.2,64.1,65.1,2.6
51.25,66.8,63.3,63.2,64.4,2.0
51.5,66.4,61.8,63.5,63.9,2.3
51.75,66.4,62.5,63.3,64.1,2.0
52.0,66.2,62.0,63.7,64.0,2.1
52.25,66.1,62.2,62.8,63.7,2.1
52.5,66.0,62.9,62.2,63.7,2.0
52.75,66.3,62.5,62.2,63.7,2.3
53.0,65.4,62.1,63.6,63.7,1.6
53.25,66.0,62.7,62.1,63.6,2.1
53.5,65.7,62.0,62.8,63.5,1.9
53.75,64.5,62.0,62.9,63.1,1.2
54.0,64.7,62.3,62.4,63.1,1.4
54.25,65.2,61.9,61.8,63.0,1.9
54.5,64.1,61.8,61.8,62.5,1.3
54.75,65.1,61.6,62.3,63.0,1.8
55.0,64.7,62.1,61.1,62.6,1.8
55.25,64.7,61.7,61.2,62.5,1.9
55.5,63.7,61.9,60.5,62.0,1.6
55.75,63.3,61.1,60.7,61.7,1.4
56.0,64.3,61.7,61.4,62.4,1.6
56.25,64.5,61.8,60.2,62.2,2.2
56.5,64.2,60.9,59.7,61.6,2.3
56.75,64.3,61.2,60.3,61.9,2.1
57.0,63.5,61.2,60.2,61.6,1.7
57.25,63.1,61.7,59.6,61.5,1.8
57.5,63.3,61.6,59.3,61.4,2.0
57.75,62.6,61.9,59.2,61.2,1.8
58.0,62.5,61.0,58.7,60.8,1.9
58.25,62.0,61.4,57.6,60.3,2.4
58.5,62.6,60.3,58.7,60.5,2.0
58.75,62.5,60.3,57.6,60.1,2.4
59.0,62.3,60.7,58.6,60.5,1.9
59.25,61.9,61.3,57.9,60.3,2.1
59.5,62.3,60.8,58.3,60.4,2.0
59.75,61.5,60.6,58.6,60.2,1.5
60.0,62.7,60.5,58.3,60.5,2.2
60.25,62.6,60.4,57.3,60.1,2.6
60.5,62.5,60.5,57.5,60.2,2.5
60.75,61.1,61.0,56.5,59.6,2.6
61.0,61.4,60.3,57.2,59.6,2.2
61.25,61.3,59.5,56.8,59.2,2.3
61.5,61.4,59.6,56.9,59.3,2.3
61.75,60.6,59.4,56.6,58.9,2.0
62.0,61.3,59.3,55.9,58.8,2.8
62.25,60.5,60.2,56.2,59.0,2.4
62.5,60.0,59.1,56.9,58.7,1.6
62.75,60.7,58.8,56.1,58.5,2.3
63.0,59.3,59.4,56.4,58.4,1.7
63.25,59.1,58.3,55.9,57.8,1.7
63.5,58.8,58.7,55.8,57.8,1.7
63.75,59.6,58.5,56.0,58.0,1.8
64.0,58.9,58.8,55.9,57.9,1.7
64.25,57.9,58.9,56.6,57.8,1.2
64.5,57.4,58.7,55.7,57.3,1.5
64.75,58.4,57.7,55.3,57.1,1.6
65.0,58.3,58.2,55.3,57.2,1.7
65.25,57.9,58.1,55.3,57.1,1.6
65.5,57.2,57.7,55.2,56.7,1.3
65.75,57.3,57.7,54.7,56.6,1.6
66.0,57.5,58.2,55.1,56.9,1.6
66.25,57.0,58.6,54.8,56.8,1.9
