Time after Ignition,Rubber_Band_R1,Mean,Std. Dev.
0.0,8.1,8.1,
0.25,8.0,8.0,
0.5,10.8,10.8,
0.75,13.2,13.2,
1.0,15.3,15.3,
1.25,17.3,17.3,
1.5,21.5,21.5,
1.75,25.5,25.5,
2.0,28.9,28.9,
2.25,32.6,32.6,
2.5,38.0,38.0,
2.75,42.9,42.9,
3.0,48.2,48.2,
3.25,52.2,52.2,
3.5,59.2,59.2,
3.75,66.5,66.5,
4.0,71.2,71.2,
4.25,76.8,76.8,
4.5,84.2,84.2,
4.75,93.3,93.3,
5.0,98.6,98.6,
5.25,105.9,105.9,
5.5,114.9,114.9,
5.75,118.9,118.9,
6.0,126.1,126.1,
6.25,132.4,132.4,
6.5,133.5,133.5,
6.75,140.7,140.7,
7.0,144.7,144.7,
7.25,151.3,151.3,
7.5,156.7,156.7,
7.75,157.7,157.7,
8.0,165.8,165.8,
8.25,168.4,168.4,
8.5,174.8,174.8,
8.75,177.0,177.0,
9.0,183.0,183.0,
9.25,183.0,183.0,
9.5,190.2,190.2,
9.75,195.1,195.1,
10.0,200.0,200.0,
10.25,198.7,198.7,
10.5,203.0,203.0,
10.75,208.8,208.8,
11.0,215.1,215.1,
11.25,216.2,216.2,
11.5,218.8,218.8,
11.75,226.7,226.7,
12.0,226.4,226.4,
12.25,227.0,227.0,
12.5,238.6,238.6,
12.75,240.3,240.3,
13.0,245.5,245.5,
13.25,248.1,248.1,
13.5,252.8,252.8,
13.75,256.4,256.4,
14.0,258.1,258.1,
14.25,266.9,266.9,
14.5,269.4,269.4,
14.75,269.0,269.0,
15.0,279.9,279.9,
15.25,281.9,281.9,
15.5,285.6,285.6,
15.75,282.5,282.5,
16.0,290.6,290.6,
16.25,297.2,297.2,
16.5,298.7,298.7,
16.75,304.3,304.3,
17.0,311.5,311.5,
17.25,320.9,320.9,
17.5,316.3,316.3,
17.75,319.7,319.7,
18.0,328.9,328.9,
18.25,331.4,331.4,
18.5,342.4,342.4,
18.75,336.7,336.7,
19.0,335.9,335.9,
19.25,352.9,352.9,
19.5,361.4,361.4,
19.75,341.1,341.1,
20.0,357.4,357.4,
20.25,364.7,364.7,
20.5,365.2,365.2,
20.75,360.2,360.2,
21.0,364.1,364.1,
21.25,373.8,373.8,
21.5,366.3,366.3,
21.75,373.3,373.3,
22.0,373.9,373.9,
22.25,382.6,382.6,
22.5,382.3,382.3,
22.75,376.3,376.3,
23.0,390.3,390.3,
23.25,390.5,390.5,
23.5,390.0,390.0,
23.75,389.9,389.9,
24.0,394.4,394.4,
24.25,402.6,402.6,
24.5,410.2,410.2,
24.75,394.2,394.2,
25.0,415.7,415.7,
25.25,400.1,400.1,
25.5,400.2,400.2,
25.75,402.8,402.8,
26.0,391.3,391.3,
26.25,403.4,403.4,
26.5,408.5,408.5,
26.75,417.9,417.9,
27.0,396.2,396.2,
27.25,398.6,398.6,
27.5,399.3,399.3,
27.75,414.0,414.0,
28.0,394.8,394.8,
28.25,406.4,406.4,
28.5,403.3,403.3,
28.75,405.9,405.9,
29.0,416.5,416.5,
29.25,407.5,407.5,
29.5,404.1,404.1,
29.75,412.7,412.7,
30.0,414.7,414.7,
30.25,401.1,401.1,
30.5,407.5,407.5,
30.75,412.7,412.7,
31.0,405.3,405.3,
31.25,407.2,407.2,
31.5,401.4,401.4,
31.75,406.5,406.5,
32.0,402.4,402.4,
32.25,409.1,409.1,
32.5,402.0,402.0,
32.75,409.3,409.3,
33.0,410.4,410.4,
33.25,402.2,402.2,
33.5,414.4,414.4,
33.75,412.0,412.0,
34.0,402.6,402.6,
34.25,413.9,413.9,
34.5,395.9,395.9,
34.75,407.5,407.5,
35.0,400.0,400.0,
35.25,412.5,412.5,
35.5,409.4,409.4,
35.75,407.6,407.6,
36.0,407.7,407.7,
36.25,406.5,406.5,
36.5,395.3,395.3,
36.75,401.2,401.2,
37.0,406.0,406.0,
37.25,414.0,414.0,
37.5,408.1,408.1,
37.75,413.5,413.5,
38.0,405.5,405.5,
38.25,398.7,398.7,
38.5,399.2,399.2,
38.75,412.1,412.1,
39.0,410.3,410.3,
39.25,398.5,398.5,
39.5,402.8,402.8,
39.75,408.9,408.9,
40.0,414.1,414.1,
40.25,406.8,406.8,
40.5,400.1,400.1,
40.75,399.4,399.4,
41.0,409.7,409.7,
41.25,403.9,403.9,
41.5,404.3,404.3,
41.75,404.0,404.0,
42.0,400.6,400.6,
42.25,397.0,397.0,
42.5,399.1,399.1,
42.75,411.1,411.1,
43.0,409.9,409.9,
43.25,394.1,394.1,
43.5,406.8,406.8,
43.75,401.6,401.6,
44.0,400.5,400.5,
44.25,400.9,400.9,
44.5,406.3,406.3,
44.75,414.6,414.6,
45.0,395.1,395.1,
45.25,400.2,400.2,
45.5,395.5,395.5,
45.75,400.8,400.8,
46.0,401.4,401.4,
46.25,390.2,390.2,
46.5,387.5,387.5,
46.75,392.4,392.4,
47.0,402.3,402.3,
47.25,392.1,392.1,
47.5,394.9,394.9,
47.75,381.2,381.2,
48.0,402.0,402.0,
48.25,392.2,392.2,
48.5,397.1,397.1,
48.75,387.3,387.3,
49.0,383.4,383.4,
49.25,391.7,391.7,
49.5,383.7,383.7,
49.75,381.4,381.4,
50.0,391.4,391.4,
50.25,385.3,385.3,
50.5,389.2,389.2,
50.75,383.2,383.2,
51.0,380.1,380.1,
51.25,388.2,388.2,
51.5,381.1,381.1,
51.75,377.8,377.8,
52.0,381.9,381.9,
52.25,379.7,379.7,
52.5,373.0,373.0,
52.75,377.9,377.9,
53.0,370.8,370.8,
53.25,376.2,376.2,
53.5,369.9,369.9,
53.75,379.8,379.8,
54.0,375.0,375.0,
54.25,364.1,364.1,
54.5,368.5,368.5,
54.75,376.1,376.1,
55.0,368.4,368.4,
55.25,365.0,365.0,
55.5,373.7,373.7,
55.75,358.2,358.2,
56.0,353.1,353.1,
56.25,365.6,365.6,
56.5,363.0,363.0,
56.75,360.2,360.2,
57.0,360.8,360.8,
57.25,359.4,359.4,
57.5,354.9,354.9,
57.75,357.3,357.3,
58.0,350.7,350.7,
58.25,359.1,359.1,
58.5,358.2,358.2,
58.75,345.0,345.0,
59.0,340.2,340.2,
59.25,341.5,341.5,
59.5,347.1,347.1,
59.75,334.9,334.9,
60.0,336.7,336.7,
60.25,338.6,338.6,
60.5,331.1,331.1,
60.75,332.6,332.6,
61.0,326.6,326.6,
61.25,320.9,320.9,
