Names,Rubber_Band_R1,Mean,Std. Dev.
101,13.4,13.4,
102,15.6,15.6,
103,17.4,17.4,
104,22.8,22.8,
105,28.2,28.2,
106,33.2,33.2,
107,37.0,37.0,
108,40.7,40.7,
109,47.1,47.1,
110,54.7,54.7,
111,61.0,61.0,
112,67.0,67.0,
113,78.8,78.8,
114,88.3,88.3,
115,98.3,98.3,
116,105.1,105.1,
117,119.2,119.2,
118,126.5,126.5,
119,136.0,136.0,
120,148.0,148.0,
121,151.2,151.2,
122,160.7,160.7,
123,174.7,174.7,
124,180.6,180.6,
125,183.2,183.2,
126,192.8,192.8,
127,199.3,199.3,
128,209.5,209.5,
129,229.5,229.5,
130,222.6,222.6,
131,231.1,231.1,
132,238.1,238.1,
133,247.0,247.0,
134,253.3,253.3,
135,259.0,259.0,
136,267.9,267.9,
137,273.8,273.8,
138,287.9,287.9,
139,300.8,300.8,
140,299.6,299.6,
141,310.5,310.5,
142,319.7,319.7,
143,324.8,324.8,
144,334.4,334.4,
145,348.6,348.6,
146,356.8,356.8,
147,357.6,357.6,
148,373.1,373.1,
149,379.6,379.6,
150,387.7,387.7,
151,392.8,392.8,
152,402.0,402.0,
153,414.0,414.0,
154,399.6,399.6,
155,432.5,432.5,
156,432.4,432.4,
157,428.4,428.4,
158,429.4,429.4,
159,455.5,455.5,
160,453.1,453.1,
161,451.8,451.8,
162,475.4,475.4,
163,460.7,460.7,
164,466.3,466.3,
165,491.0,491.0,
166,483.6,483.6,
167,477.4,477.4,
168,505.4,505.4,
169,498.2,498.2,
170,506.7,506.7,
171,533.8,533.8,
172,536.3,536.3,
173,519.0,519.0,
174,524.9,524.9,
175,554.0,554.0,
176,537.2,537.2,
177,522.4,522.4,
178,544.6,544.6,
179,552.8,552.8,
180,551.2,551.2,
181,554.6,554.6,
182,553.2,553.2,
183,557.0,557.0,
184,565.4,565.4,
185,545.8,545.8,
186,558.0,558.0,
187,559.5,559.5,
188,589.9,589.9,
189,545.8,545.8,
190,583.4,583.4,
191,575.1,575.1,
192,559.5,559.5,
193,571.0,571.0,
194,574.1,574.1,
195,587.3,587.3,
196,584.0,584.0,
197,580.5,580.5,
198,581.8,581.8,
199,562.1,562.1,
200,607.1,607.1,
201,590.6,590.6,
202,600.1,600.1,
203,572.9,572.9,
204,578.5,578.5,
205,595.1,595.1,
206,586.6,586.6,
207,569.5,569.5,
208,561.9,561.9,
209,581.9,581.9,
210,576.7,576.7,
211,592.9,592.9,
212,576.3,576.3,
213,567.2,567.2,
214,583.6,583.6,
215,570.6,570.6,
216,552.4,552.4,
217,576.2,576.2,
218,570.7,570.7,
219,576.1,576.1,
220,567.9,567.9,
221,588.9,588.9,
222,588.3,588.3,
223,552.8,552.8,
224,570.6,570.6,
225,583.4,583.4,
226,583.1,583.1,
227,552.5,552.5,
228,551.6,551.6,
229,564.0,564.0,
230,561.7,561.7,
231,565.8,565.8,
232,549.8,549.8,
233,551.5,551.5,
234,565.5,565.5,
235,563.5,563.5,
236,549.7,549.7,
237,570.0,570.0,
238,551.6,551.6,
239,535.9,535.9,
240,555.4,555.4,
241,558.6,558.6,
242,540.1,540.1,
243,549.8,549.8,
244,545.7,545.7,
245,544.6,544.6,
246,543.9,543.9,
247,552.0,552.0,
248,555.6,555.6,
249,554.7,554.7,
250,520.4,520.4,
251,537.4,537.4,
252,534.0,534.0,
253,528.0,528.0,
254,554.2,554.2,
255,525.8,525.8,
256,533.8,533.8,
257,540.7,540.7,
258,543.5,543.5,
259,512.0,512.0,
260,543.9,543.9,
261,533.6,533.6,
262,520.9,520.9,
263,543.8,543.8,
264,549.0,549.0,
265,529.4,529.4,
266,547.2,547.2,
267,532.9,532.9,
268,534.8,534.8,
269,511.9,511.9,
270,525.7,525.7,
271,532.3,532.3,
272,525.0,525.0,
273,507.6,507.6,
274,520.9,520.9,
275,508.9,508.9,
276,523.7,523.7,
277,514.0,514.0,
278,505.2,505.2,
279,518.1,518.1,
280,506.0,506.0,
281,509.3,509.3,
282,505.0,505.0,
283,485.9,485.9,
284,495.6,495.6,
285,498.5,498.5,
286,491.0,491.0,
287,488.9,488.9,
288,478.6,478.6,
289,484.7,484.7,
290,484.3,484.3,
