LABORATORY,FSRI 
TEST IDENT,RFPI_HF25_1
OPERATOR,Dow
MATERIAL,Rubber Foam Pipe Insulation
ORIENTATION,Horizontal
HEAT FLUX,25
SURF AREA,0.009999999776482582
C FACTOR,0.03706778958439827
SPEC HOLDER DIFF,306.07000732421875
SPECIMEN MASS,6.699999809265137
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,705
TIME TO IGN,1.5
END OF TEST SCAN,225
END OF TEST TIME,56.25
TEST STATUS,1
PRE TEST CMT,Dimensions: 100.5 x 102.0 x 12.0 mm
POST TEST CMT,"Sample warped immediately after ignition, elevating surface height. Sample shriveled horizontally, reducing surface area. See test pictures. "
