Names,Time,Stack TC,Smoke TC,Exh Press,Smoke Comp,Smoke Meas,CO Meter,CO2 Meter,O2 Meter,Sample Mass,Ext Coeff,Start Test,Flame Verif
Chan Gain,,500,500,1,1,1,1,1,1,1,1,1.0,1.0
Offset,,0,0,0.13377991318702698,0,0,0,0,0,0,0,0.0,0.0
Gain,,1,1,25.01099967956543,14.495453834533691,14.629678726196289,1,1,1,1.000915765762329,1.008309006690979,1.0,1.0
Units,sec,C,C,Pa,%,%,%,%,%,g,/m,,
Baseline,,28.63787841796875,30.009077072143555,170.4486541748047,110.08827209472656,102.55447387695312,-0.0015918997814878821,0.03940338268876076,21.061796188354492,-946.0130004882812,0.6270526647567749,,
1,0,27.246675491333008,28.687223434448242,159.07974243164062,110.25312805175781,86.22438049316406,0.0029775246512144804,0.08409377932548523,20.95795249938965,-460.98175048828125,2.174285411834717,0.0,0.0
2,0.25,27.49039077758789,28.921621322631836,151.74237060546875,110.2717056274414,83.01029968261719,0.0033060479909181595,0.09142465144395828,20.946916580200195,-462.302978515625,2.5117743015289307,0.0,1.0
3,0.5,27.264707565307617,28.87529945373535,153.7116241455078,110.27347564697266,83.53712463378906,0.004001104738563299,0.09802243113517761,20.93698501586914,-463.23382568359375,2.455960512161255,0.0,1.0
4,0.75,27.029205322265625,28.4786376953125,154.22378540039062,110.28011322021484,78.36709594726562,0.004626655951142311,0.11099035292863846,20.915355682373047,-463.7042541503906,3.0215609073638916,0.0,1.0
5,1,27.32599449157715,29.108369827270508,155.687744140625,110.27082061767578,72.21395111083984,0.0051896520890295506,0.12266148626804352,20.895889282226562,-463.62420654296875,3.7440640926361084,0.0,1.0
6,1.25,27.762365341186523,28.895097732543945,155.74270629882812,110.28807067871094,65.57147979736328,0.00569634884595871,0.13316550850868225,20.878368377685547,-463.9544982910156,4.59890604019165,0.0,1.0
7,1.5,27.48712730407715,28.943872451782227,153.86428833007812,110.28762817382812,61.831912994384766,0.006351319141685963,0.1487640142440796,20.862600326538086,-463.59417724609375,5.11824893951416,0.0,1.0
8,1.75,27.66835594177246,28.325315475463867,154.96873474121094,110.30134582519531,58.787933349609375,0.006940792314708233,0.16280268132686615,20.84840965270996,-463.8744201660156,5.565861225128174,0.0,1.0
9,2,27.3832950592041,28.577795028686523,153.02085876464844,110.28851318359375,58.89642333984375,0.007471318356692791,0.17543748021125793,20.827411651611328,-463.7442932128906,5.548524856567383,0.0,1.0
10,2.25,27.874774932861328,29.05068588256836,153.34449768066406,110.30267333984375,59.766578674316406,0.007948791608214378,0.18680879473686218,20.808513641357422,-463.7743225097656,5.41994047164917,0.0,1.0
11,2.5,28.086580276489258,29.083236694335938,155.1091766357422,110.30621337890625,63.77536392211914,0.00837851781398058,0.19704297184944153,20.791505813598633,-463.9844970703125,4.846014976501465,0.0,1.0
12,2.75,27.984760284423828,28.805404663085938,148.27635192871094,110.30134582519531,61.63591384887695,0.008765270933508873,0.20954477787017822,20.776199340820312,-463.9244689941406,5.147429943084717,0.0,1.0
13,3,28.312458038330078,29.254674911499023,146.39410400390625,110.29072570800781,64.41201782226562,0.009203075431287289,0.2207964062690735,20.762422561645508,-464.0646057128906,4.756915092468262,0.0,1.0
14,3.25,28.153640747070312,29.124605178833008,148.31298828125,110.31063079833984,65.95499420166016,0.009597099386155605,0.2309228628873825,20.748762130737305,-464.0345458984375,4.549133777618408,0.0,1.0
15,3.5,28.42473602294922,29.16682243347168,152.89797973632812,110.31815338134766,67.4019775390625,0.00995172094553709,0.24003668129444122,20.736467361450195,-464.0445556640625,4.357789039611816,0.0,1.0
16,3.75,29.063701629638672,30.131587982177734,150.40435791015625,110.31859588623047,68.28597259521484,0.010270880535244942,0.24823911488056183,20.72540283203125,-464.1546936035156,4.242576599121094,0.0,1.0
17,4,29.176738739013672,30.103233337402344,160.5666046142578,110.31505584716797,71.1343994140625,0.010545285418629646,0.2556213140487671,20.715444564819336,-464.0946350097656,3.8808341026306152,0.0,1.0
18,4.25,29.755857467651367,30.077617645263672,153.67269897460938,110.3230209350586,70.06378173828125,0.01079224981367588,0.263074666261673,20.70648193359375,-464.2347412109375,4.0156049728393555,0.0,1.0
