Names,Rubber_Foam_Pipe_Insulation_R1,Rubber_Foam_Pipe_Insulation_R2,Rubber_Foam_Pipe_Insulation_R3,Mean,Std. Dev.
7,13.8,,,13.8,
8,16.3,,,16.3,
9,21.1,,,21.1,
10,25.1,,,25.1,
11,28.2,,,28.2,
12,32.3,,,32.3,
13,35.0,,,35.0,
14,38.0,,,38.0,
15,42.0,,,42.0,
16,45.2,13.5,,29.3,22.4
17,49.7,18.4,,34.1,22.1
18,52.4,22.6,,37.5,21.1
19,55.7,27.1,,41.4,20.3
20,60.7,34.2,19.6,38.2,20.8
21,64.2,40.7,25.2,43.4,19.6
22,68.6,46.8,29.2,48.2,19.7
23,71.8,51.7,33.2,52.3,19.3
24,75.5,57.0,37.3,56.6,19.1
25,80.2,63.4,44.1,62.6,18.1
26,82.5,69.4,49.9,67.3,16.4
27,85.6,74.8,55.8,72.1,15.1
28,91.1,78.6,63.9,77.9,13.6
29,93.6,83.9,71.1,82.8,11.3
30,98.0,90.3,76.8,88.4,10.7
31,99.6,93.9,82.3,91.9,8.8
32,103.9,98.4,88.1,96.8,8.0
33,106.8,102.3,94.1,101.1,6.4
34,110.9,108.1,98.9,105.9,6.3
35,112.8,111.3,105.1,109.7,4.1
36,117.7,118.3,110.6,115.5,4.3
37,120.4,118.5,114.5,117.8,3.0
38,122.2,124.6,119.8,122.2,2.4
39,125.8,128.8,121.2,125.3,3.8
40,129.1,130.5,125.8,128.4,2.4
41,128.6,133.7,129.4,130.6,2.7
42,134.9,136.4,136.7,136.0,1.0
43,135.7,135.4,140.1,137.1,2.6
44,139.1,142.4,141.5,141.0,1.7
45,140.9,145.1,141.4,142.5,2.3
46,143.4,148.3,146.9,146.2,2.5
47,147.4,151.4,147.8,148.8,2.2
48,149.4,152.7,151.7,151.3,1.7
49,150.1,154.2,150.5,151.6,2.3
50,151.2,158.8,156.9,155.6,4.0
51,153.0,150.9,158.7,154.2,4.1
52,157.9,157.9,159.9,158.6,1.1
53,157.7,159.6,162.4,159.9,2.4
54,162.2,160.5,165.1,162.6,2.3
55,158.6,163.7,163.9,162.1,3.0
56,164.9,168.2,165.6,166.2,1.7
57,163.0,165.2,168.5,165.6,2.7
58,169.7,163.6,166.6,166.6,3.1
59,168.1,167.6,170.9,168.9,1.8
60,169.7,167.5,170.0,169.1,1.3
61,173.2,164.7,170.0,169.3,4.3
62,173.3,167.2,170.8,170.4,3.1
63,173.1,168.2,170.4,170.6,2.4
64,176.3,169.7,174.8,173.6,3.4
65,176.8,172.3,173.7,174.2,2.3
66,177.6,170.0,172.5,173.3,3.9
67,177.6,170.3,174.8,174.2,3.7
68,178.2,167.3,175.1,173.6,5.6
69,180.0,171.1,176.9,176.0,4.5
70,179.4,166.4,176.7,174.2,6.9
71,182.6,167.4,176.4,175.5,7.7
72,183.6,168.3,175.7,175.9,7.7
73,183.4,163.2,178.1,174.9,10.5
74,182.0,164.7,176.4,174.3,8.8
75,183.0,169.0,177.4,176.5,7.1
76,182.7,170.0,177.7,176.8,6.4
77,185.0,170.4,176.4,177.3,7.3
78,187.3,170.7,176.9,178.3,8.4
79,185.0,168.8,181.4,178.4,8.5
80,186.7,169.9,181.5,179.4,8.6
81,186.5,169.6,180.9,179.0,8.6
82,185.1,168.7,180.6,178.1,8.5
83,185.8,168.2,178.5,177.5,8.8
84,185.1,168.1,179.2,177.5,8.6
85,189.2,168.1,177.6,178.3,10.6
86,189.7,167.7,180.9,179.4,11.1
87,187.2,170.9,180.2,179.4,8.2
88,189.5,168.5,180.0,179.3,10.5
89,189.9,166.5,185.7,180.7,12.5
90,195.3,166.5,182.8,181.5,14.5
91,192.9,168.0,183.1,181.3,12.6
92,192.2,170.1,182.4,181.6,11.1
93,196.1,177.1,183.0,185.4,9.7
94,192.5,170.6,183.7,182.3,11.0
95,195.5,169.9,184.2,183.2,12.9
96,195.4,173.4,181.6,183.5,11.1
97,199.9,176.5,186.0,187.5,11.8
98,197.4,175.5,181.9,184.9,11.3
99,196.6,176.8,183.1,185.5,10.1
100,199.2,181.7,180.1,187.0,10.6
101,198.3,180.8,184.2,187.8,9.3
