Sample ID:	C:\MCC\MCC Cal\Test\Rubber_Foam_Pipe_Insulation_MCC_30K_min_220127_R3.txt
Sample Weight (mg):	4.83
Heating Rate (C/s):	0.5
Combustor Temp (C):	900
N2 Flow Rate (cc/min):	80
O2 Flow Rate (cc/min):	20
Calibration File:	C:\MCC\MCC Cal\Coeff1 JN10440_30_210304.txt.txt
T Correction Coefficients:	0	1.024463	0
Time Shift (s):	14
*
Time (s)	Temperature (C)	N2 flow rate (cc/min)	O2 flow rate (cc/min)	Flow Rate (cc/min)	Oxygen (%)	HRR (W/g)	Heating rate (C/s)
0.000	114.299	80.011	19.995	103.744	20.035	0.258	-0.007
0.500	114.270	80.011	19.994	103.750	20.039	-0.005	-0.018
1.000	114.265	80.010	19.993	103.753	20.043	-0.218	-0.025
1.500	114.287	80.011	19.993	103.753	20.042	-0.174	-0.008
2.000	114.244	80.010	19.994	103.754	20.037	0.134	-0.002
2.500	114.301	80.011	19.993	103.751	20.038	0.066	-0.003
3.000	114.276	80.011	19.994	103.745	20.040	-0.024	0.023
3.500	114.268	80.013	19.993	103.741	20.040	-0.046	-0.000
4.000	114.241	80.010	19.993	103.742	20.039	-0.002	-0.034
4.500	114.292	80.011	19.993	103.743	20.039	0.037	-0.006
5.000	114.256	80.012	19.993	103.744	20.041	-0.103	0.020
5.500	114.281	80.012	19.994	103.744	20.037	0.139	0.003
6.000	114.290	80.011	19.994	103.744	20.037	0.139	0.012
6.500	114.285	80.013	19.992	103.744	20.038	0.066	0.018
7.000	114.290	80.012	19.993	103.742	20.040	-0.033	0.001
7.500	114.234	80.012	19.992	103.741	20.038	0.060	-0.025
8.000	114.223	80.013	19.993	103.741	20.039	0.009	-0.059
8.500	114.276	80.013	19.993	103.742	20.039	0.037	-0.012
9.000	114.219	80.014	19.992	103.742	20.040	-0.060	0.019
9.500	114.259	80.013	19.993	103.742	20.043	-0.227	-0.011
10.000	114.208	80.014	19.992	103.742	20.037	0.132	-0.014
10.500	114.255	80.013	19.993	103.745	20.041	-0.088	-0.007
11.000	114.258	80.012	19.993	103.747	20.041	-0.125	0.023
