Time after Ignition,Rug_Pad_R1,Rug_Pad_R2,Rug_Pad_R3,Mean,Std. Dev.
0.0,1.1,4.1,3.4,2.9,1.5
0.25,1.3,5.1,4.7,3.7,2.1
0.5,2.0,5.9,6.1,4.7,2.3
0.75,2.6,6.6,7.2,5.5,2.5
1.0,3.2,8.9,8.2,6.8,3.1
1.25,3.8,10.9,10.5,8.4,4.0
1.5,3.8,12.8,12.8,9.8,5.2
1.75,5.3,14.4,14.9,11.5,5.4
2.0,6.7,16.0,16.5,13.0,5.5
2.25,8.0,17.0,21.0,15.3,6.7
2.5,9.0,19.9,25.4,18.1,8.3
2.75,10.1,22.5,29.0,20.5,9.6
3.0,12.9,24.8,32.2,23.3,9.7
3.25,15.5,27.4,37.4,26.7,11.0
3.5,17.9,30.7,42.4,30.3,12.2
3.75,20.1,34.7,46.1,33.7,13.0
4.0,23.7,37.9,50.0,37.2,13.2
4.25,27.5,40.9,54.0,40.8,13.2
4.5,30.3,43.2,58.3,44.0,14.0
4.75,33.6,48.3,61.1,47.7,13.8
5.0,37.5,51.9,65.8,51.8,14.2
5.25,41.1,55.5,70.4,55.7,14.6
5.5,45.5,58.0,71.2,58.2,12.9
5.75,47.2,65.0,74.3,62.2,13.8
6.0,50.3,70.1,78.4,66.3,14.4
6.25,53.1,73.7,81.6,69.4,14.7
6.5,56.6,78.8,84.7,73.4,14.9
6.75,60.2,83.7,86.2,76.7,14.3
7.0,64.2,88.7,91.8,81.6,15.1
7.25,66.4,92.8,94.3,84.5,15.7
7.5,69.8,96.6,98.1,88.2,15.9
7.75,73.4,103.9,99.7,92.3,16.5
8.0,77.2,105.2,103.6,95.3,15.8
8.25,79.7,109.3,105.6,98.2,16.2
8.5,82.9,112.8,108.9,101.5,16.3
8.75,87.4,117.7,112.1,105.7,16.1
9.0,91.7,116.9,112.3,107.0,13.4
9.25,94.0,119.3,118.0,110.4,14.2
9.5,96.1,122.4,121.4,113.3,14.9
9.75,100.5,126.8,122.6,116.7,14.1
10.0,101.8,127.2,126.8,118.6,14.6
10.25,107.7,129.3,130.3,122.5,12.7
10.5,109.8,134.4,134.0,126.0,14.1
10.75,110.6,137.0,135.4,127.7,14.8
11.0,114.5,139.2,138.5,130.7,14.1
11.25,120.2,139.0,141.8,133.7,11.8
11.5,123.4,144.2,145.9,137.8,12.5
11.75,125.0,146.3,144.4,138.6,11.8
12.0,128.5,144.9,150.0,141.1,11.2
12.25,129.4,151.0,151.5,144.0,12.6
12.5,133.5,149.7,151.3,144.8,9.8
12.75,134.3,153.1,153.8,147.1,11.1
13.0,136.2,154.7,156.6,149.2,11.3
13.25,140.0,156.7,160.6,152.4,11.0
13.5,144.9,158.0,160.2,154.4,8.3
13.75,145.0,156.1,162.3,154.5,8.8
14.0,145.5,159.4,164.6,156.5,9.8
14.25,147.3,162.6,164.1,158.0,9.3
14.5,151.5,165.1,165.7,160.8,8.0
14.75,150.6,164.8,167.1,160.8,8.9
15.0,155.1,167.3,173.0,165.1,9.1
15.25,155.4,168.6,169.2,164.4,7.8
15.5,155.9,168.8,171.4,165.4,8.3
15.75,160.6,168.9,173.2,167.6,6.4
16.0,161.4,172.1,176.3,169.9,7.7
16.25,163.2,173.6,180.9,172.6,8.9
16.5,164.1,171.2,182.7,172.7,9.4
16.75,164.8,175.2,181.1,173.7,8.3
