Temp./C,Time/min,DSC/(mW/mg),Mass loss/mg
60,0,1.178601728,-0.029106655
60.1,0.010493324,1.174609504,-0.028968888
60.2,0.021723007,1.175432287,-0.027889223
60.3,0.032850347,1.188027051,-0.027768619
60.4,0.04586022,1.189941996,-0.027779284
60.5,0.056302019,1.18925259,-0.02769634
60.6,0.067589578,1.198135507,-0.02828788
60.7,0.079693265,1.199554833,-0.029053462
60.8,0.090186915,1.208196544,-0.029101858
60.9,0.1022933,1.20789873,-0.028950139
61,0.112284161,1.217229163,-0.028133473
61.1,0.123313277,1.214988089,-0.02830159
61.2,0.134551684,1.214807287,-0.029174079
61.3,0.14751321,1.212762234,-0.029069081
61.4,0.157134404,1.230809049,-0.029068481
61.5,0.168564063,1.230862516,-0.028741709
61.6,0.180040522,1.234944701,-0.029271217
61.7,0.192124113,1.237279941,-0.029358621
61.8,0.201595763,1.232726284,-0.029324535
61.9,0.213336301,1.239461833,-0.030485382
62,0.224412375,1.245026717,-0.030574377
62.1,0.235770981,1.257036379,-0.029569628
62.2,0.247465772,1.258548213,-0.029275574
62.3,0.257706723,1.251637625,-0.029316469
62.4,0.269366533,1.254610521,-0.029312116
62.5,0.279796248,1.261164906,-0.029303342
62.6,0.291091694,1.265930547,-0.029332526
62.7,0.30124033,1.267232741,-0.028658081
62.8,0.312687087,1.270669599,-0.02870505
62.9,0.324250348,1.276115337,-0.029134746
63,0.334779314,1.278395299,-0.028989609
63.1,0.342820618,1.289626747,-0.028215145
63.2,0.3569005,1.287999807,-0.027718034
63.3,0.36746064,1.286870309,-0.027932246
63.4,0.378799797,1.281695489,-0.028833962
63.5,0.390050765,1.292368497,-0.029125238
63.6,0.401237404,1.299603832,-0.029064534
63.7,0.411292527,1.293390313,-0.029100668
63.8,0.422081369,1.296537325,-0.029059322
63.9,0.432612989,1.297364007,-0.030069194
64,0.442424955,1.31291366,-0.030402321
64.1,0.454057978,1.308476951,-0.030388991
64.2,0.465654885,1.302161849,-0.03045198
64.3,0.476291703,1.307000903,-0.029961609
64.4,0.487013718,1.319158162,-0.029164841
64.5,0.497481331,1.318376149,-0.029084425
64.6,0.506288782,1.321180071,-0.029058889
64.7,0.515908586,1.323903696,-0.029465393
64.8,0.52735054,1.327222504,-0.030297803
64.9,0.538036948,1.328100845,-0.030472692
65,0.553462004,1.332220376,-0.029397923
65.1,0.563159878,1.33143652,-0.029045658
65.2,0.573291706,1.335503163,-0.02908013
65.3,0.584312444,1.331061819,-0.029189268
65.4,0.594897762,1.343442806,-0.030205062
65.5,0.605057053,1.346480513,-0.03040533
65.6,0.616537268,1.342401139,-0.030400071
65.7,0.626320338,1.343990985,-0.030392198
65.8,0.635514471,1.352281381,-0.030427094
65.9,0.649170755,1.357685038,-0.030054563
66,0.658720505,1.351463845,-0.029082251
66.1,0.670579778,1.346053205,-0.02911824
66.2,0.68110545,1.352196256,-0.02897996
66.3,0.691096877,1.354404582,-0.029994148
66.4,0.702066834,1.348036474,-0.030617011
66.5,0.713223873,1.357849205,-0.030593559
66.6,0.724595306,1.352041494,-0.031343338
66.7,0.734845351,1.348235766,-0.031932627
66.8,0.743904941,1.36153911,-0.031962713
66.9,0.7567959,1.359740514,-0.031732208
67,0.767627208,1.361029259,-0.030710595
67.1,0.778593568,1.357646633,-0.030615167
67.2,0.788636587,1.354682926,-0.030621426
67.3,0.798236052,1.369611012,-0.030618331
67.4,0.809049067,1.372384891,-0.030619491
67.5,0.82098967,1.367517354,-0.030669729
67.6,0.827681071,1.373487869,-0.030724961
67.7,0.838922988,1.365109268,-0.02963997
67.8,0.853204423,1.362939153,-0.029272568
67.9,0.862024202,1.369316657,-0.029318068
68,0.873100953,1.375690132,-0.029307661
68.1,0.883124412,1.372621523,-0.029310631
68.2,0.894358274,1.377696886,-0.029309786
68.3,0.904866319,1.381837372,-0.029311056
68.4,0.916456502,1.377554137,-0.029306845
68.5,0.92751979,1.38144988,-0.029324266
68.6,0.937602513,1.380565749,-0.029245701
68.7,0.9478689,1.376743708,-0.029524159
68.8,0.958505755,1.375037734,-0.030239528
68.9,0.968619853,1.379968966,-0.029333882
69,0.979144907,1.384303146,-0.029311028
69.1,0.990476353,1.380007425,-0.029306044
69.2,1.001534218,1.379288762,-0.029311882
69.3,1.012384374,1.384126084,-0.029307256
69.4,1.022306808,1.385441158,-0.029317781
69.5,1.032981689,1.385369108,-0.029271799
69.6,1.043260153,1.386999909,-0.029532493
69.7,1.053884468,1.381064711,-0.030600867
69.8,1.065285616,1.383574044,-0.030784407
69.9,1.07534078,1.385519439,-0.030728617
70,1.085564889,1.396049664,-0.030748831
70.1,1.096857655,1.401704113,-0.031370922
70.2,1.106963683,1.387620119,-0.032113333
70.3,1.116471194,1.390717004,-0.032026677
70.4,1.127913748,1.388878863,-0.032054718
70.5,1.137895915,1.394723754,-0.032050406
70.6,1.147522305,1.395790531,-0.031828125
