##Temp./°C,Time/min,Mass loss(subtr.2)/mg,DSC(subtr.2)/(mW/mg),Sensit./(uV/mW)
48.571,10.01,-0.02029,0.005855010999999999,1.07503
48.671,10.31451,-0.02040048,0.01113929,1.0749799999999998
48.771,10.38798,-0.02030281,0.01858495,1.07494
48.871,10.43613,-0.01807746,0.02519564,1.07489
48.971,10.47432,-0.01853235,0.03195972,1.07485
49.071,10.505460000000001,-0.01979983,0.03774689,1.07481
49.171,10.53238,-0.01998328,0.0442436,1.07476
49.271,10.55606,-0.01932668,0.05003731,1.0747200000000001
49.371,10.57714,-0.01932754,0.05515312,1.07467
49.471,10.59714,-0.01947729,0.06077608,1.07463
49.571,10.61595,-0.01941197,0.06444636,1.07459
49.671,10.63415,-0.01929305,0.06973359,1.07454
49.771,10.65064,-0.01930442,0.07658209,1.0745
49.871,10.6672,-0.01941041,0.08028511,1.07445
49.971,10.68263,-0.01956266,0.08652751,1.07441
50.071,10.69687,-0.01958007,0.08989329,1.07436
50.171,10.71072,-0.01929774,0.09555669,1.0743200000000002
50.271,10.7238,-0.0191564,0.09953259,1.07428
50.371,10.73666,-0.01899944,0.10421,1.07423
50.471,10.74915,-0.01897936,0.10933,1.07419
50.571,10.761,-0.01897735,0.11367999999999999,1.0741399999999999
50.671,10.77257,-0.01930238,0.11802,1.0741
50.771,10.78387,-0.01972486,0.12047000000000001,1.07406
50.871,10.794880000000001,-0.02002463,0.12614,1.0740100000000001
50.971,10.80573,-0.02019583,0.13096,1.07397
51.071,10.81632,-0.02024416,0.13508,1.07392
51.171,10.82655,-0.0203004,0.13993,1.07388
51.271,10.83675,-0.02028626,0.14217,1.0738299999999998
51.371,10.846639999999999,-0.02029511,0.14647000000000002,1.07379
51.471,10.85623,-0.02024645,0.15231,1.07375
51.571,10.86561,-0.02001153,0.15508,1.0737
51.671,10.87476,-0.01972229,0.15889,1.07366
51.771,10.8838,-0.01959866,0.16259,1.07361
51.871,10.892660000000001,-0.01920177,0.16466,1.0735700000000001
51.971,10.90123,-0.01846115,0.16995,1.07352
52.071,10.909889999999999,-0.01831082,0.17445,1.07348
52.171,10.918389999999999,-0.01815019,0.1761,1.0734299999999999
52.271,10.92667,-0.0178619,0.18062999999999999,1.07339
52.371,10.93488,-0.01768738,0.18599000000000002,1.07335
52.471,10.943010000000001,-0.0179151,0.18863,1.0733
52.571,10.95101,-0.01834787,0.19058,1.07326
52.671,10.95895,-0.01851287,0.19552,1.07321
52.771,10.96678,-0.01879097,0.19987,1.0731700000000002
52.871,10.97447,-0.01880648,0.2027,1.07312
52.971,10.98204,-0.01861323,0.20508,1.07308
53.071,10.98953,-0.01844302,0.20795,1.07303
53.171,10.997,-0.0179326,0.21131,1.0729899999999999
53.271,11.0043,-0.01772074,0.21497,1.07295
53.371,11.01148,-0.01775771,0.21816,1.0729
53.471,11.01867,-0.01757894,0.22086999999999998,1.0728600000000001
53.571,11.025739999999999,-0.01751634,0.22503,1.07281
53.671,11.032739999999999,-0.0175781,0.22880999999999999,1.07277
53.771,11.039719999999999,-0.01764753,0.23121999999999998,1.0727200000000001
53.871,11.04665,-0.01768237,0.23431999999999997,1.0726799999999999
53.971,11.053469999999999,-0.01759723,0.23813,1.07263
54.071,11.060189999999999,-0.01743611,0.24156,1.07259
54.171,11.066889999999999,-0.01734474,0.24373000000000003,1.07254
54.271,11.07353,-0.01732873,0.24608000000000002,1.0725
54.371,11.08009,-0.01732973,0.24903000000000003,1.07246
54.471,11.08658,-0.01730751,0.2519,1.07241
