Sample ID:	C:\MCC\MCC Cal\Test\Triexta_Carpet_High_Pile_MCC_30K_min_211117_R1.txt
Sample Weight (mg):	4.39
Heating Rate (C/s):	0.5
Combustor Temp (C):	900
N2 Flow Rate (cc/min):	80
O2 Flow Rate (cc/min):	20
Calibration File:	C:\MCC\MCC Cal\Coeff1 JN10440_30_210304.txt.txt
T Correction Coefficients:	0	1.024463	0
Time Shift (s):	14
*
Time (s)	Temperature (C)	N2 flow rate (cc/min)	O2 flow rate (cc/min)	Flow Rate (cc/min)	Oxygen (%)	HRR (W/g)	Heating rate (C/s)
-0.001	110.516	80.002	19.993	103.051	19.895	0.182	0.034
0.499	110.516	80.002	19.994	103.052	19.895	0.172	-0.019
1.000	110.535	80.001	19.994	103.051	19.897	0.000	-0.011
1.500	110.540	80.003	19.994	103.047	19.892	0.397	0.022
2.000	110.541	80.002	19.994	103.043	19.894	0.215	0.016
2.500	110.534	80.002	19.994	103.038	19.894	0.213	0.000
3.000	110.476	80.003	19.994	103.036	19.893	0.257	-0.036
3.500	110.545	80.002	19.995	103.038	19.895	0.164	-0.028
4.000	110.560	80.002	19.994	103.040	19.895	0.150	0.048
4.500	110.546	80.002	19.995	103.042	19.892	0.391	0.043
5.000	110.512	80.001	19.995	103.048	19.891	0.423	-0.024
5.500	110.540	80.002	19.994	103.055	19.893	0.326	-0.027
6.000	110.502	80.001	19.993	103.059	19.890	0.508	-0.008
6.500	110.541	80.002	19.994	103.063	19.894	0.198	-0.005
7.000	110.547	80.003	19.993	103.065	19.890	0.480	0.023
7.500	110.529	80.001	19.995	103.066	19.893	0.285	0.017
8.000	110.530	80.001	19.996	103.067	19.892	0.374	-0.015
8.500	110.529	80.002	19.995	103.068	19.890	0.514	-0.009
9.000	110.526	80.004	19.995	103.068	19.890	0.486	-0.002
9.500	110.496	80.003	19.995	103.067	19.888	0.629	-0.018
10.000	110.551	80.002	19.994	103.068	19.891	0.465	-0.004
10.500	110.474	80.002	19.995	103.067	19.889	0.581	0.001
11.000	110.519	80.002	19.995	103.067	19.890	0.536	-0.027
11.500	110.503	80.002	19.995	103.070	19.887	0.761	-0.001
12.000	110.537	80.001	19.995	103.074	19.889	0.570	0.023
12.500	110.501	80.003	19.995	103.078	19.887	0.724	0.008
13.000	110.526	80.002	19.995	103.082	19.887	0.765	-0.007
13.500	110.501	80.001	19.996	103.087	19.890	0.542	-0.006
14.000	110.517	80.001	19.996	103.091	19.889	0.613	-0.005
14.500	110.541	80.003	19.994	103.090	19.886	0.809	0.016
15.000	110.520	80.001	19.995	103.089	19.888	0.647	0.022
15.500	110.564	80.000	19.995	103.089	19.887	0.726	0.013
16.000	110.496	80.002	19.996	103.090	19.886	0.772	-0.000
16.500	110.553	80.002	19.996	103.089	19.888	0.683	-0.018
17.000	110.566	80.002	19.995	103.092	19.885	0.881	0.029
17.500	110.543	80.001	19.996	103.096	19.883	1.031	0.030
18.000	110.547	80.001	19.996	103.099	19.885	0.879	-0.014
18.500	110.570	80.001	19.996	103.101	19.885	0.885	0.004
19.000	110.585	80.002	19.995	103.107	19.882	1.108	0.033
19.500	110.572	80.001	19.995	103.114	19.884	0.974	0.020
20.000	110.578	80.001	19.997	103.118	19.883	1.000	-0.003
20.500	110.620	80.002	19.996	103.125	19.880	1.257	0.020
21.000	110.637	80.001	19.996	103.132	19.880	1.257	0.053
21.500	110.661	80.004	19.994	103.135	19.881	1.186	0.050
22.000	110.693	80.002	19.995	103.135	19.880	1.241	0.049
22.500	110.702	80.004	19.996	103.137	19.879	1.346	0.049
23.000	110.675	80.003	19.995	103.137	19.879	1.315	0.011
23.500	110.736	80.004	19.996	103.137	19.877	1.501	0.008
24.000	110.745	80.004	19.996	103.137	19.878	1.420	0.052
24.500	110.753	80.003	19.996	103.139	19.878	1.392	0.044
25.000	110.776	80.003	19.996	103.146	19.874	1.699	0.023
25.500	110.809	80.004	19.996	103.153	19.875	1.582	0.043
26.000	110.861	80.004	19.994	103.161	19.872	1.802	0.070
26.500	110.882	80.004	19.994	103.175	19.871	1.889	0.079
27.000	110.912	80.004	19.995	103.189	19.872	1.826	0.063
27.500	110.973	80.005	19.994	103.199	19.872	1.859	0.071
28.000	110.974	80.005	19.994	103.208	19.869	2.047	0.076
28.500	111.013	80.003	19.994	103.216	19.872	1.849	0.050
29.000	111.030	80.005	19.995	103.218	19.868	2.095	0.047
29.500	111.058	80.005	19.994	103.220	19.867	2.180	0.051
30.000	111.149	80.003	19.995	103.220	19.865	2.342	0.082
30.500	111.200	80.004	19.996	103.219	19.865	2.382	0.130
31.000	111.236	80.004	19.996	103.222	19.863	2.485	0.114
31.500	111.286	80.003	19.995	103.226	19.862	2.582	0.086
32.000	111.315	80.003	19.996	103.231	19.862	2.588	0.083
32.501	111.362	80.004	19.994	103.236	19.860	2.697	0.078
33.000	111.438	80.003	19.995	103.244	19.864	2.447	0.100
33.499	111.496	80.004	19.996	103.249	19.860	2.687	0.128
33.999	111.544	80.003	19.995	103.251	19.862	2.598	0.120
34.499	111.624	80.004	19.995	103.253	19.860	2.735	0.117
34.999	111.665	80.003	19.995	103.255	19.861	2.651	0.125
35.499	111.695	80.003	19.997	103.255	19.858	2.889	0.096
35.999	111.814	80.003	19.997	103.258	19.861	2.628	0.110
36.500	111.824	80.002	19.995	103.259	19.857	2.913	0.139
37.000	111.911	80.002	19.997	103.261	19.857	2.947	0.113
37.499	111.959	80.002	19.995	103.265	19.854	3.131	0.116
37.999	112.067	80.002	19.997	103.267	19.856	3.005	0.145
38.499	112.165	80.002	19.996	103.268	19.854	3.161	0.181
38.999	112.249	80.002	19.996	103.271	19.854	3.143	0.194
39.499	112.332	80.002	19.997	103.271	19.855	3.076	0.175
39.999	112.388	80.001	19.997	103.270	19.854	3.187	0.153
40.499	112.481	80.001	19.996	103.270	19.853	3.197	0.144
41.000	112.567	80.003	19.996	103.268	19.854	3.185	0.164
41.500	112.628	80.004	19.994	103.264	19.851	3.403	0.163
41.999	112.746	80.002	19.995	103.262	19.852	3.270	0.163
42.499	112.826	80.003	19.995	103.260	19.853	3.197	0.188
43.000	112.923	80.003	19.996	103.259	19.853	3.264	0.187
43.500	113.001	80.002	19.996	103.262	19.855	3.056	0.176
43.999	113.095	80.002	19.995	103.264	19.852	3.284	0.174
44.499	113.172	80.002	19.997	103.264	19.855	3.104	0.172
44.999	113.251	80.002	19.996	103.267	19.853	3.236	0.164
45.499	113.391	80.004	19.995	103.270	19.850	3.468	0.187
45.999	113.485	80.002	19.997	103.272	19.852	3.326	0.226
46.499	113.587	80.003	19.997	103.278	19.852	3.320	0.215
47.000	113.682	80.001	19.996	103.282	19.850	3.458	0.196
47.501	113.789	80.003	19.997	103.287	19.853	3.207	0.200
48.000	113.879	80.002	19.996	103.291	19.850	3.474	0.200
