##Temp./°C,Time/min,Mass loss(subtr.2)/mg,DSC(subtr.2)/(mW/mg),Sensit./(uV/mW)
49.442,10.01,0.02765,0.004292604,1.07446
49.542,10.40521,0.02895617,0.01194108,1.07445
49.642,10.510589999999999,0.02765279,0.02153131,1.07445
49.742,10.58168,0.02795341,0.02502401,1.07444
49.842,10.637880000000001,0.02592651,0.02987074,1.07443
49.942,10.68535,0.02519871,0.0384268,1.07443
50.042,10.72689,0.02519879,0.04252943,1.0744200000000002
50.142,10.7648,0.02523591,0.04770096,1.07441
50.242,10.799560000000001,0.0263419,0.05161331,1.0744
50.342,10.83169,0.02674732,0.055551,1.0744
50.442,10.86203,0.02624462,0.06072008,1.07439
50.542,10.89027,0.02467449,0.06423548,1.07438
50.642,10.9175,0.02487383,0.06846781,1.07438
50.742,10.94242,0.02527963,0.07208023,1.07437
50.842,10.96698,0.02759759,0.07730586,1.07436
50.942,10.99072,0.02793643,0.08104392,1.07436
51.042,11.01355,0.02886321,0.08311179,1.07435
51.142,11.03595,0.0293297,0.08602795,1.07434
51.242,11.05764,0.02917895,0.09066111,1.07433
51.342,11.078710000000001,0.02876391,0.09315433,1.07433
51.442,11.0995,0.02875701,0.09540029,1.0743200000000002
51.542,11.11975,0.02874774,0.09708277,1.07431
51.642,11.13972,0.02830585,0.10063,1.0743
51.742,11.15939,0.02664337,0.1054,1.0743
51.842,11.17822,0.02813905,0.10685,1.07429
51.942,11.196769999999999,0.02938711,0.11174,1.07428
52.042,11.21504,0.02929722,0.11481,1.07427
52.142,11.23287,0.03019291,0.11709000000000001,1.07427
52.242,11.25048,0.03092231,0.11893,1.07426
52.342,11.26776,0.03185756,0.12015,1.07425
52.442,11.28481,0.03303572,0.12525,1.0742399999999999
52.542,11.30149,0.03248918,0.12538,1.0742399999999999
52.642,11.318019999999999,0.03382663,0.12838,1.07423
52.742,11.33433,0.03311642,0.12988,1.0742200000000002
52.842,11.35022,0.03401536,0.1326,1.07421
52.942,11.36608,0.0339701,0.13302999999999998,1.07421
53.042,11.38182,0.03386866,0.13688,1.0742
53.142,11.39729,0.03356546,0.13960999999999998,1.07419
53.242,11.41221,0.03276456,0.14077,1.07418
53.342,11.42724,0.03220906,0.14286,1.07418
53.442,11.44238,0.03070921,0.14473,1.07417
53.542,11.45715,0.03032899,0.14524,1.07416
53.642,11.47185,0.02992324,0.14561,1.07415
53.742,11.486419999999999,0.02843946,0.14837,1.0741399999999999
53.842,11.50093,0.02939827,0.14989,1.0741399999999999
53.942,11.515239999999999,0.02799406,0.15119000000000002,1.07413
54.042,11.52948,0.02887318,0.15345999999999999,1.07412
54.142,11.5433,0.02812223,0.15416,1.0741100000000001
54.242,11.55735,0.02916031,0.1564,1.0741
54.342,11.57126,0.0290965,0.15918,1.0741
54.442,11.58512,0.02933115,0.16000999999999999,1.07409
54.542,11.59888,0.02924138,0.15927,1.07408
54.642,11.61249,0.02985887,0.16247999999999999,1.07407
54.742,11.6263,0.02923553,0.16421,1.07406
54.842,11.6398,0.02928551,0.1644,1.07406
54.942,11.65315,0.02955192,0.16582,1.07405
55.042,11.66651,0.02931745,0.16675,1.0740399999999999
55.142,11.67982,0.02853799,0.16974,1.0740299999999998
55.242,11.69299,0.02819337,0.17282999999999998,1.07402
55.342,11.70609,0.02909784,0.17393,1.07402
55.442,11.71909,0.02839079,0.1724,1.0740100000000001
55.542,11.7321,0.02775431,0.17515999999999998,1.074
55.642,11.74506,0.02896724,0.17415999999999998,1.07399
55.742,11.75805,0.02905827,0.17672000000000002,1.07398
55.842,11.77087,0.02944368,0.17762,1.07397
55.942,11.78369,0.0296159,0.18069000000000002,1.07397
56.042,11.796389999999999,0.02967297,0.17962,1.07396
56.142,11.80912,0.03093891,0.18272,1.07395
56.242,11.82167,0.02993428,0.18186,1.07394
56.342,11.83429,0.03088587,0.1829,1.0739299999999998
