Names,Time,Stack TC,Smoke TC,Exh Press,Smoke Comp,Smoke Meas,CO Meter,CO2 Meter,O2 Meter,Sample Mass,Ext Coeff,Start Test,Flame Verif
Chan Gain,,500,500,1,1,1,1,1,1,1,1,1.0,1.0
Offset,,0,0,0.13619080185890198,0,0,0,0,0,0,0,0.0,0.0
Gain,,1,1,25.01099967956543,13.291046142578125,13.291906356811523,1,1,1,1.0009281635284424,1.0075780153274536,1.0,1.0
Units,sec,C,C,Pa,%,%,%,%,%,g,/m,,
Baseline,,41.288169860839844,42.97761535644531,160.36477661132812,99.09107208251953,93.66999053955078,0.0004731033695861697,0.04051769897341728,21.089094161987305,-3.7952280044555664,0.49735137820243835,,
1,0,37.00789260864258,38.85242462158203,162.4595184326172,100.74473571777344,95.4410629272461,0.0005892976769246161,0.040570877492427826,21.089588165283203,497.4212646484375,0.47798988223075867,0.0,0.0
2,0.25,37.05113983154297,38.66301727294922,156.18157958984375,100.75487518310547,95.23419189453125,0.0007547021959908307,0.040566299110651016,21.09016227722168,497.4012451171875,0.49805793166160583,0.0,0.0
3,0.5,37.11619567871094,38.93678665161133,159.2682647705078,100.7333755493164,95.28205108642578,0.0009035662515088916,0.04056217893958092,21.090679168701172,497.3511962890625,0.49173077940940857,0.0,0.0
4,0.75,37.63101577758789,38.793296813964844,157.51121520996094,100.72932434082031,96.75735473632812,0.001037543872371316,0.04055846855044365,21.091144561767578,497.3812255859375,0.3555741012096405,0.0,0.0
5,1,37.74248504638672,38.681190490722656,160.50096130371094,100.7386474609375,95.44552612304688,0.0011581237195059657,0.04055513069033623,21.091564178466797,497.3812255859375,0.47704261541366577,0.0,0.0
6,1.25,37.471580505371094,38.99825668334961,163.72579956054688,100.74392700195312,95.16036224365234,0.0022354074753820896,0.04055212438106537,21.091941833496094,497.3511962890625,0.5039516687393188,0.0,0.0
7,1.5,37.259490966796875,39.20103454589844,162.85643005371094,100.71633911132812,95.32099151611328,0.0022354074753820896,0.040670424699783325,21.091941833496094,497.3612060546875,0.48662468791007996,0.0,0.0
8,1.75,37.846656799316406,39.2118034362793,166.19117736816406,100.73175811767578,95.36439514160156,0.0032049629371613264,0.040776897221803665,21.09157943725586,497.3511962890625,0.4839538335800171,0.0,0.0
9,2,37.32695770263672,38.547725677490234,163.56092834472656,100.73540496826172,95.06220245361328,0.0040775625966489315,0.040872722864151,21.09125328063965,497.3111572265625,0.5123254656791687,0.0,0.0
10,2.25,37.19247055053711,39.080020904541016,160.9169464111328,100.7313461303711,95.73717498779297,0.004862902220338583,0.040958963334560394,21.090959548950195,497.3612060546875,0.44943562150001526,0.0,0.0
11,2.5,37.440277099609375,38.67881774902344,162.6533966064453,100.70863342285156,94.75918579101562,0.0077539668418467045,0.04297998920083046,21.090696334838867,497.3311767578125,0.5381945967674255,0.0,0.0
12,2.75,37.703521728515625,39.15647888183594,154.98171997070312,100.71188354492188,94.62329864501953,0.010355925187468529,0.04479891434311867,21.084150314331055,497.3211669921875,0.5511631965637207,0.0,0.0
13,3,37.161224365234375,38.77588653564453,164.43487548828125,100.7199935913086,95.32221221923828,0.01269768737256527,0.046435944736003876,21.078258514404297,497.3511962890625,0.4868321120738983,0.0,0.0
14,3.25,37.94755935668945,38.665157318115234,161.62144470214844,100.7333755493164,94.53892517089844,0.014805274084210396,0.04790927469730377,21.072956085205078,497.1510009765625,0.5609342455863953,0.0,1.0
15,3.5,37.63513946533203,39.112003326416016,162.3206024169922,100.71269226074219,92.85066986083984,0.01929282397031784,0.0492352694272995,21.06818389892578,497.2510986328125,0.7183799147605896,0.0,1.0
16,3.75,37.700069427490234,38.95771026611328,158.37217712402344,100.70903778076172,92.44786834716797,0.023331617936491966,0.06250923871994019,21.033044815063477,497.2410888671875,0.7564851641654968,0.0,1.0
17,4,37.50343322753906,39.15345001220703,154.34132385253906,100.71796417236328,90.81072235107422,0.026966532692313194,0.07445580512285233,21.001419067382812,497.0909729003906,0.9151885509490967,0.0,1.0
18,4.25,37.7413444519043,39.373138427734375,148.67401123046875,100.7208023071289,84.03658294677734,0.0302379559725523,0.08520771563053131,20.97295570373535,497.3111572265625,1.6006362438201904,0.0,1.0
19,4.5,37.944358825683594,38.5545768737793,150.9897918701172,100.70863342285156,78.55318450927734,0.033182237297296524,0.08520771563053131,20.94734001159668,497.0909729003906,2.195950984954834,0.0,1.0
20,4.75,37.80091094970703,39.56227111816406,138.10569763183594,100.70701599121094,63.580726623535156,0.03583209216594696,0.09488444030284882,20.924285888671875,496.9207763671875,4.064826965332031,0.0,1.0
21,5,37.72829818725586,39.35706329345703,131.9827117919922,100.71066284179688,54.79301071166992,0.04173064976930618,0.12540756165981293,20.844886779785156,496.5404357910156,5.3798394203186035,0.0,1.0
22,5.25,37.963157653808594,39.308441162109375,125.53608703613281,100.71269226074219,47.86635971069336,0.04703935235738754,0.15287837386131287,20.773427963256836,496.38031005859375,6.574525356292725,0.0,1.0
23,5.5,38.3094596862793,39.590240478515625,125.87345886230469,100.69525146484375,41.70108413696289,0.05181718245148659,0.17760209739208221,20.70911407470703,496.14007568359375,7.791685104370117,0.0,1.0
24,5.75,38.38261413574219,39.997100830078125,116.94161224365234,100.69322204589844,38.795101165771484,0.0561172291636467,0.19985345005989075,20.65123176574707,496.16009521484375,8.429931640625,0.0,1.0
25,6,38.97481155395508,40.3367919921875,111.41091918945312,100.69686889648438,37.99518585205078,0.061450038105249405,0.23903602361679077,20.599138259887695,495.91986083984375,8.614396095275879,0.0,1.0
26,6.25,39.524986267089844,41.2048454284668,107.88306427001953,100.69525146484375,36.06841278076172,0.06624956429004669,0.27430033683776855,20.522109985351562,495.76971435546875,9.074222564697266,0.0,1.0
27,6.5,40.362098693847656,41.356475830078125,117.30569458007812,100.68997955322266,34.459251403808594,0.07056914269924164,0.3060382306575775,20.45278549194336,495.6496276855469,9.477143287658691,0.0,1.0
