Names,Time,Stack TC,Smoke TC,Exh Press,Smoke Comp,Smoke Meas,CO Meter,CO2 Meter,O2 Meter,Sample Mass,Ext Coeff,Start Test,Flame Verif
Chan Gain,,500,500,1,1,1,1,1,1,1,1,1.0,1.0
Offset,,0,0,0.13352051377296448,0,0,0,0,0,0,0,0.0,0.0
Gain,,1,1,25.01099967956543,13.15846061706543,13.892932891845703,1,1,1,1.0009642839431763,1.0148820877075195,1.0,1.0
Units,sec,C,C,Pa,%,%,%,%,%,g,/m,,
Baseline,,42.902896881103516,44.85161209106445,138.48635864257812,99.44292449951172,96.80559539794922,0.00033509923378005624,0.06505203992128372,21.033475875854492,-835.830078125,0.2393748164176941,,
1,0,41.7801399230957,43.738487243652344,139.25328063964844,99.23699188232422,96.13504028320312,0.0005346589023247361,0.0697452649474144,21.02754783630371,205.89834594726562,0.28271573781967163,0.0,0.0
2,0.25,41.31544494628906,43.76679992675781,135.397216796875,99.23016357421875,96.06423950195312,0.0005546488100662827,0.06970927864313126,21.027667999267578,205.83828735351562,0.28866225481033325,0.0,0.0
3,0.5,41.723419189453125,43.67007827758789,140.52337646484375,99.24181365966797,97.03768920898438,0.0005726396921090782,0.06967689096927643,21.02777671813965,205.3578338623047,0.19994968175888062,0.0,0.0
4,0.75,40.878883361816406,42.44752502441406,137.7839813232422,99.24662780761719,96.32752990722656,0.0005888314917683601,0.06963298469781876,21.027873992919922,205.4379119873047,0.2657721936702728,0.0,0.0
5,1,40.989097595214844,42.505680084228516,139.9432830810547,99.2333755493164,96.44921112060547,0.00060994055820629,0.06959346681833267,21.02796173095703,205.6381072998047,0.2533453404903412,0.0,0.0
6,1.25,41.05854034423828,42.39207458496094,138.8174591064453,99.25546264648438,96.7646484375,0.000628938723821193,0.06955790519714355,21.02804183959961,205.64810180664062,0.22625871002674103,0.0,0.0
7,1.5,41.094234466552734,42.79358673095703,136.78866577148438,99.24903869628906,96.52001190185547,0.0006460370495915413,0.06952589750289917,21.028114318847656,205.6681365966797,0.24821737408638,0.0,0.0
8,1.75,40.89645767211914,43.126922607421875,137.62904357910156,99.2486343383789,96.72564697265625,0.0006614255835302174,0.06949709355831146,21.028179168701172,205.6180877685547,0.22923481464385986,0.0,0.0
9,2,40.886444091796875,42.56364440917969,137.17030334472656,99.24060821533203,96.38433837890625,0.0006746214930899441,0.06947116553783417,21.028236389160156,205.4779510498047,0.25998353958129883,0.0,0.0
10,2.25,40.60515594482422,43.11256408691406,137.54507446289062,99.24703216552734,96.83248901367188,0.0006864978349767625,0.0694478303194046,21.028287887573242,205.4779510498047,0.21926291286945343,0.0,0.0
11,2.5,40.953067779541016,42.66443634033203,138.96324157714844,99.25988006591797,96.25418090820312,0.0006971865077503026,0.06942683458328247,21.028335571289062,205.6581268310547,0.2737421691417694,0.0,0.0
12,2.75,40.64828872680664,42.73635482788086,139.99366760253906,99.26309204101562,96.4670181274414,0.0007068063132464886,0.06942683458328247,21.028377532958984,205.6381072998047,0.254367470741272,0.0,0.0
13,3,40.87669372558594,42.63575744628906,140.58673095703125,99.24421691894531,96.2295913696289,0.0007121957605704665,0.06940793246030807,21.02841567993164,205.5079803466797,0.27461278438568115,0.0,0.0
14,3.25,40.67194747924805,42.62018966674805,137.28404235839844,99.24542236328125,97.05677032470703,0.0007170462631620467,0.0693909227848053,21.02845001220703,205.5079803466797,0.19852274656295776,0.0,0.0
15,3.5,40.657432556152344,42.86593246459961,139.12582397460938,99.26309204101562,96.81171417236328,0.0007214117213152349,0.06941250711679459,21.028480529785156,205.5380096435547,0.22261400520801544,0.0,0.0
16,3.75,40.221649169921875,42.44879150390625,134.0187530517578,99.27152252197266,96.56538391113281,0.0007253406220115721,0.06943193078041077,21.02850914001465,205.5580291748047,0.24605078995227814,0.0,0.0
17,4,40.81529998779297,42.932735443115234,136.75814819335938,99.25907897949219,96.15921020507812,0.0007288766792044044,0.06944940984249115,21.028533935546875,205.6080780029297,0.28245869278907776,0.0,0.0
18,4.25,40.59231948852539,43.02984619140625,138.248046875,99.26068115234375,96.32074737548828,0.0007320591248571873,0.06946514546871185,21.02855682373047,205.5880584716797,0.26766008138656616,0.0,0.0
19,4.5,40.73357391357422,42.74268341064453,138.00991821289062,99.26590728759766,96.01929473876953,0.0007349232910200953,0.06945717334747314,21.02857780456543,205.48794555664062,0.2960338592529297,0.0,0.0
20,4.75,40.46075439453125,42.86143493652344,137.23594665527344,99.27393341064453,96.2690200805664,0.0007375010754913092,0.0694499984383583,21.028594970703125,205.4979705810547,0.2736310660839081,0.0,0.0
21,5,40.837100982666016,42.634979248046875,141.9461212158203,99.26349639892578,96.80874633789062,0.0007509361603297293,0.06944353878498077,21.02861213684082,205.5780487060547,0.2229224294424057,0.0,0.0
22,5.25,41.00624465942383,42.436458587646484,142.70558166503906,99.26630401611328,96.31523132324219,0.0007630276959389448,0.06943772733211517,21.028627395629883,205.5880584716797,0.26867440342903137,0.0,0.0
23,5.5,40.533233642578125,42.75532531738281,137.59164428710938,99.2735366821289,96.68409729003906,0.0007739100838080049,0.06941036134958267,21.028640747070312,205.5380096435547,0.23529364168643951,0.0,0.0
