Time after Ignition,Vinyl_Tile_R1,Vinyl_Tile_R2,Vinyl_Tile_R3,Vinyl_Tile_R4,Mean,Std. Dev.
0.0,10.8,8.6,5.1,26.8,12.8,9.6
0.25,12.6,9.5,6.2,32.0,15.1,11.6
0.5,14.1,12.9,7.3,36.5,17.7,12.9
0.75,15.4,15.7,9.9,41.0,20.5,13.9
1.0,16.4,18.3,12.3,45.0,23.0,14.9
1.25,19.5,20.6,14.5,45.0,24.9,13.7
1.5,22.0,22.3,16.5,50.4,27.8,15.3
1.75,24.5,26.8,18.1,54.6,31.0,16.1
2.0,26.3,30.5,19.5,59.3,33.9,17.6
2.25,28.5,34.0,23.1,62.3,37.0,17.4
2.5,30.3,36.6,26.3,67.2,40.1,18.6
2.75,31.8,41.3,29.0,70.3,43.1,18.9
3.0,33.1,45.2,31.4,74.8,46.1,20.1
3.25,36.6,49.4,34.9,79.2,50.0,20.5
3.5,39.3,50.9,38.2,79.9,52.1,19.4
3.75,43.8,56.5,41.4,83.6,56.3,19.4
4.0,44.0,58.6,44.2,86.5,58.3,20.0
4.25,46.5,64.2,46.7,90.4,62.0,20.7
4.5,48.9,65.0,50.3,91.8,64.0,19.9
4.75,50.9,67.7,53.2,93.5,66.3,19.6
5.0,52.4,71.3,56.2,98.2,69.5,20.8
5.25,54.4,75.5,58.2,98.2,71.6,20.0
5.5,58.3,77.8,62.9,101.0,75.0,19.2
5.75,60.9,80.9,66.7,103.7,78.1,19.1
6.0,64.3,83.1,68.5,105.5,80.3,18.6
6.25,66.5,84.7,72.7,109.2,83.3,18.8
6.5,71.3,88.5,75.2,111.3,86.6,18.1
6.75,74.7,91.4,78.2,113.6,89.5,17.6
7.0,79.7,93.9,81.9,116.4,93.0,16.8
7.25,83.0,97.0,82.9,118.8,95.4,16.9
7.5,88.8,101.2,87.1,121.7,99.7,16.0
7.75,92.6,102.9,91.2,124.0,102.7,15.1
8.0,98.4,105.3,93.6,126.9,106.1,14.7
8.25,102.6,109.1,96.9,130.1,109.7,14.5
8.5,107.7,112.5,103.6,132.7,114.1,12.9
8.75,108.9,117.7,104.8,136.5,117.0,14.1
9.0,113.3,119.5,106.1,138.1,119.2,13.7
