LABORATORY,FSRI 
TEST IDENT,Wood_Stud_HF25_3
OPERATOR,Dow
MATERIAL,Wood stud
ORIENTATION,Horizontal
HEAT FLUX,25
SURF AREA,0.009999999776482582
C FACTOR,0.03897305950522423
SPEC HOLDER DIFF,-566
SPECIMEN MASS,185.5800018310547
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,14016
TIME TO IGN,112.5
END OF TEST SCAN,13536
END OF TEST TIME,3384
TEST STATUS,1
PRE TEST CMT,Dimensions: 101.54 x 101.64 x 38.30 mm; sample composed of pieces with seam on center
POST TEST CMT,"""Ignition Verify"" button malfunctioned, actual ignition time at about 110 - 115 seconds."
