Sample ID:	C:\MCC\MCC Cal\Test\Wood_Stud_MCC_30K_min_211004_R1.txt
Sample Weight (mg):	4.95
Heating Rate (C/s):	0.5
Combustor Temp (C):	900
N2 Flow Rate (cc/min):	80
O2 Flow Rate (cc/min):	20
Calibration File:	C:\MCC\MCC Cal\Coeff1 JN10440_30_210304.txt.txt
T Correction Coefficients:	0	1.024463	0
Time Shift (s):	14
*
Time (s)	Temperature (C)	N2 flow rate (cc/min)	O2 flow rate (cc/min)	Flow Rate (cc/min)	Oxygen (%)	HRR (W/g)	Heating rate (C/s)
0.000	108.476	79.997	19.995	100.649	20.040	-0.262	-0.012
0.500	108.521	79.998	19.996	100.642	20.043	-0.471	0.012
1.000	108.494	79.999	19.995	100.639	20.037	-0.076	0.030
1.500	108.464	79.999	19.996	100.636	20.042	-0.385	-0.020
2.000	108.471	79.997	19.995	100.631	20.041	-0.318	-0.040
2.500	108.491	79.998	19.996	100.626	20.042	-0.402	0.002
3.000	108.492	79.998	19.996	100.630	20.042	-0.401	0.024
3.500	108.465	79.998	19.998	100.629	20.041	-0.354	-0.002
4.000	108.472	79.997	19.997	100.628	20.037	-0.112	-0.023
4.500	108.472	79.997	19.996	100.629	20.041	-0.361	-0.007
5.000	108.477	79.998	19.997	100.636	20.040	-0.283	0.006
5.500	108.480	79.998	19.995	100.635	20.043	-0.446	0.006
6.000	108.488	79.998	19.995	100.638	20.041	-0.376	0.009
6.500	108.507	79.998	19.996	100.644	20.043	-0.489	0.019
7.000	108.492	79.997	19.995	100.645	20.042	-0.415	0.016
7.500	108.505	79.998	19.996	100.638	20.042	-0.406	0.001
8.000	108.475	79.997	19.996	100.637	20.040	-0.302	-0.009
8.500	108.498	79.998	19.996	100.642	20.039	-0.232	-0.012
9.000	108.444	79.998	19.996	100.642	20.038	-0.159	-0.019
9.500	108.487	79.996	19.995	100.642	20.038	-0.180	-0.021
10.001	108.488	79.998	19.996	100.645	20.041	-0.323	0.017
10.501	108.503	79.995	19.997	100.644	20.038	-0.181	0.030
11.000	108.489	79.996	19.995	100.643	20.040	-0.252	0.009
11.501	108.475	79.996	19.996	100.644	20.040	-0.254	-0.013
12.001	108.480	79.995	19.995	100.647	20.039	-0.239	-0.019
12.500	108.475	79.995	19.995	100.650	20.042	-0.411	-0.005
13.000	108.443	79.996	19.996	100.656	20.043	-0.456	-0.018
13.500	108.475	79.996	19.996	100.658	20.039	-0.218	-0.018
14.000	108.471	79.997	19.998	100.658	20.040	-0.287	0.014
14.500	108.468	79.995	19.997	100.658	20.039	-0.244	0.010
15.000	108.481	79.995	19.997	100.659	20.037	-0.066	0.002
15.500	108.472	79.995	19.997	100.660	20.037	-0.099	0.007
16.000	108.452	79.996	19.996	100.662	20.036	-0.003	-0.012
16.500	108.475	79.996	19.996	100.665	20.035	0.045	-0.013
17.000	108.479	79.996	19.995	100.671	20.036	-0.022	0.015
17.500	108.462	79.995	19.997	100.677	20.033	0.194	0.007
18.000	108.485	79.995	19.996	100.684	20.032	0.213	-0.004
18.501	108.472	79.996	19.996	100.693	20.030	0.353	0.008
19.000	108.488	79.994	19.994	100.706	20.034	0.121	0.006
19.500	108.520	79.996	19.996	100.715	20.031	0.299	0.026
20.000	108.497	79.996	19.995	100.726	20.027	0.538	0.029
20.500	108.544	79.993	19.996	100.740	20.026	0.611	0.016
21.000	108.566	79.995	19.995	100.752	20.025	0.687	0.046
21.500	108.549	79.996	19.996	100.761	20.025	0.647	0.037
22.000	108.581	79.997	19.996	100.769	20.022	0.832	0.010
22.500	108.602	79.996	19.994	100.777	20.021	0.936	0.034
23.000	108.570	79.996	19.995	100.780	20.020	1.010	0.021
23.500	108.649	79.994	19.996	100.788	20.021	0.941	0.018
24.000	108.628	79.994	19.995	100.797	20.021	0.955	0.053
24.500	108.684	79.995	19.996	100.805	20.023	0.810	0.046
25.000	108.729	79.996	19.996	100.811	20.019	1.052	0.068
25.500	108.780	79.996	19.997	100.818	20.018	1.095	0.099
26.000	108.816	79.996	19.996	100.819	20.017	1.185	0.092
26.500	108.879	79.996	19.995	100.820	20.018	1.121	0.092
27.000	108.863	79.997	19.995	100.821	20.015	1.317	0.073
27.500	108.900	79.996	19.996	100.825	20.015	1.306	0.035
28.000	108.986	79.995	19.996	100.826	20.014	1.365	0.072
28.500	108.991	79.998	19.995	100.826	20.013	1.445	0.107
29.000	109.081	79.995	19.994	100.826	20.011	1.561	0.093
29.500	109.108	79.997	19.995	100.829	20.009	1.661	0.106
30.000	109.161	79.997	19.995	100.835	20.010	1.619	0.099
30.500	109.179	79.997	19.996	100.839	20.008	1.754	0.076
31.000	109.251	79.997	19.996	100.845	20.007	1.789	0.081
31.500	109.325	79.995	19.995	100.850	20.005	1.950	0.118
32.000	109.351	79.996	19.995	100.852	20.009	1.690	0.123
32.500	109.419	79.996	19.995	100.848	20.007	1.831	0.097
33.000	109.490	79.994	19.995	100.851	20.004	1.993	0.116
33.500	109.590	79.996	19.995	100.851	20.006	1.865	0.155
34.000	109.642	79.997	19.995	100.852	20.006	1.858	0.162
34.500	109.672	79.995	19.996	100.853	20.007	1.841	0.117
35.000	109.772	79.996	19.995	100.857	20.004	2.009	0.105
35.500	109.879	79.996	19.996	100.857	20.008	1.723	0.168
36.000	109.907	79.996	19.995	100.856	20.004	2.037	0.171
36.501	109.970	79.995	19.996	100.856	20.004	2.019	0.113
37.001	110.080	79.995	19.995	100.854	20.007	1.832	0.132
37.501	110.155	79.997	19.995	100.854	20.007	1.813	0.179
38.000	110.201	79.996	19.995	100.854	20.006	1.883	0.153
38.500	110.303	79.995	19.995	100.853	20.004	2.035	0.134
39.000	110.412	79.996	19.995	100.852	20.005	1.912	0.179
39.501	110.468	79.996	19.996	100.854	20.003	2.050	0.188
40.001	110.595	79.995	19.995	100.853	20.005	1.948	0.174
40.500	110.632	79.996	19.995	100.853	20.003	2.073	0.173
41.000	110.764	79.995	19.996	100.857	20.001	2.206	0.166
41.500	110.851	79.995	19.995	100.856	20.002	2.142	0.194
42.000	110.896	79.995	19.995	100.856	20.000	2.281	0.176
42.500	110.996	79.995	19.995	100.857	20.000	2.255	0.138
43.000	111.113	79.994	19.995	100.858	20.000	2.239	0.181
43.501	111.174	79.995	19.994	100.859	20.000	2.277	0.198
44.001	111.289	79.994	19.994	100.861	19.999	2.324	0.177
44.500	111.360	79.992	19.996	100.863	20.000	2.282	0.181
45.001	111.486	79.994	19.995	100.866	19.999	2.340	0.191
45.501	111.583	79.995	19.995	100.867	20.000	2.250	0.210
46.000	111.681	79.995	19.995	100.867	20.004	2.016	0.209
46.500	111.821	79.995	19.994	100.867	20.000	2.291	0.216
47.000	111.921	79.995	19.995	100.867	20.000	2.265	0.239
47.500	112.029	79.996	19.995	100.866	20.001	2.174	0.224
48.000	112.102	79.995	19.994	100.866	20.000	2.262	0.195
48.500	112.240	79.995	19.994	100.867	19.999	2.298	0.196
49.000	112.351	79.996	19.995	100.867	19.998	2.411	0.230
49.500	112.448	79.994	19.995	100.866	19.999	2.330	0.228
50.000	112.578	79.996	19.995	100.866	20.000	2.260	0.218
50.500	112.693	79.996	19.994	100.866	20.000	2.283	0.236
51.000	112.847	79.995	19.996	100.867	19.998	2.366	0.257
51.501	112.956	79.997	19.996	100.872	19.999	2.338	0.266
52.001	113.091	79.995	19.995	100.875	19.998	2.418	0.254
52.500	113.186	79.997	19.995	100.877	19.996	2.537	0.237
53.000	113.300	79.997	19.995	100.879	20.000	2.269	0.219
53.500	113.436	79.996	19.996	100.883	20.002	2.127	0.229
54.000	113.552	79.996	19.995	100.882	19.998	2.376	0.251
54.500	113.675	79.997	19.995	100.878	20.000	2.271	0.246
55.000	113.804	79.996	19.994	100.877	20.001	2.217	0.246
55.500	113.912	79.997	19.995	100.876	19.998	2.392	0.244
56.000	114.049	79.998	19.994	100.874	19.999	2.349	0.241
56.500	114.209	79.996	19.995	100.871	20.000	2.262	0.271
57.000	114.302	79.997	19.996	100.873	20.008	1.748	0.275
57.500	114.434	79.997	19.995	100.877	20.002	2.164	0.239
58.000	114.621	79.997	19.996	100.880	19.995	2.584	0.272
58.500	114.740	79.998	19.995	100.883	20.006	1.897	0.313
59.000	114.867	79.998	19.994	100.887	19.997	2.451	0.276
59.500	115.003	79.999	19.995	100.892	20.009	1.694	0.254
60.000	115.179	79.999	19.995	100.895	20.009	1.707	0.287
60.500	115.297	79.998	19.995	100.896	19.996	2.491	0.303
61.000	115.427	79.998	19.994	100.896	19.991	2.813	0.272
61.500	115.616	79.998	19.995	100.895	19.993	2.688	0.284
62.000	115.746	79.997	19.995	100.893	19.993	2.707	0.319
62.500	115.896	79.998	19.995	100.893	19.994	2.659	0.300
63.000	116.058	79.998	19.995	100.893	19.996	2.491	0.296
63.500	116.203	79.998	19.995	100.893	19.991	2.839	0.309
64.000	116.353	79.998	19.995	100.894	19.998	2.380	0.301
64.500	116.518	79.997	19.995	100.895	19.999	2.304	0.305
65.000	116.642	79.997	19.995	100.892	19.997	2.439	0.302
65.500	116.816	79.998	19.996	100.892	19.997	2.475	0.294
66.000	116.983	79.998	19.995	100.891	19.997	2.461	0.320
66.501	117.170	79.998	19.996	100.891	19.995	2.570	0.347
67.001	117.283	79.998	19.996	100.892	19.996	2.532	0.327
67.500	117.414	79.997	19.995	100.894	19.997	2.421	0.272
68.000	117.596	79.997	19.995	100.895	19.995	2.577	0.278
68.500	117.751	79.998	19.996	100.896	19.998	2.357	0.325
69.000	117.899	79.996	19.996	100.896	19.998	2.420	0.321
69.501	118.094	79.997	19.996	100.896	19.996	2.513	0.324
70.001	118.249	79.997	19.995	100.896	19.995	2.593	0.347
70.500	118.447	79.997	19.996	100.895	19.996	2.543	0.351
71.000	118.598	79.996	19.996	100.894	19.996	2.545	0.350
71.501	118.768	79.996	19.996	100.894	19.994	2.647	0.335
72.001	118.907	79.997	19.996	100.894	19.997	2.465	0.315
72.500	119.076	79.996	19.996	100.896	19.995	2.609	0.309
73.000	119.241	79.996	19.998	100.896	19.994	2.652	0.321
73.500	119.436	79.997	19.997	100.899	19.993	2.707	0.347
74.000	119.635	79.996	19.997	100.899	19.997	2.435	0.377
74.500	119.839	79.996	19.997	100.898	19.997	2.460	0.398
75.000	120.006	79.997	19.997	100.897	19.993	2.730	0.387
75.500	120.201	79.998	19.996	100.898	19.994	2.643	0.367
76.000	120.367	79.997	19.997	100.896	19.997	2.461	0.362
76.500	120.584	79.997	19.997	100.896	19.995	2.610	0.372
77.000	120.748	79.998	19.996	100.896	19.994	2.615	0.382
77.500	120.897	79.997	19.995	100.896	19.997	2.484	0.347
78.000	121.104	79.998	19.995	100.896	19.994	2.659	0.335
78.501	121.297	79.998	19.996	100.896	19.991	2.806	0.378
79.001	121.477	79.999	19.995	100.896	19.994	2.664	0.386
79.500	121.683	79.999	19.997	100.897	19.995	2.560	0.379
80.000	121.865	79.998	19.996	100.897	19.994	2.628	0.387
80.500	122.038	79.999	19.995	100.896	19.993	2.705	0.372
81.000	122.264	79.998	19.996	100.897	19.992	2.745	0.377
81.500	122.481	79.999	19.996	100.903	19.996	2.515	0.421
82.001	122.639	79.998	19.995	100.905	19.993	2.676	0.409
82.501	122.858	79.999	19.995	100.906	19.991	2.804	0.376
83.000	123.050	79.998	19.997	100.905	19.994	2.669	0.394
83.500	123.232	79.999	19.999	100.909	19.993	2.702	0.392
84.001	123.419	79.999	19.998	100.905	19.991	2.809	0.371
84.501	123.613	79.998	19.999	100.904	19.991	2.822	0.375
