Sample ID:	C:\MCC\MCC Cal\Test\Wool_Rug\Wool_Rug_MCC_30K_min_211116_R4.txt
Sample Weight (mg):	4.85
Heating Rate (C/s):	0.5
Combustor Temp (C):	900
N2 Flow Rate (cc/min):	80
O2 Flow Rate (cc/min):	20
Calibration File:	C:\MCC\MCC Cal\Coeff1 JN10440_30_210304.txt.txt
T Correction Coefficients:	0	1.024463	0
Time Shift (s):	14
*
Time (s)	Temperature (C)	N2 flow rate (cc/min)	O2 flow rate (cc/min)	Flow Rate (cc/min)	Oxygen (%)	HRR (W/g)	Heating rate (C/s)
0.000	110.566	80.006	19.998	103.091	20.002	0.007	0.006
0.500	110.568	80.007	19.996	103.094	20.002	-0.029	0.004
1.000	110.583	80.007	19.997	103.096	20.001	0.040	0.010
1.500	110.552	80.007	19.996	103.096	20.000	0.119	0.000
2.000	110.585	80.008	19.995	103.096	20.003	-0.067	-0.007
2.500	110.592	80.006	19.995	103.090	20.004	-0.108	0.021
3.000	110.609	80.006	19.995	103.089	20.001	0.038	0.032
3.500	110.522	80.007	19.995	103.089	20.000	0.146	-0.023
4.000	110.601	80.008	19.995	103.089	20.002	0.013	-0.038
4.500	110.575	80.007	19.996	103.089	20.001	0.085	0.022
5.000	110.542	80.006	19.997	103.094	20.002	0.000	-0.004
5.500	110.533	80.007	19.998	103.095	20.004	-0.135	-0.051
6.000	110.550	80.007	19.996	103.095	20.001	0.052	-0.017
6.500	110.528	80.008	19.996	103.095	20.000	0.162	0.001
7.000	110.528	80.005	19.997	103.095	20.001	0.097	-0.013
7.500	110.498	80.007	19.995	103.096	20.004	-0.099	-0.026
8.000	110.526	80.006	19.997	103.101	20.001	0.076	-0.016
8.500	110.518	80.007	19.995	103.107	19.999	0.213	0.009
9.000	110.531	80.007	19.996	103.110	20.000	0.137	0.013
9.500	110.517	80.009	19.997	103.115	19.999	0.169	0.002
10.000	110.568	80.007	19.995	103.119	20.000	0.119	0.018
10.500	110.548	80.008	19.996	103.115	20.000	0.124	0.034
11.000	110.575	80.006	19.995	103.109	19.998	0.288	0.019
11.500	110.555	80.008	19.996	103.106	19.998	0.251	0.007
12.000	110.521	80.008	19.996	103.109	20.000	0.123	-0.023
12.500	110.541	80.009	19.995	103.097	20.001	0.081	-0.034
13.000	110.533	80.008	19.996	103.075	19.996	0.371	-0.001
13.500	110.520	80.008	19.996	103.057	20.000	0.164	-0.005
14.000	110.524	80.009	19.995	103.046	19.998	0.287	-0.015
14.500	110.524	80.009	19.995	103.030	20.000	0.112	-0.003
15.000	110.530	80.010	19.995	103.030	19.999	0.188	0.005
15.500	110.530	80.009	19.996	103.064	19.998	0.301	0.007
16.000	110.519	80.009	19.996	103.104	20.002	0.020	-0.002
16.500	110.558	80.009	19.995	103.122	20.001	0.054	0.008
17.000	110.550	80.008	19.996	103.130	20.001	0.083	0.029
17.500	110.537	80.007	19.995	103.137	20.001	0.054	0.005
18.000	110.553	80.010	19.996	103.122	19.998	0.242	-0.009
18.501	110.570	80.008	19.996	103.097	20.000	0.153	0.018
19.000	110.578	80.010	19.995	103.083	20.000	0.124	0.029
19.500	110.572	80.008	19.995	103.079	20.001	0.087	0.014
20.001	110.538	80.008	19.996	103.078	20.001	0.056	-0.019
20.500	110.523	80.008	19.995	103.080	20.004	-0.130	-0.044
21.000	110.519	80.010	19.995	103.084	20.001	0.090	-0.034
21.500	110.539	80.010	19.995	103.086	20.003	-0.070	-0.001
22.000	110.512	80.008	19.995	103.085	20.003	-0.070	0.004
22.500	110.556	80.008	19.995	103.083	20.002	0.025	0.005
23.000	110.545	80.007	19.994	103.083	20.003	-0.058	0.025
23.500	110.545	80.006	19.995	103.083	20.005	-0.209	0.011
24.000	110.527	80.007	19.995	103.088	20.002	-0.025	-0.014
24.500	110.526	80.006	19.995	103.093	20.002	-0.014	-0.019
25.001	110.539	80.007	19.994	103.096	20.002	-0.007	-0.004
25.501	110.509	80.006	19.994	103.096	20.004	-0.142	-0.003
26.000	110.497	80.006	19.995	103.096	20.004	-0.144	-0.030
26.500	110.543	80.007	19.994	103.095	20.003	-0.087	-0.004
27.000	110.548	80.007	19.995	103.093	20.004	-0.141	0.043
27.500	110.520	80.007	19.996	103.093	20.004	-0.160	0.014
28.000	110.573	80.006	19.994	103.092	20.003	-0.070	0.001
28.500	110.567	80.007	19.996	103.088	20.003	-0.092	0.036
29.000	110.550	80.006	19.994	103.087	20.004	-0.144	0.012
29.500	110.533	80.005	19.995	103.087	20.006	-0.249	-0.028
30.000	110.531	80.007	19.995	103.084	20.004	-0.142	-0.027
30.500	110.520	80.005	19.996	103.084	20.005	-0.216	-0.016
31.000	110.556	80.006	19.994	103.089	20.006	-0.265	0.006
31.500	110.530	80.006	19.994	103.092	20.005	-0.182	0.018
32.000	110.518	80.006	19.994	103.094	20.005	-0.182	-0.014
32.500	110.519	80.007	19.994	103.097	20.002	0.009	-0.024
33.000	110.514	80.006	19.994	103.099	20.004	-0.112	-0.007
33.500	110.518	80.006	19.994	103.099	20.005	-0.220	-0.002
34.000	110.564	80.006	19.994	103.094	20.003	-0.083	0.024
34.500	110.554	80.005	19.995	103.093	20.003	-0.045	0.043
35.000	110.554	80.005	19.994	103.093	20.004	-0.132	0.013
35.500	110.542	80.006	19.995	103.092	20.007	-0.310	-0.011
36.000	110.507	80.008	19.994	103.088	20.003	-0.094	-0.029
36.500	110.521	80.006	19.995	103.092	20.006	-0.274	-0.034
37.000	110.522	80.006	19.994	103.093	20.004	-0.126	-0.003
37.500	110.505	80.007	19.995	103.092	20.005	-0.225	-0.000
38.001	110.553	80.006	19.994	103.091	20.008	-0.375	0.007
38.501	110.548	80.007	19.993	103.093	20.003	-0.087	0.037
39.000	110.515	80.004	19.996	103.090	20.005	-0.216	0.002
39.500	110.496	80.005	19.994	103.089	20.007	-0.307	-0.045
40.000	110.547	80.006	19.996	103.090	20.005	-0.200	-0.010
40.500	110.552	80.006	19.995	103.091	20.003	-0.045	0.045
41.000	110.568	80.007	19.994	103.090	20.005	-0.166	0.039
41.500	110.500	80.006	19.996	103.093	20.006	-0.251	-0.016
42.001	110.524	80.006	19.995	103.093	20.005	-0.177	-0.048
42.501	110.526	80.006	19.994	103.093	20.007	-0.303	-0.009
43.000	110.549	80.006	19.995	103.089	20.006	-0.263	0.025
43.500	110.529	80.007	19.994	103.086	20.005	-0.222	0.014
44.000	110.547	80.007	19.994	103.080	20.003	-0.074	0.001
44.500	110.541	80.006	19.994	103.074	20.006	-0.278	0.005
45.000	110.541	80.006	19.994	103.070	20.004	-0.153	0.003
45.500	110.555	80.006	19.994	103.070	20.006	-0.231	0.004
