##Temp./°C,Time/min,Mass loss(subtr.2)/mg,DSC(subtr.2)/(mW/mg),Sensit./(uV/mW)
49.885,10.015830000000001,-0.04333,0.01630743,1.0638100000000001
49.985,10.50837,-0.04415327,0.02008232,1.06379
50.085,10.68,-0.0455811,0.02419234,1.06376
50.185,10.803510000000001,-0.04427885,0.02763762,1.06374
50.285,10.90147,-0.04437523,0.03288334,1.06372
50.385,10.98682,-0.04548515,0.03705474,1.06369
50.485,11.06282,-0.04731998,0.03541076,1.0636700000000001
50.585,11.132660000000001,-0.04728259,0.04086402,1.06364
50.685,11.198210000000001,-0.04729046,0.04523234,1.06362
50.785,11.259789999999999,-0.04679785,0.04615374,1.0636
50.885,11.31937,-0.04598779,0.04477826,1.0635700000000001
50.985,11.376539999999999,-0.04632852,0.04807364,1.06355
51.085,11.430439999999999,-0.04728898,0.05006009,1.06352
51.185,11.482510000000001,-0.04727037,0.05086643,1.0635
51.285,11.53352,-0.04729695,0.05179638,1.06348
51.385,11.58262,-0.0482758,0.0552612,1.06345
51.485,11.63058,-0.04834473,0.05715677,1.0634299999999999
51.585,11.67769,-0.04741487,0.05773233,1.0634
51.685,11.72412,-0.04625639,0.05908568,1.06338
51.785,11.76954,-0.04727747,0.06219032,1.06336
51.885,11.81385,-0.04792258,0.06433731,1.0633299999999999
51.985,11.857619999999999,-0.04716884,0.06192894,1.06331
52.085,11.90076,-0.04815749,0.06380384,1.06328
52.185,11.94357,-0.04767075,0.06619248,1.06326
52.285,11.98569,-0.04857867,0.0659931,1.06324
52.385,12.0271,-0.04859482,0.06840101,1.06321
52.485,12.06875,-0.04901801,0.06759162,1.0631899999999999
52.585,12.1096,-0.04854356,0.06668988,1.06316
52.685,12.14984,-0.04858903,0.0679609,1.06314
52.785,12.190389999999999,-0.04961294,0.06980091,1.06311
52.885,12.23069,-0.0485907,0.06845266,1.0630899999999999
52.985,12.27062,-0.04859208,0.06775205,1.0630700000000002
53.085,12.31022,-0.04864223,0.07075619,1.06304
53.185,12.34942,-0.04727422,0.06984988,1.06302
53.285,12.38837,-0.04822309,0.07012521,1.0629899999999999
53.385,12.42715,-0.04859247,0.06994248,1.06297
53.485,12.46593,-0.04859914,0.07230792,1.06295
53.585,12.504669999999999,-0.04980321,0.07386655,1.06292
53.685,12.543280000000001,-0.05028042,0.073156,1.0629
53.785,12.58185,-0.05123354,0.07306631,1.06287
53.885,12.62002,-0.0512095,0.0716779,1.06285
53.985,12.6584,-0.04974023,0.07325727,1.06282
54.085,12.69663,-0.04852496,0.07400802,1.0628
54.185,12.73465,-0.04994229,0.07388021,1.0627799999999998
54.285,12.77256,-0.04991425,0.07302744,1.06275
54.385,12.81057,-0.04991744,0.07383341,1.06273
54.485,12.848469999999999,-0.0486162,0.07429065,1.0627
54.585,12.88603,-0.04854552,0.07455869,1.0626799999999998
54.685,12.92327,-0.04982849,0.07696926,1.06265
54.785,12.96081,-0.04995077,0.0757433,1.06263
54.885,12.99837,-0.05120561,0.07497673,1.06261
54.985,13.036019999999999,-0.05059433,0.0749718,1.0625799999999999
55.085,13.0736,-0.05057341,0.07488947,1.06256
55.185,13.11089,-0.05058976,0.07630889,1.06253
