##Temp./°C,Time/min,DSC/(mW/mg),Mass/%,Sensit./(uV/mW)
48.658,10.00667,-0.004405972,98.94185,1.06795
48.663,10.10667,-0.0045633390000000005,98.98524,1.06795
48.673,10.206669999999999,-0.002517715,98.97797,1.06794
48.684,10.30667,-0.001888296,98.9467,1.06794
48.706,10.40667,-0.00047207849999999997,98.88855,1.0679299999999998
48.719,10.50667,-0.0001573604,98.91762,1.06792
48.755,10.60667,0.00267517,98.91762,1.0679
48.857,10.706669999999999,0.007396392,98.90308,1.06785
49.009,10.80667,0.01495116,98.8837,1.06778
49.125,10.90667,0.02455265,98.88611999999999,1.0677299999999998
49.347,11.00667,0.03557337,98.91278,1.06762
49.626,11.10667,0.05053304,98.88391999999999,1.06749
49.969,11.206669999999999,0.06691531,98.92730999999999,1.06733
50.416,11.30667,0.08803078,98.93921,1.06712
50.914,11.40667,0.1079,98.91278,1.0668799999999998
51.558,11.50667,0.1314,98.91035,1.06657
52.27,11.60667,0.15887,98.89824,1.0662399999999999
53.096,11.706669999999999,0.18684,98.87423000000001,1.06584
54.049,11.80667,0.21909,98.84758000000001,1.06539
55.124,11.90667,0.25029,98.85727,1.0648799999999998
56.241,12.00667,0.28309,98.84515,1.06435
57.509,12.10667,0.31643000000000004,98.82576999999999,1.06374
58.869,12.206669999999999,0.35029,98.82093,1.0630899999999999
60.337,12.30667,0.38311,98.75088000000001,1.06239
61.876,12.40667,0.41772,98.76541999999999,1.06166
63.512,12.50667,0.44797,98.73634,1.06087
65.222,12.60667,0.48081999999999997,98.65441,1.06005
67.0,12.706669999999999,0.5104,98.75815,1.0592
68.808,12.80667,0.54051,98.76784,1.05833
70.694,12.90667,0.5706899999999999,98.76541999999999,1.05742
72.617,13.00667,0.59807,98.77996,1.05649
74.603,13.10667,0.62361,98.74119,1.0555299999999999
76.632,13.20667,0.64985,98.64449,1.05455
78.685,13.30667,0.67423,98.61322,1.05356
80.797,13.406670000000002,0.69708,98.58414,1.05253
82.926,13.506670000000002,0.71726,98.57445,1.0515
85.099,13.606670000000001,0.73958,98.57467,1.05044
87.325,13.70667,0.75556,98.48744,1.04936
89.597,13.80667,0.77127,98.41982,1.04825
91.925,13.906670000000002,0.78719,98.40550999999999,1.04711
94.281,14.006670000000002,0.80156,98.39097,1.04595
96.689,14.106670000000001,0.8167800000000001,98.42730999999999,1.04477
99.136,14.20667,0.8298,98.38611999999999,1.04357
101.632,14.30667,0.84093,98.33304,1.04234
104.212,14.406670000000002,0.85487,98.29427,1.0410700000000002
106.755,14.506670000000002,0.86916,98.26057,1.0398100000000001
109.387,14.606670000000001,0.88125,98.24580999999999,1.03851
112.061,14.70667,0.8938799999999999,98.2533,1.03719
114.765,14.80667,0.90851,98.26035,1.03585
117.52,14.906670000000002,0.9287200000000001,98.2533,1.0344799999999998
120.316,15.006670000000002,0.95209,98.17599,1.03308
123.157,15.106670000000001,0.96985,98.13965,1.03166
126.028,15.20667,0.9914299999999999,98.11784,1.03023
128.97701,15.30667,1.0069,98.20506999999999,1.02875
131.91298999999998,15.406670000000002,1.02568,98.17357,1.02728
134.918,15.506670000000002,1.04243,98.21696,1.02577
137.966,15.606670000000001,1.0610600000000001,98.08414,1.02423
141.03,15.70667,1.07597,97.95352,1.0226899999999999
144.14,15.80667,1.09425,98.06498,1.02112
147.29401000000001,15.906670000000002,1.11162,98.08655999999999,1.01952
150.464,16.00667,1.12658,98.12269,1.01791
153.66,16.10667,1.1386399999999999,98.14692,1.01629
156.881,16.206670000000003,1.1538899999999999,98.06475999999999,1.01465
160.129,16.30667,1.16806,98.07203,1.01299
163.397,16.406670000000002,1.1791200000000002,98.04295,1.01132
166.69501,16.50667,1.19674,98.04295,1.00963
170.009,16.60667,1.2086,98.0141,1.00793
173.33701000000002,16.706670000000003,1.22785,98.09626,1.0062200000000001
176.70598999999999,16.80667,1.2452,98.10351999999999,1.0044899999999999
180.07899,16.906670000000002,1.2647899999999999,98.04559,1.00275
183.48398999999998,17.00667,1.28397,97.98767,1.00099
186.942,17.10667,1.30376,97.98767,0.9991899999999999
190.38,17.206670000000003,1.32429,97.95859,0.99741
193.86301,17.30667,1.34476,97.95859,0.9956
197.37,17.406670000000002,1.3680299999999999,97.90044,0.99377
200.879,17.50667,1.39224,97.87863,0.9919399999999999
204.425,17.60667,1.41743,97.87137,0.99008
207.955,17.706670000000003,1.4425299999999999,97.84978000000001,0.9882299999999999
211.524,17.80667,1.471,97.78943000000001,0.98636
215.092,17.906670000000002,1.4948,97.76057,0.9844799999999999
218.687,18.00667,1.52197,97.70241999999999,0.98259
222.27499,18.10667,1.54564,97.59604,0.98069
225.91,18.206670000000003,1.56654,97.48965,0.9787600000000001
229.515,18.30667,1.58681,97.39075,0.97685
233.145,18.406670000000002,1.60323,97.2652,0.9749200000000001
236.791,18.50667,1.61005,97.16608000000001,0.97298
240.439,18.60667,1.6181299999999998,97.07181,0.97103
244.097,18.706670000000003,1.62678,96.91476,0.9690700000000001
247.75999,18.80667,1.6313,96.7359,0.96711
251.437,18.906670000000002,1.6282,96.57159,0.9651299999999999
255.11301,19.00667,1.62858,96.3348,0.96315
258.79901,19.10667,1.62496,96.15616999999999,0.96116
262.48801000000003,19.206670000000003,1.6188799999999999,95.95088,0.95916
266.18399,19.30667,1.61331,95.65836999999999,0.95716
269.89999,19.406670000000002,1.60564,95.25506999999999,0.95514
273.60101000000003,19.50667,1.59441,94.78128000000001,0.9531200000000001
277.29599,19.60667,1.578,94.3804,0.9511
281.01501,19.706670000000003,1.54951,94.00837,0.9490700000000001
284.74301,19.80667,1.51737,93.4478,0.9470200000000001
288.43701,19.906670000000002,1.476,92.79316999999999,0.94499
292.155,20.00667,1.43269,92.09978000000001,0.94294
295.85999,20.10667,1.38937,91.30726999999999,0.94089
299.58499,20.206670000000003,1.35412,90.45441,0.9388299999999999
303.31,20.30667,1.32679,89.43722,0.93676
307.043,20.406670000000002,1.3141,88.38391999999999,0.93468
310.76999,20.50667,1.30172,87.31123000000001,0.9326
314.5,20.60667,1.28585,86.13458,0.9305100000000001
318.21898999999996,20.706670000000003,1.25272,84.90241999999999,0.92843
321.91901,20.80667,1.22506,83.73810999999999,0.92635
325.60199,20.906670000000002,1.21436,82.27863,0.92427
329.306,21.00667,1.22258,80.95947,0.9221799999999999
332.98499,21.10667,1.25129,79.37709,0.92009
336.67899,21.206670000000003,1.2915,77.93722,0.91799
340.34799,21.30667,1.3469200000000001,76.35242,0.9159
344.01001,21.406670000000002,1.4048,74.72863000000001,0.91381
347.66901,21.50667,1.46738,73.02797,0.91171
351.34299,21.60667,1.54007,71.2304,0.9096
354.98499,21.706670000000003,1.61455,69.22269,0.90751
358.629,21.80667,1.69756,67.21013,0.9054
362.26501,21.906670000000002,1.7857900000000002,64.93899,0.9033
365.896,22.00667,1.88041,62.62687,0.9011899999999999
369.52301,22.10667,1.9814599999999998,60.04185,0.8990799999999999
373.146,22.206670000000003,2.08299,57.32885,0.8969600000000001
376.75101,22.30667,2.1709099999999997,54.33282,0.89485
380.34799,22.406670000000002,2.23779,51.203959999999995,0.89274
383.948,22.50667,2.2623599999999997,47.76388,0.8906200000000001
387.53799,22.60667,2.2223599999999997,44.49493,0.8885
391.099,22.706670000000003,2.08205,41.17775,0.88639
394.66,22.80667,1.84054,38.32687,0.88428
