Names,Time,Stack TC,Smoke TC,Exh Press,Smoke Comp,Smoke Meas,CO Meter,CO2 Meter,O2 Meter,Sample Mass,Ext Coeff,Start Test,Flame Verif
Chan Gain,,500,500,1,1,1,1,1,1,1,1,1.0,1.0
Offset,,0,0,0.13834838569164276,0,0,0,0,0,0,0,0.0,0.0
Gain,,1,1,25.01099967956543,13.506684303283691,16.615966796875,1,1,1,1.0009111166000366,1.0460774898529053,1.0,1.0
Units,sec,C,C,Pa,%,%,%,%,%,g,/m,,
Baseline,,19.39415168762207,20.480825424194336,169.47555541992188,100.74610900878906,99.89620208740234,-0.00025351051590405405,0.08239851146936417,20.840396881103516,-0.2594446837902069,0.07774069160223007,,
1,0,17.28711700439453,18.264137268066406,166.47991943359375,101.06477355957031,100.36615753173828,-0.00047720360453240573,0.08679933100938797,20.83402442932129,498.9041442871094,0.06365030258893967,0.0,0.0
2,0.25,16.60771369934082,17.163362503051758,166.53945922851562,101.06930541992188,100.39506530761719,-0.00048298880574293435,0.0869985818862915,20.833770751953125,498.9742126464844,0.06141982227563858,0.0,0.0
3,0.5,16.866195678710938,17.613426208496094,168.55068969726562,101.07095336914062,100.3438491821289,-0.0004856318701058626,0.08717790991067886,20.833541870117188,498.9241638183594,0.06625165790319443,0.0,0.0
4,0.75,16.603384017944336,17.254886627197266,172.11593627929688,101.05158233642578,100.26525115966797,-0.00048801061348058283,0.08733930438756943,20.833335876464844,498.9041442871094,0.0716833546757698,0.0,0.0
5,1,16.751741409301758,17.90825843811035,171.3404541015625,101.06230163574219,100.27995300292969,-0.0004901514621451497,0.08765675872564316,20.83315086364746,498.9141540527344,0.07131106406450272,0.0,0.0
6,1.25,17.182010650634766,17.545692443847656,162.55287170410156,101.06477355957031,100.28958892822266,-0.0004920782521367073,0.08794247359037399,20.832984924316406,498.9341735839844,0.0706532895565033,0.0,0.0
7,1.5,16.936246871948242,17.621061325073242,168.15988159179688,101.06188201904297,100.33319854736328,-0.0004938123747706413,0.08819961547851562,20.832836151123047,498.9141540527344,0.06640152633190155,0.0,0.0
8,1.75,17.189067840576172,17.374723434448242,165.2655487060547,101.05240631103516,100.25308227539062,-0.0004896042519249022,0.08843103796243668,20.832700729370117,498.9041442871094,0.07287175208330154,0.0,0.0
9,2,17.480628967285156,18.06477928161621,168.27667236328125,101.06023406982422,100.23330688476562,-0.00048581691225990653,0.08871810883283615,20.83258056640625,498.9141540527344,0.07539238780736923,0.0,0.0
10,2.25,17.348167419433594,17.985610961914062,165.15029907226562,101.06188201904297,100.24496459960938,-0.0004824083298444748,0.08897647261619568,20.83247184753418,498.9141540527344,0.07447558641433716,0.0,0.0
11,2.5,17.097272872924805,17.52033233642578,166.98138427734375,101.065185546875,100.3438491821289,-0.0004742130113299936,0.08920899778604507,20.832374572753906,498.9141540527344,0.06572818756103516,0.0,0.0
12,2.75,16.963171005249023,17.56275177001953,166.4615936279297,101.05158233642578,100.3154525756836,-0.0004668372275773436,0.08941826969385147,20.832517623901367,498.9041442871094,0.06709002703428268,0.0,0.0
13,3,17.822494506835938,18.07194709777832,165.47315979003906,101.05529022216797,100.2779312133789,-0.00046019902219995856,0.08960661292076111,20.832645416259766,498.8941345214844,0.07085952907800674,0.0,0.0
14,3.25,17.02140235900879,18.103168487548828,171.54043579101562,101.05034637451172,100.281982421875,-0.0004542246169876307,0.08977612107992172,20.832761764526367,498.8841247558594,0.07003996521234512,0.0,0.0
15,3.5,17.06081199645996,17.788166046142578,166.77455139160156,101.0606460571289,100.23837280273438,-0.0004488476552069187,0.08992867916822433,20.83286476135254,498.8841247558594,0.07496599853038788,0.0,0.0
16,3.75,16.835660934448242,18.630756378173828,170.70083618164062,101.06559753417969,100.21353149414062,-0.00044400838669389486,0.09006598591804504,20.832958221435547,498.8741455078125,0.07768998295068741,0.0,0.0
17,4,17.560428619384766,18.036569595336914,165.1938018798828,101.05652618408203,100.33319854736328,-0.00043260277016088367,0.09018956124782562,20.83304214477539,499.0943298339844,0.06591607630252838,0.0,0.0
18,4.25,17.570600509643555,18.203378677368164,165.3953094482422,101.0606460571289,100.2824935913086,-0.0004223377036396414,0.09028644859790802,20.833118438720703,499.0242614746094,0.07092791050672531,0.0,0.0
19,4.5,17.325101852416992,17.597469329833984,169.46127319335938,101.0573501586914,100.24344635009766,-0.0004130991583224386,0.09037365019321442,20.833187103271484,499.0743103027344,0.07420215010643005,0.0,0.0
20,4.75,17.288179397583008,18.2237491607666,171.9968719482422,101.05034637451172,100.23229217529297,-0.0004047844558954239,0.09045212715864182,20.833248138427734,498.8340759277344,0.07458733767271042,0.0,0.0
21,5,17.29248046875,18.440881729125977,166.06088256835938,101.04621887207031,100.30936431884766,-0.0003973012208007276,0.09052275866270065,20.833303451538086,498.8841247558594,0.06715951859951019,0.0,0.0
22,5.25,16.749900817871094,18.198352813720703,168.56747436523438,101.05364227294922,100.35195922851562,-0.0003886432386934757,0.09059349447488785,20.83335304260254,499.06427001953125,0.06393817067146301,0.0,0.0
23,5.5,17.394506454467773,18.436365127563477,169.9978485107422,101.05364227294922,100.28755950927734,-0.0003808510664384812,0.09065715223550797,20.833396911621094,499.49468994140625,0.06982827931642532,0.0,0.0
24,5.75,17.573949813842773,18.782825469970703,168.84454345703125,101.06559753417969,100.169921875,-0.0003738381201401353,0.09071444720029831,20.833436965942383,499.61480712890625,0.08168390393257141,0.0,0.0
25,6,17.058441162109375,18.22984504699707,169.519287109375,101.05199432373047,100.11870574951172,-0.0003675264597404748,0.09076601266860962,20.833473205566406,498.7440185546875,0.08514180034399033,0.0,0.0
26,6.25,17.018585205078125,18.898542404174805,168.27590942382812,101.05281829833984,100.25308227539062,-0.0003644099342636764,0.09081242233514786,20.833505630493164,498.9541931152344,0.07290864735841751,0.0,0.0
27,6.5,17.866769790649414,18.795846939086914,170.4031524658203,101.0478744506836,100.08118438720703,-0.0003616050526034087,0.09083986282348633,20.83376693725586,499.22442626953125,0.08820728957653046,0.0,0.0
28,6.75,17.329008102416992,18.662851333618164,171.93885803222656,101.04415893554688,100.1739730834961,-0.000359080673661083,0.09086456149816513,20.834001541137695,499.33453369140625,0.07936670631170273,0.0,0.0
29,7,17.567533493041992,18.986268997192383,168.55679321289062,101.0478744506836,100.13746643066406,-0.000356808741344139,0.09088678658008575,20.834213256835938,500.4455261230469,0.08304879069328308,0.0,0.0
30,7.25,17.92042350769043,18.385780334472656,171.24351501464844,101.04127502441406,100.28401184082031,-0.00035476399352774024,0.0909067913889885,20.83440399169922,500.7858581542969,0.06903033703565598,0.0,0.0
31,7.5,17.643753051757812,18.756956100463867,169.5116424560547,101.03550720214844,100.20693969726562,-0.00035356462467461824,0.09092479199171066,20.834575653076172,500.91595458984375,0.07556163519620895,0.0,0.0
32,7.75,17.641632080078125,18.646869659423828,165.17013549804688,101.02643585205078,100.1562271118164,-0.00035248519270680845,0.09089086204767227,20.83473014831543,500.7858581542969,0.07938297092914581,0.0,0.0
33,8,17.565338134765625,18.66944694519043,168.13775634765625,101.03262329101562,100.2155532836914,-0.0003515137068461627,0.09086032211780548,20.834867477416992,500.5356140136719,0.07451030611991882,0.0,0.0
34,8.25,17.476051330566406,18.762706756591797,167.12107849121094,101.03550720214844,100.2693099975586,-0.0003506393695715815,0.09083283692598343,20.834991455078125,500.3955078125,0.06985215842723846,0.0,0.0
35,8.5,17.57459831237793,18.307748794555664,169.2345733642578,101.033447265625,100.27843475341797,-0.00034664542181417346,0.09080810099840164,20.83510398864746,500.2153625488281,0.0688294842839241,0.0,0.0
36,8.75,17.606712341308594,19.300514221191406,165.26402282714844,101.02025604248047,100.23229217529297,-0.0003430508659221232,0.09075003862380981,20.835119247436523,500.1853332519531,0.0718548446893692,0.0,0.0
37,9,17.64505386352539,18.73848533630371,169.53073120117188,101.03509521484375,100.09994506835938,-0.00033981577144004405,0.09069778025150299,20.835132598876953,500.1953125,0.08532711863517761,0.0,0.0
38,9.25,18.293682098388672,18.97172737121582,165.2159423828125,101.03385925292969,100.189697265625,-0.00033690419513732195,0.09065074473619461,20.835145950317383,500.1953125,0.07699035108089447,0.0,0.0
39,9.5,17.255064010620117,19.400592803955078,171.38243103027344,101.03303527832031,100.18665313720703,-0.00033107888884842396,0.09060841798782349,20.83515739440918,500.225341796875,0.07719428092241287,0.0,0.0
40,9.75,17.313447952270508,18.71126365661621,165.16708374023438,101.0223159790039,100.26373291015625,-0.00032583612482994795,0.09055600315332413,20.835166931152344,500.275390625,0.06916387379169464,0.0,0.0
41,10,18.003324508666992,18.857778549194336,170.82066345214844,101.02973175048828,100.23229217529297,-0.00032111763721331954,0.0905088260769844,20.835176467895508,500.25537109375,0.07271547615528107,0.0,0.0
42,10.25,17.847055435180664,19.42349624633789,167.4851531982422,101.0223159790039,100.21454620361328,-0.0003168709808960557,0.09046636521816254,20.83518409729004,500.1953125,0.07366719096899033,0.0,0.0
43,10.5,17.384681701660156,19.11819076538086,165.7296142578125,101.0227279663086,100.14456939697266,-0.0003130490076728165,0.09042815119028091,20.83519172668457,500.1553039550781,0.08011387288570404,0.0,0.0
44,10.75,17.617128372192383,19.078346252441406,167.9721221923828,101.01530456542969,100.19375610351562,-0.00030960922595113516,0.09039375931024551,20.8351993560791,500.1553039550781,0.07493345439434052,0.0,0.0
45,11,17.64435386657715,18.797029495239258,169.11856079101562,101.02108001708984,100.09233856201172,-0.0002994631358888,0.09036239981651306,20.835205078125,500.03515625,0.08475162833929062,0.0,0.0
46,11.25,18.286754608154297,19.44038200378418,168.04310607910156,101.02767181396484,100.17195129394531,-0.0002903316344600171,0.09033417701721191,20.834980010986328,499.9551086425781,0.07805442065000534,0.0,0.0
47,11.5,17.73928451538086,19.177614212036133,168.66441345214844,101.00994873046875,100.18513488769531,-0.0002821132948156446,0.0903087705373764,20.834775924682617,499.8049621582031,0.07523724436759949,0.0,0.0
48,11.75,17.730241775512695,18.800806045532227,169.12619018554688,101.014892578125,100.09284210205078,-0.0002747167891357094,0.09028590470552444,20.834592819213867,499.6948547363281,0.08414250612258911,0.0,0.0
49,12,17.76736068725586,18.749691009521484,164.7770538330078,101.02190399169922,100.15166473388672,-0.0002610092924442142,0.09026532620191574,20.834428787231445,499.51470947265625,0.07938840240240097,0.0,0.0
50,12.25,17.268932342529297,19.382572174072266,171.808349609375,101.01984405517578,100.1080551147461,-0.0002486725279595703,0.0902324914932251,20.834049224853516,499.51470947265625,0.08319837599992752,0.0,0.0
51,12.5,17.308935165405273,19.329805374145508,169.29869079589844,101.00418090820312,100.12732696533203,-0.00023756944574415684,0.0902029350399971,20.833707809448242,499.7549133300781,0.08000868558883667,0.0,0.0
52,12.75,17.74992561340332,19.27785873413086,166.3898468017578,101.033447265625,100.19121551513672,-0.00022757667466066778,0.09017633646726608,20.83340072631836,499.7749328613281,0.07681461423635483,0.0,0.0
53,13,17.409217834472656,19.431453704833984,169.10025024414062,101.00953674316406,100.20389556884766,-0.0002108919870806858,0.09015239775180817,20.8331241607666,499.8249816894531,0.07348163425922394,0.0,0.0
54,13.25,17.95369529724121,18.770225524902344,167.037109375,101.00747680664062,100.15572357177734,-0.00019587576389312744,0.0901523306965828,20.832876205444336,500.045166015625,0.07770625501871109,0.0,0.0
55,13.5,17.384902954101562,19.290145874023438,167.7026824951172,101.00005340576172,100.23330688476562,-0.0001823611673898995,0.09015227109193802,20.832653045654297,500.305419921875,0.06992706656455994,0.0,0.0
56,13.75,17.777217864990234,19.16838836669922,167.4912567138672,101.00418090820312,100.25206756591797,-0.0001701980218058452,0.09015221893787384,20.83245086669922,500.41552734375,0.06858411431312561,0.0,0.0
57,14,17.59452247619629,19.537443161010742,170.41307067871094,101.00376892089844,100.11058807373047,-0.00015220088243950158,0.09015216678380966,20.8322696685791,500.2353515625,0.08150608837604523,0.0,0.0
58,14.25,17.738059997558594,19.454397201538086,169.6826171875,101.0050048828125,100.26778411865234,-0.00013600346574094146,0.09015212208032608,20.83187484741211,500.0852355957031,0.06722033023834229,0.0,0.0
59,14.5,18.37030029296875,19.058917999267578,165.63345336914062,100.99304962158203,100.39100646972656,-0.00012142578634666279,0.09023085236549377,20.831520080566406,499.8850402832031,0.0548643060028553,0.0,0.0
60,14.75,17.985618591308594,19.121273040771484,164.1511688232422,100.99552154541016,100.23026275634766,-0.00010830587416421622,0.09030170738697052,20.831199645996094,499.9150695800781,0.06979354470968246,0.0,0.0
61,15,17.991758346557617,19.47837257385254,167.36990356445312,100.99964141845703,100.216064453125,-9.649795538280159e-05,0.09036547690629959,20.83091163635254,499.84503173828125,0.07146736234426498,0.0,0.0
62,15.25,17.14815902709961,18.900253295898438,170.7725830078125,100.9905776977539,99.99801635742188,-8.266550867119804e-05,0.0904228687286377,20.830652236938477,499.7949523925781,0.0906316488981247,0.0,0.0
63,15.5,18.29857635498047,19.569137573242188,168.33544921875,100.99140167236328,99.97773742675781,-7.021630881354213e-05,0.09052466601133347,20.830188751220703,499.59478759765625,0.09256699681282043,0.0,0.0
64,15.75,18.31998062133789,19.503923416137695,164.331298828125,100.97615051269531,100.0289535522461,-5.9012028941651806e-05,0.09061628580093384,20.829771041870117,499.45465087890625,0.08648233115673065,0.0,0.0
65,16,17.283288955688477,19.539459228515625,164.947265625,100.98892974853516,100.19425964355469,-4.89281774207484e-05,0.0906987413764,20.829395294189453,499.2745056152344,0.07249192148447037,0.0,0.0
66,16.25,18.196775436401367,19.572158813476562,161.2117919921875,100.99263763427734,100.10653686523438,-4.0493745473213494e-05,0.09077294915914536,20.829057693481445,499.1243591308594,0.0808653011918068,0.0,0.0
67,16.5,18.284536361694336,18.86371612548828,166.01585388183594,100.97203063964844,100.12935638427734,-3.290275708422996e-05,0.09083973616361618,20.828752517700195,498.9241638183594,0.0769014060497284,0.0,0.0
68,16.75,17.70635986328125,19.082313537597656,168.7201385498047,100.97409057617188,100.1871566772461,-2.607086753414478e-05,0.09097149968147278,20.82847785949707,498.7740478515625,0.07179296761751175,0.0,0.0
69,17,18.081363677978516,19.491830825805664,168.3789520263672,100.9798583984375,100.23786926269531,-1.992216675716918e-05,0.09109008312225342,20.828231811523438,498.5838623046875,0.06767421960830688,0.0,0.0
70,17.25,18.087787628173828,18.951271057128906,167.63475036621094,100.9654312133789,100.10552215576172,-1.4388336239790078e-05,0.09119681268930435,20.82801055908203,498.4837646484375,0.07848608493804932,0.0,0.0
71,17.5,17.868383407592773,19.742347717285156,165.82579040527344,100.96749114990234,100.08473205566406,-9.407888683199417e-06,0.0912928655743599,20.827810287475586,498.3036193847656,0.08058013021945953,0.0,0.0
72,17.75,17.94369888305664,19.181028366088867,170.52146911621094,100.9592514038086,100.03656005859375,-4.925485427520471e-06,0.09144382178783417,20.8276309967041,498.2535400390625,0.08424872159957886,0.0,0.0
73,18,18.063114166259766,19.57854652404785,168.00723266601562,100.97120666503906,100.13999938964844,-1.1787714356614742e-05,0.09157968312501907,20.827468872070312,498.2035217285156,0.07585130631923676,0.0,0.0
74,18.25,18.167694091796875,19.4201717376709,161.34384155273438,100.96419525146484,100.12428283691406,-1.7963720893021673e-05,0.09170195460319519,20.82732391357422,498.1234436035156,0.07665516436100006,0.0,0.0
75,18.5,18.304330825805664,20.10495376586914,168.0125732421875,100.95760345458984,100.12225341796875,-2.352212686673738e-05,0.09181199967861176,20.827192306518555,498.0633544921875,0.07624184340238571,0.0,0.0
76,18.75,18.289066314697266,19.42598533630371,167.95762634277344,100.94770812988281,100.02996826171875,-2.8524691515485756e-05,0.09193255007266998,20.82707405090332,498.7039489746094,0.08380431681871414,0.0,0.0
77,19,17.458961486816406,19.499330520629883,171.18551635742188,100.9592514038086,100.02337646484375,-4.584613998304121e-05,0.09204104542732239,20.826967239379883,498.7539978027344,0.08545825630426407,0.0,0.0
78,19.25,18.374271392822266,19.663007736206055,166.6493682861328,100.94894409179688,100.3306655883789,-6.14354430581443e-05,0.09213869273662567,20.826871871948242,498.7640075683594,0.056373436003923416,0.0,0.0
79,19.5,17.696537017822266,19.587684631347656,170.92752075195312,100.9303970336914,100.07306671142578,-7.546581764472649e-05,0.09222657233476639,20.826786041259766,498.7239685058594,0.07827784866094589,0.0,0.0
80,19.75,18.3572940826416,19.746328353881836,169.65744018554688,100.95801544189453,100.08422088623047,-8.809315477265045e-05,0.09230566769838333,20.82670783996582,498.7440185546875,0.07976578176021576,0.0,0.0
81,20,17.837377548217773,19.17379379272461,167.25999450683594,100.94647216796875,100.13037109375,-0.00011227653885725886,0.09237685054540634,20.82663917541504,498.7339782714844,0.07448534667491913,0.0,0.0
82,20.25,18.02754020690918,19.605289459228516,168.13699340820312,100.94564819335938,100.06292724609375,-0.00013404157652985305,0.09248393774032593,20.826576232910156,498.7440185546875,0.08059313893318176,0.0,0.0
83,20.5,18.326997756958008,19.83754539489746,165.32203674316406,100.93822479248047,99.99954223632812,-0.00015363011334557086,0.09258031100034714,20.826519012451172,498.7339782714844,0.08573351800441742,0.0,0.0
84,20.75,18.187435150146484,19.509761810302734,167.7225341796875,100.94770812988281,100.13949584960938,-0.000171259802300483,0.09266705065965652,20.826467514038086,498.7339782714844,0.07376159727573395,0.0,0.0
85,21,17.864208221435547,19.159534454345703,170.79318237304688,100.92586517333984,100.20338439941406,-0.00018712651217356324,0.09274511784315109,20.8264217376709,498.7139892578125,0.06592367589473724,0.0,0.0
86,21.25,18.344419479370117,19.27466583251953,166.30589294433594,100.92132568359375,100.0679931640625,-0.00020140655396971852,0.09281537681818008,20.82638168334961,498.7139892578125,0.07791775465011597,0.0,0.0
87,21.5,17.484134674072266,19.652076721191406,169.4421844482422,100.90937805175781,100.03909301757812,-0.00022066797828301787,0.09287860989570618,20.826345443725586,498.7139892578125,0.07948166131973267,0.0,0.0
88,21.75,18.174732208251953,19.02153968811035,169.24374389648438,100.91143798828125,100.03250122070312,-0.0002380032674409449,0.09294985979795456,20.82656478881836,498.7239685058594,0.08027435094118118,0.0,0.0
89,22,18.01386260986328,19.48836898803711,169.6925506591797,100.9229736328125,100.09335327148438,-0.00025360501604154706,0.09301398694515228,20.82676124572754,498.7139892578125,0.07574281841516495,0.0,0.0
90,22.25,17.06427574157715,19.474546432495117,168.80027770996094,100.91679382324219,100.07864379882812,-0.0002676465956028551,0.09307169914245605,20.82693862915039,498.7239685058594,0.07652932405471802,0.0,0.0
91,22.5,17.573652267456055,19.468055725097656,166.0967559814453,100.9097900390625,100.05379486083984,-0.00027259282069280744,0.09312364459037781,20.827098846435547,498.6839599609375,0.07817046344280243,0.0,0.0
92,22.75,18.54718780517578,19.594274520874023,167.75306701660156,100.91926574707031,100.00613403320312,-0.0002770444261841476,0.09316322207450867,20.827241897583008,498.6739501953125,0.08340433984994888,0.0,0.0
93,23,17.856508255004883,19.25673484802246,171.17710876464844,100.91267395019531,99.98128509521484,-0.00028105085948482156,0.09319884330034256,20.82737159729004,498.7039489746094,0.0850854367017746,0.0,0.0
94,23.25,17.885114669799805,20.10552978515625,169.90245056152344,100.90071868896484,100.03656005859375,-0.0002846566494554281,0.09323090314865112,20.82748794555664,498.7139892578125,0.07892639935016632,0.0,0.0
95,23.5,17.695674896240234,19.64151954650879,168.20111083984375,100.89618682861328,100.12022399902344,-0.0002763649099506438,0.09325975924730301,20.827592849731445,498.7239685058594,0.07084324955940247,0.0,0.0
96,23.75,18.229366302490234,19.276708602905273,166.00515747070312,100.90689849853516,99.99295043945312,-0.0002689023385755718,0.09328572452068329,20.827455520629883,498.7239685058594,0.08348996937274933,0.0,0.0
97,24,18.28949546813965,19.933746337890625,167.0684051513672,100.9023666381836,100.10552215576172,-0.0002621860185172409,0.09330909699201584,20.82733154296875,498.7239685058594,0.07275346666574478,0.0,0.0
98,24.25,17.950918197631836,19.355606079101562,169.61849975585938,100.88629150390625,100.02489471435547,-0.00025614132755436003,0.09335163980722427,20.827220916748047,498.7339782714844,0.07868456095457077,0.0,0.0
99,24.5,17.699857711791992,19.338848114013672,165.9418182373047,100.88217163085938,100.12428283691406,-0.00025070112315006554,0.09338992834091187,20.827119827270508,498.7139892578125,0.06919644773006439,0.0,0.0
100,24.75,18.0554141998291,19.9217529296875,167.8935089111328,100.88752746582031,100.00055694580078,-0.0002458049275446683,0.09342438727617264,20.827030181884766,498.7039489746094,0.08103010803461075,0.0,0.0
101,25,18.242740631103516,19.294660568237305,166.18682861328125,100.88917541503906,99.97773742675781,-0.0002272974088555202,0.09345540404319763,20.826948165893555,498.7239685058594,0.08327426761388779,0.0,0.0
102,25.25,17.709556579589844,20.00169563293457,170.00167846679688,100.87639617919922,100.00055694580078,-0.00021064064640086144,0.09354787319898605,20.826875686645508,498.7139892578125,0.08001735806465149,0.0,0.0
103,25.5,18.59178924560547,19.628204345703125,170.8199005126953,100.86815643310547,100.04923248291016,-0.00019564955437090248,0.09363109618425369,20.82680892944336,498.7139892578125,0.07480324804782867,0.0,0.0
104,25.75,18.085439682006836,19.743610382080078,174.8675537109375,100.88217163085938,99.95491790771484,-0.0001821575715439394,0.09370599687099457,20.826749801635742,498.7039489746094,0.08473212271928787,0.0,0.0
105,26,17.776996612548828,19.998973846435547,172.01136779785156,100.87639617919922,99.91029357910156,-0.00016488719847984612,0.09377340227365494,20.826696395874023,498.7139892578125,0.08830371499061584,0.0,0.0
106,26.25,18.026994705200195,19.742996215820312,166.01661682128906,100.86280059814453,99.97013092041016,-0.00014934386126697063,0.09390582144260406,20.826648712158203,498.7139892578125,0.08157330751419067,0.0,0.0
107,26.5,17.561309814453125,19.314456939697266,168.6827392578125,100.85990905761719,100.0573501586914,-0.0001353548577753827,0.09402500092983246,20.82660484313965,498.7139892578125,0.07330800592899323,0.0,0.0
108,26.75,17.91291618347168,19.24626922607422,165.7395477294922,100.85826110839844,100.0573501586914,-0.00012276475899852812,0.09413225948810577,20.826566696166992,498.7139892578125,0.07315825670957565,0.0,0.0
109,27,18.34025764465332,19.58045768737793,166.6608123779297,100.85784912109375,100.09182739257812,-0.000111433670099359,0.09422878921031952,20.8265323638916,498.7239685058594,0.06995963305234909,0.0,0.0
