LABORATORY,FSRI 
TEST IDENT,PEbat_H25_1
OPERATOR,Morrissey
MATERIAL,1.75'' PE Batting
ORIENTATION,Horizontal
HEAT FLUX,25
SURF AREA,0.009999999776482582
C FACTOR,0.03860524669289589
SPEC HOLDER DIFF,-98.29998779296875
SPECIMEN MASS,6.699999809265137
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,3129
TIME TO IGN,604.5
END OF TEST SCAN,2649
END OF TEST TIME,662.25
TEST STATUS,1
PRE TEST CMT,test w/o retainer grid or frame
POST TEST CMT,Severe foil lift towards last few seconds
