LABORATORY,FSRI 
TEST IDENT,Fabric
OPERATOR,Morrissey
MATERIAL,Polyester Microfiber Fabric 
ORIENTATION,Horizontal
HEAT FLUX,25
SURF AREA,0.009999999776482582
C FACTOR,0.03860524669289589
SPEC HOLDER DIFF,-87.3699951171875
SPECIMEN MASS,1.9299999475479126
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,1638
TIME TO IGN,240.75
END OF TEST SCAN,1158
END OF TEST TIME,289.5
TEST STATUS,1
PRE TEST CMT,test w/o retainer grid or frame
POST TEST CMT,the sample folded into itself towards the spark igniter.
