Names,Time,Stack TC,Smoke TC,Exh Press,Smoke Comp,Smoke Meas,CO Meter,CO2 Meter,O2 Meter,Sample Mass,Ext Coeff,Start Test,Flame Verif
Chan Gain,,500,500,1,1,1,1,1,1,1,1,1.0,1.0
Offset,,0,0,0.13834838569164276,0,0,0,0,0,0,0,0.0,0.0
Gain,,1,1,25.01099967956543,13.506684303283691,16.615966796875,1,1,1,1.0009111166000366,1.0460774898529053,1.0,1.0
Units,sec,C,C,Pa,%,%,%,%,%,g,/m,,
Baseline,,31.554962158203125,34.21593475341797,159.36753845214844,101.59384155273438,97.7300796508789,-0.0006178806652314961,0.0662594735622406,20.921533584594727,-0.09116639941930771,0.35579365491867065,,
1,0,30.13826560974121,32.208885192871094,161.87660217285156,101.72427368164062,97.98643493652344,-0.00028277240926399827,0.06711442768573761,20.919931411743164,477.15435791015625,0.3435254693031311,0.0,0.0
2,0.25,29.137287139892578,31.099042892456055,162.5406494140625,101.71232604980469,97.95500183105469,-0.00022786374029237777,0.06716785579919815,20.918785095214844,477.10430908203125,0.3453913629055023,0.0,0.0
3,0.5,29.345335006713867,31.216157913208008,164.43052673339844,101.72510528564453,98.14008331298828,-0.0001784459309419617,0.0672159418463707,20.917753219604492,477.0442199707031,0.3292232155799866,0.0,0.0
4,0.75,29.675132751464844,31.458049774169922,157.25344848632812,101.7329330444336,97.96159362792969,-0.00013396990834735334,0.06725921481847763,20.916824340820312,477.08428955078125,0.34663334488868713,0.0,0.0
5,1,29.187538146972656,31.609272003173828,159.55242919921875,101.71768188476562,97.74557495117188,-9.394148946739733e-05,0.06729815900325775,20.91598892211914,477.02423095703125,0.3655147850513458,0.0,0.0
6,1.25,28.985960006713867,31.128244400024414,159.71119689941406,101.71891784667969,97.82670593261719,3.0868701287545264e-05,0.06733321398496628,20.915237426757812,477.1443176269531,0.35801273584365845,0.0,0.0
7,1.5,29.24286460876465,30.788616180419922,160.6942901611328,101.72881317138672,97.46414947509766,0.00014319788897410035,0.06736475974321365,20.905437469482422,476.97418212890625,0.3929762542247772,0.0,1.0
8,1.75,29.108592987060547,31.079063415527344,162.69483947753906,101.72344970703125,96.57067108154297,0.00024429414770565927,0.06800360977649689,20.896617889404297,476.97418212890625,0.4770001173019409,0.0,1.0
9,2,29.506786346435547,31.57132339477539,151.03810119628906,101.71809387207031,96.13914489746094,0.00033528078347444534,0.0685785785317421,20.88867950439453,476.86407470703125,0.5176118612289429,0.0,1.0
10,2.25,29.96035385131836,31.1469783782959,152.3814697265625,101.71891784667969,94.07990264892578,0.00041716874693520367,0.06909605115652084,20.881534576416016,477.03424072265625,0.7163693308830261,0.0,1.0
11,2.5,29.415918350219727,31.57392692565918,144.81207275390625,101.72386169433594,92.14387512207031,0.0005936780944466591,0.06956177204847336,20.860919952392578,477.01422119140625,0.9076159000396729,0.0,1.0
12,2.75,29.35219955444336,32.4382209777832,145.71348571777344,101.72138977050781,89.7874755859375,0.0007525365217588842,0.07097101211547852,20.84236717224121,476.8540954589844,1.1451069116592407,0.0,1.0
13,3,29.94051170349121,32.67766571044922,146.30197143554688,101.7077865600586,88.32302856445312,0.0008955090888775885,0.07223933190107346,20.82567024230957,476.95416259765625,1.2947779893875122,0.0,1.0
14,3.25,30.042707443237305,33.38027572631836,150.83888244628906,101.71891784667969,86.88800048828125,0.0010241843992844224,0.07338082045316696,20.81064224243164,476.7840270996094,1.4460954666137695,0.0,1.0
15,3.5,30.396642684936523,33.85783386230469,142.22608947753906,101.7395248413086,86.49146270751953,0.0011399921495467424,0.074408158659935,20.797117233276367,476.7840270996094,1.4899274110794067,0.0,1.0
16,3.75,30.812517166137695,34.233489990234375,145.17919921875,101.7218017578125,85.04476165771484,0.0012442191364243627,0.07679395377635956,20.77558708190918,476.7139587402344,1.643112301826477,0.0,1.0
17,4,31.12049102783203,34.616966247558594,143.66409301757812,101.71397399902344,82.65033721923828,0.0013380234595388174,0.07894117385149002,20.756210327148438,476.73394775390625,1.9044651985168457,0.0,1.0
18,4.25,30.985305786132812,35.0970344543457,151.20602416992188,101.72097778320312,83.30193328857422,0.0016133396420627832,0.08087366819381714,20.738771438598633,476.6539001464844,1.8330382108688354,0.0,1.0
19,4.5,31.328088760375977,35.3619499206543,144.3136444091797,101.71809387207031,82.20613861083984,0.0018611241830512881,0.08261291682720184,20.72307586669922,476.6338806152344,1.9542860984802246,0.0,1.0
20,4.75,31.91963768005371,36.03383255004883,139.77291870117188,101.72015380859375,80.11595916748047,0.0020841301884502172,0.08417823910713196,20.70895004272461,476.6138610839844,2.1908016204833984,0.0,1.0
21,5,32.2871208190918,36.50175476074219,142.89700317382812,101.7073745727539,80.88671875,0.002284835558384657,0.08792244642972946,20.687814712524414,476.5538024902344,2.1017916202545166,0.0,1.0
22,5.25,32.425392150878906,36.83566665649414,142.02610778808594,101.7040786743164,80.24576568603516,0.002574449172243476,0.09129223227500916,20.668792724609375,476.5638122558594,2.1744961738586426,0.0,1.0
23,5.5,32.66913604736328,37.546730041503906,143.451904296875,101.74159240722656,78.71641540527344,0.0028351014479994774,0.09432503581047058,20.651674270629883,476.4637145996094,2.3544490337371826,0.0,1.0
24,5.75,31.88261604309082,36.95821762084961,140.66671752929688,101.71562194824219,78.84724426269531,0.003069688566029072,0.09705456346273422,20.636266708374023,476.5237731933594,2.3368685245513916,0.0,1.0
25,6,31.813003540039062,36.90300750732422,146.3912811279297,101.6974868774414,81.10628509521484,0.0032808170653879642,0.09951113909482956,20.61725425720215,476.4236755371094,2.076024293899536,0.0,0.0
26,6.25,31.654354095458984,37.21895980834961,147.63465881347656,101.70655059814453,81.39024353027344,0.0034708327148109674,0.10172205418348312,20.600141525268555,476.4737243652344,2.0447726249694824,0.0,0.0
27,6.5,31.942787170410156,37.248836517333984,143.79690551757812,101.70613861083984,80.2538833618164,0.0037481156177818775,0.10642950981855392,20.584741592407227,476.3536376953125,2.1737537384033203,0.0,0.0
28,6.75,32.84595489501953,37.49940490722656,143.7236328125,101.7073745727539,81.48355102539062,0.003997670020908117,0.11066622287034988,20.570880889892578,476.4036560058594,2.0343329906463623,0.0,0.0
29,7,33.165130615234375,38.58014678955078,144.07778930664062,101.7007827758789,80.6727294921875,0.004222269169986248,0.11447925865650177,20.55443000793457,476.2935485839844,2.125504493713379,0.0,0.0
30,7.25,32.74508285522461,38.67877960205078,141.44296264648438,101.69666290283203,80.34718322753906,0.004424408543854952,0.11791099607944489,20.539623260498047,476.2835693359375,2.1622374057769775,0.0,0.0
31,7.5,33.16182327270508,39.0648078918457,142.83595275878906,101.70943450927734,79.58960723876953,0.004700530786067247,0.12099955976009369,20.526296615600586,476.2435302734375,2.250319719314575,0.0,0.0
32,7.75,33.549766540527344,38.933082580566406,146.2371063232422,101.70572662353516,78.08206176757812,0.004949040710926056,0.12641161680221558,20.51430320739746,476.1934814453125,2.425462007522583,0.0,0.0
33,8,34.15519714355469,40.009544372558594,140.65298461914062,101.6978988647461,77.82244110107422,0.005172699689865112,0.13128246366977692,20.499765396118164,476.1834716796875,2.4553167819976807,0.0,0.0
34,8.25,34.11147689819336,40.51457595825195,141.92916870117188,101.70902252197266,78.3056869506836,0.005373992957174778,0.13566623628139496,20.486682891845703,476.0833740234375,2.3995165824890137,0.0,0.0
35,8.5,34.58867263793945,40.89073944091797,140.1629638671875,101.69995880126953,78.5059814453125,0.005631765350699425,0.1396116316318512,20.47490882873535,476.0733642578125,2.375257730484009,0.0,0.0
36,8.75,34.323875427246094,41.06544876098633,141.50479125976562,101.70243072509766,77.6196060180664,0.005863760598003864,0.14537282288074493,20.464311599731445,476.0733642578125,2.479673385620117,0.0,0.0
37,9,35.06541061401367,40.882347106933594,143.68699645996094,101.70037078857422,81.55809020996094,0.006072556134313345,0.15055789053440094,20.452669143676758,476.0833740234375,2.025310754776001,0.0,0.0
38,9.25,35.06827926635742,42.11948776245117,144.63040161132812,101.70531463623047,79.8857421875,0.0063367001712322235,0.15522445738315582,20.442190170288086,476.0633544921875,2.2158687114715576,0.0,0.0
39,9.5,35.851322174072266,42.329429626464844,142.76113891601562,101.7073745727539,78.36146545410156,0.006574430037289858,0.15942436456680298,20.43276023864746,475.9732666015625,2.3928332328796387,0.0,0.0
40,9.75,35.613525390625,43.22628402709961,138.650146484375,101.68923950195312,75.63084411621094,0.0067883869633078575,0.16525284945964813,20.424272537231445,475.9532470703125,2.716656446456909,0.0,0.0
41,10,36.60736846923828,43.04248046875,147.16065979003906,101.6756362915039,76.4051513671875,0.0069809481501579285,0.17049849033355713,20.41663360595703,475.8631591796875,2.621961832046509,0.0,0.0
42,10.25,36.489524841308594,43.18096160888672,145.16775512695312,101.6900634765625,77.62467956542969,0.0071542528457939625,0.1752195656299591,20.408588409423828,475.8832092285156,2.4779574871063232,0.0,0.0
43,10.5,36.918434143066406,43.776893615722656,143.9602508544922,101.69831085205078,79.71536254882812,0.007310227490961552,0.1794685274362564,20.401348114013672,475.7430725097656,2.2348287105560303,0.0,0.0
44,10.75,36.55132293701172,44.83808135986328,139.429443359375,101.69047546386719,80.2472915649414,0.007576261181384325,0.18512675166130066,20.39483070373535,475.7831115722656,2.1730945110321045,0.0,0.0
45,11,36.90283203125,45.1456413269043,144.88992309570312,101.69253540039062,81.3978500366211,0.007815691642463207,0.19021914899349213,20.388965606689453,475.7030029296875,2.0426504611968994,0.0,0.0
46,11.25,36.4305419921875,45.699256896972656,148.05369567871094,101.69418334960938,79.55461883544922,0.008031179197132587,0.19480231404304504,20.38368797302246,475.7330322265625,2.2529778480529785,0.0,0.0
47,11.5,37.60075759887695,45.4395751953125,145.2677459716797,101.70490264892578,77.0400161743164,0.008225117810070515,0.1989271640777588,20.37776756286621,475.6029357910156,2.5486717224121094,0.0,0.0
48,11.75,37.87757110595703,45.827274322509766,140.05609130859375,101.68965148925781,77.31028747558594,0.00839966256171465,0.20440132915973663,20.372440338134766,475.5829162597656,2.515160083770752,0.0,0.0
49,12,37.693214416503906,46.14262771606445,139.53477478027344,101.6900634765625,77.46342468261719,0.008649956434965134,0.2093280851840973,20.367645263671875,475.5128479003906,2.4970390796661377,0.0,0.0
50,12.25,37.537071228027344,46.84461212158203,145.44940185546875,101.69872283935547,80.47496795654297,0.008875221014022827,0.21376216411590576,20.36332893371582,475.5428771972656,2.147840738296509,0.0,0.0
51,12.5,38.73329162597656,45.929893493652344,146.44776916503906,101.69913482666016,81.46529388427734,0.009077958762645721,0.2177528291940689,20.359445571899414,475.5128479003906,2.0356457233428955,0.0,0.0
52,12.75,38.91501235961914,46.35235595703125,145.04638671875,101.68511962890625,78.50141906738281,0.009260422550141811,0.22134444117546082,20.35454559326172,475.4527893066406,2.374451160430908,0.0,0.0
53,13,39.196632385253906,46.95827102661133,137.28541564941406,101.68141174316406,76.14704895019531,0.00948566198348999,0.22670261561870575,20.350135803222656,475.4327697753906,2.653533458709717,0.0,0.0
54,13.25,38.70492172241211,47.94279861450195,143.6671600341797,101.68470764160156,78.9537353515625,0.009688377380371094,0.2315249741077423,20.346166610717773,475.4828186035156,2.3216943740844727,0.0,0.0
55,13.5,39.26931381225586,47.843814849853516,141.61241149902344,101.68882751464844,78.73568725585938,0.009870821610093117,0.23586510121822357,20.342594146728516,475.3026428222656,2.347443103790283,0.0,0.0
56,13.75,39.42586135864258,48.40644836425781,143.874755859375,101.68635559082031,78.30821990966797,0.010035021230578423,0.23977121710777283,20.339380264282227,475.31268310546875,2.397174119949341,0.0,0.0
57,14,40.23295974731445,48.061729431152344,138.3311004638672,101.6760482788086,79.44559478759766,0.010182800702750683,0.24328671395778656,20.335933685302734,475.2325744628906,2.263925790786743,0.0,0.0
58,14.25,39.99656677246094,48.72014236450195,140.39041137695312,101.68553161621094,77.9106674194336,0.010363386943936348,0.24866405129432678,20.33283233642578,475.21258544921875,2.443803071975708,0.0,0.0
59,14.5,40.8694953918457,49.15681457519531,138.6944122314453,101.686767578125,78.4111557006836,0.010525914840400219,0.2535036504268646,20.330041885375977,475.18255615234375,2.385157346725464,0.0,0.0
60,14.75,39.9212532043457,49.86339569091797,144.01597595214844,101.67646026611328,80.59819030761719,0.010672190226614475,0.2578592896461487,20.327529907226562,475.15252685546875,2.1317925453186035,0.0,0.0
61,15,40.90863037109375,49.853904724121094,143.04966735839844,101.67935180664062,79.59062194824219,0.01080383826047182,0.2617793679237366,20.325035095214844,475.18255615234375,2.247488498687744,0.0,0.0
62,15.25,40.06259536743164,50.521278381347656,142.30165100097656,101.6756362915039,80.41259765625,0.010922321118414402,0.2653074264526367,20.322790145874023,475.08245849609375,2.15287184715271,0.0,0.0
63,15.5,40.95103073120117,50.075042724609375,145.55091857910156,101.68429565429688,80.37051391601562,0.011060284450650215,0.2702932357788086,20.320770263671875,475.13250732421875,2.158457040786743,0.0,0.0
64,15.75,40.98562240600586,50.80447769165039,141.9871826171875,101.6690444946289,78.87107849121094,0.011184451170265675,0.2747804820537567,20.318952560424805,475.04241943359375,2.32989239692688,0.0,0.0
65,16,40.615386962890625,51.232173919677734,140.1553192138672,101.67316436767578,78.2057876586914,0.01129620149731636,0.2788189947605133,20.31731605529785,475.01239013671875,2.407994031906128,0.0,0.0
66,16.25,40.7165412902832,51.14796447753906,146.4042510986328,101.67810821533203,79.00798797607422,0.011396776884794235,0.28245365619659424,20.314205169677734,475.01239013671875,2.31479549407959,0.0,0.0
67,16.5,40.73869323730469,51.97797393798828,144.538818359375,101.67646026611328,79.99526977539062,0.011521400883793831,0.28572484850883484,20.311405181884766,474.8822937011719,2.200692892074585,0.0,0.0
68,16.75,41.83446502685547,51.91297149658203,138.87835693359375,101.6694564819336,78.51764678955078,0.011633562855422497,0.29045331478118896,20.30888557434082,474.93231201171875,2.371141195297241,0.0,0.0
69,17,41.58156967163086,51.62203598022461,142.8809814453125,101.67522430419922,78.31988525390625,0.011734507977962494,0.2947089374065399,20.306617736816406,474.93231201171875,2.3948025703430176,0.0,0.0
70,17.25,42.34109115600586,52.24161911010742,142.7703094482422,101.66863250732422,75.77079772949219,0.011825359426438808,0.2985389828681946,20.304576873779297,474.8822937011719,2.6978323459625244,0.0,0.0
71,17.5,42.885868072509766,52.42652130126953,140.66061401367188,101.68305969238281,77.42488861083984,0.011907124891877174,0.30198603868484497,20.29806137084961,474.89227294921875,2.5009729862213135,0.0,0.0
72,17.75,42.07615661621094,52.73310852050781,138.3349151611328,101.66203308105469,77.23676300048828,0.01209273375570774,0.3068445324897766,20.28692054748535,474.8022155761719,2.5213985443115234,0.0,0.0
73,18,42.41218566894531,53.048866271972656,146.97366333007812,101.65544128417969,76.49642944335938,0.01209273375570774,0.31121718883514404,20.28692054748535,474.8122253417969,2.6091830730438232,0.0,0.0
74,18.25,42.462249755859375,52.99945831298828,142.15586853027344,101.6834716796875,77.43604278564453,0.012193551287055016,0.3151525855064392,20.28217124938965,474.7421569824219,2.4996888637542725,0.0,0.0
75,18.5,42.71742630004883,53.18775177001953,137.9120635986328,101.66698455810547,75.77434539794922,0.012284286320209503,0.31869444251060486,20.277896881103516,474.73211669921875,2.6972544193267822,0.0,0.0
76,18.75,42.834625244140625,53.59202194213867,137.351806640625,101.65544128417969,75.16483306884766,0.012365948408842087,0.32188209891319275,20.260948181152344,474.7221374511719,2.7703213691711426,0.0,0.0
77,19,43.65336227416992,54.279109954833984,142.6283416748047,101.66410064697266,76.059326171875,0.01244697067886591,0.3274688422679901,20.245695114135742,474.6220397949219,2.6625478267669678,0.0,0.0
78,19.25,43.17195510864258,54.739723205566406,139.1645965576172,101.67810821533203,76.69925689697266,0.012519891373813152,0.33249691128730774,20.23196792602539,474.5619812011719,2.5869312286376953,0.0,0.0
79,19.5,44.27509307861328,54.304893493652344,134.0911102294922,101.66698455810547,77.27326965332031,0.012585519813001156,0.33702218532562256,20.21961212158203,474.44189453125,2.5175092220306396,0.0,0.0
80,19.75,44.22059631347656,55.7462158203125,136.08935546875,101.66244506835938,76.20282745361328,0.012644585222005844,0.3410949409008026,20.17995262145996,474.4318542480469,2.6451025009155273,0.0,0.0
81,20,44.498043060302734,56.333778381347656,120.6612777709961,101.65626525878906,76.93758392333984,0.012677222490310669,0.3447604179382324,20.144258499145508,474.351806640625,2.5564911365509033,0.0,0.0
82,20.25,44.765987396240234,57.124267578125,122.54351043701172,101.65997314453125,79.3812026977539,0.012706595472991467,0.35213765501976013,20.11213493347168,474.2917175292969,2.2699153423309326,0.0,0.0
83,20.5,45.44095230102539,58.44733428955078,127.4216079711914,101.65750122070312,81.83039093017578,0.012733031064271927,0.35877716541290283,20.083223342895508,474.2216796875,1.9908560514450073,0.0,0.0
84,20.75,45.690589904785156,59.63364791870117,116.10147094726562,101.64225006103516,84.25676727294922,0.012756823562085629,0.3701307475566864,20.05720329284668,474.181640625,1.7213521003723145,0.0,0.0
85,21,46.76175308227539,60.75931930541992,110.73870086669922,101.64183807373047,85.15328216552734,0.012778236530721188,0.3701307475566864,20.033784866333008,474.0715637207031,1.6241936683654785,0.0,0.0
86,21.25,47.5943489074707,61.857276916503906,109.23809814453125,101.66038513183594,87.2591781616211,0.012797508388757706,0.374970942735672,19.979957580566406,473.991455078125,1.4016972780227661,0.0,0.0
87,21.5,48.33195495605469,64.09820556640625,106.13844299316406,101.66451263427734,88.70435333251953,0.012759543024003506,0.3856360912322998,19.9315128326416,473.9013977050781,1.2513407468795776,0.0,0.0
88,21.75,48.99311447143555,64.91848754882812,105.05382537841797,101.64019012451172,88.79664611816406,0.012725373730063438,0.39523473381996155,19.88791275024414,473.8713684082031,1.2396031618118286,0.0,0.0
89,22,49.99851989746094,66.59886169433594,106.7421875,101.64636993408203,89.52176666259766,0.012694621458649635,0.4038735032081604,19.84867286682129,473.791259765625,1.1655325889587402,0.0,0.0
90,22.25,51.28251647949219,68.42213439941406,112.43622589111328,101.63977813720703,91.11856079101562,0.012666944414377213,0.41164839267730713,19.813356399536133,473.7412414550781,1.0027059316635132,0.0,0.0
91,22.5,52.43417739868164,70.08956146240234,107.36884307861328,101.64595794677734,90.61046600341797,0.012642035260796547,0.4246417284011841,19.754213333129883,473.6511535644531,1.0545754432678223,0.0,0.0
92,22.75,52.95817184448242,71.80926513671875,112.05306243896484,101.64019012451172,90.26514434814453,0.012578739784657955,0.4363357424736023,19.700984954833984,473.6111145019531,1.0890921354293823,0.0,0.0
93,23,54.175994873046875,73.46245574951172,119.35455322265625,101.64307403564453,90.79960632324219,0.012521774508059025,0.44686034321784973,19.653078079223633,473.5210266113281,1.0351803302764893,0.0,0.0
94,23.25,54.80411911010742,74.92137908935547,109.04727935791016,101.6438980102539,91.8462142944336,0.012470505200326443,0.4563324749469757,19.609962463378906,473.4809875488281,0.9300908446311951,0.0,0.0
95,23.5,56.21580123901367,76.40338134765625,99.28729248046875,101.64348602294922,93.11543273925781,0.012424362823367119,0.470971941947937,19.553361892700195,473.41094970703125,0.8041176795959473,0.0,0.0
96,23.75,57.05754089355469,78.6739501953125,108.36872863769531,101.63895416259766,92.01557922363281,0.012353588826954365,0.48414745926856995,19.502422332763672,473.2908020019531,0.9127392172813416,0.0,0.0
97,24,57.90367126464844,79.76889038085938,103.15937805175781,101.62699890136719,92.08049011230469,0.012289891950786114,0.49600541591644287,19.456575393676758,473.20074462890625,0.9051889777183533,0.0,0.0
98,24.25,58.785404205322266,81.5745849609375,99.2399673461914,101.63111877441406,92.98308563232422,0.012232564389705658,0.5066775679588318,19.415313720703125,473.15069580078125,0.8160519003868103,0.0,0.0
99,24.5,59.78392791748047,83.47711181640625,120.6582260131836,101.63854217529297,93.84918212890625,0.012180970050394535,0.5162824988365173,19.378177642822266,473.1307067871094,0.7316469550132751,0.0,0.0
100,24.75,61.64368438720703,85.12496185302734,97.30200958251953,101.62576293945312,93.77767944335938,0.012134535238146782,0.5249269604682922,19.328365325927734,473.01055908203125,0.7374861836433411,0.0,0.0
101,25,62.00396728515625,87.04725646972656,96.73565673828125,101.6340103149414,93.3081283569336,0.012092744000256062,0.5434952974319458,19.283533096313477,472.9305114746094,0.7842917442321777,0.0,0.0
102,25.25,63.185638427734375,88.76482391357422,106.1315689086914,101.64183807373047,94.39834594726562,0.01205513160675764,0.5602068305015564,19.24318504333496,472.8804626464844,0.67840576171875,0.0,0.0
103,25.5,63.688194274902344,90.77581787109375,102.78231811523438,101.62493896484375,93.76602172851562,0.011983931995928288,0.5752471685409546,19.206871032714844,472.7403259277344,0.738552987575531,0.0,0.0
104,25.75,65.11299133300781,92.22766876220703,97.2142333984375,101.61298370361328,94.23658752441406,0.01191985234618187,0.5887835025787354,19.1741886138916,472.7102966308594,0.6915382742881775,0.0,0.0
105,26,66.2441635131836,93.32320404052734,106.80630493164062,101.623291015625,94.06722259521484,0.011862180195748806,0.600966215133667,19.128616333007812,472.6002197265625,0.7089757323265076,0.0,0.0
106,26.25,66.9327621459961,95.05470275878906,104.78363037109375,101.62617492675781,93.77210235595703,0.011810275726020336,0.6206610202789307,19.087602615356445,472.5801696777344,0.7380695939064026,0.0,0.0
107,26.5,68.32422637939453,96.41177368164062,96.377685546875,101.61834716796875,94.6148681640625,0.011741184629499912,0.6383863687515259,19.050689697265625,472.4800720214844,0.6552612781524658,0.0,0.0
108,26.75,68.66570281982422,98.36621856689453,107.06658172607422,101.60968780517578,94.43688201904297,0.011679002083837986,0.6543391942977905,19.017467498779297,472.4901123046875,0.671758234500885,0.0,0.0
109,27,69.84184265136719,100.03145599365234,100.66728210449219,101.61917114257812,95.36027526855469,0.011623037979006767,0.6686967015266418,18.981245040893555,472.3099365234375,0.5833273530006409,0.0,0.0
110,27.25,70.80482482910156,101.65502166748047,93.58257293701172,101.62123107910156,94.66456604003906,0.011572670191526413,0.6816184520721436,18.948644638061523,472.2698974609375,0.6507034301757812,0.0,0.0
111,27.5,71.98233032226562,103.06438446044922,112.66825866699219,101.62246704101562,95.30601501464844,0.011504986323416233,0.6932480335235596,18.9193058013916,472.2098388671875,0.588847279548645,0.0,0.0
112,27.75,72.28852081298828,104.21753692626953,103.04488372802734,101.61380767822266,96.71468353271484,0.011444070376455784,0.7128441333770752,18.892900466918945,472.1998291015625,0.4534309208393097,0.0,0.0
